"group","species","common_name","brain_volume_mm3","total_cb_volume_mm3","vermis_excl_cb10_mm3","hemisphere_excl_fl_mm3","flocculo_nodular_cb_cx_mm3","ratio_hemisph_vermis","total_cb_cx_volume_mm3","cb_white_matter_mm3","pn_rttg_volume_mm3","deep_cb_nu_volume_mm3","cb_ext_surface_esa_mm2","cb_pial_surface_psa_mm2","foliation_index","source"
"Diprotodontid","Acrobates pygmaeus","Feathertail glider",272,40,16.5,17.5,2.82,1.06,36.8,1.97,1.16,1.18,54.1,99,1.83,"Ashwell__2020"
"Diprotodontid","Aepyprymnus rufescens","Rufous rat-kangaroo",13783,1523,524,554,90.8,1.06,1169,294,66.2,60.5,500,1509,3.02,"Ashwell__2020"
"Carnivore","Ailurus fulgens","Red panda",12085,1649,559,625,70.8,1.12,1255,324,48.7,69.8,593,2390,4.03,"Ashwell__2020"
"Primate","Alouatta palliata","Mantled howler monkey",34257,4280,1202,2203,53.5,1.83,3462,710,157,107,1456,3765,2.59,"Ashwell__2020"
"Dasyuromorphid","Antechinomys laniger","Kultarr",509,47.5,31.6,5.44,2.44,0.17,39.5,6.7,1.7,1.31,51.6,84.2,1.63,"Ashwell__2020"
"Dasyuromorphid","Antechinus flavipes","Yellow-footed antechinus",577,68.5,30.8,24.5,4.06,0.8,59.3,7.36,1.83,1.78,72.2,117,1.63,"Ashwell__2020"
"Dasyuromorphid","Antechinus minimus","Swamp antechinus",751,69.1,40.8,12.8,3.97,0.31,57.6,9.34,2.91,2.19,73.7,115,1.56,"Ashwell__2020"
"Dasyuromorphid","Antechinus swainsonii","Dusky antechinus",525,54.4,20.2,20.5,4.01,1.02,44.7,8.26,1.62,1.47,69.4,109,1.57,"Ashwell__2020"
"Primate","Aotus trivirgata","Three-striped night monkey",9987,1058,413,431,34.1,1.04,878,138,29.8,42.9,531,1383,2.61,"Ashwell__2020"
"Rodent","Aplodontia rufa","Mountain beaver",4373,821,290,351,16,1.21,657,126,20.8,37.3,372,875,2.35,"Ashwell__2020"
"Carnivore","Bassariscus astutus","Ringtail",15090,1843,770,623,73.6,0.81,1467,292,59.8,83.6,614,1930,3.14,"Ashwell__2020"
"Diprotodontid","Bettongia gaimardi","Tasmanian bettong",10612,1203,444,445,58.4,1,947,214,36.6,41.6,451,1244,2.76,"Ashwell__2020"
"Cetartiodactyl","Bos taurus indicus","Zebu",402223,31690,13830,9304,329,0.67,23462,6845,556,1383,4610,14709,3.19,"Ashwell__2020"
"Diprotodontid","Burramys parvus","Mountain pygmy possum",899,94.8,37.8,33,3.88,0.87,74.7,14.4,3.93,5.76,92.8,163,1.75,"Ashwell__2020"
"Primate","Callicebus moloch","Red-bellied titi",14321,879,384,335,13.7,0.87,732,110,23.8,37.4,539,1299,2.41,"Ashwell__2020"
"Primate","Callithrix jacchus","Common marmoset",5385,756,282,252,12.5,0.89,546,176,13.2,34.2,432,993,2.3,"Ashwell__2020"
"Didelphimorphid","Caluromys derbianus","Derby's wolly opossum",6725,565,268,212,15,0.79,495,59.2,22.7,11.4,303,719,2.37,"Ashwell__2020"
"Carnivore","Canis familiaris","Domestic dog (Basenji)",46634,3667,1186,1442,166,1.22,2793,698,142,176,1272,4521,3.55,"Ashwell__2020"
"Cetartiodactyl","Capra hircus domestica","Domestic goat",125000,5811,2573,1796,362,0.7,4731,848,109,232,1504,7137,4.75,"Ashwell__2020"
"Rodent","Castor canadensis","North American beaver",21136,3085,848,1428,67.1,1.68,2343,625,56.7,117,958,3013,3.14,"Ashwell__2020"
"Rodent","Cavia porcellus","Guinea pig",5415,542,252,166,22.9,0.66,442,74.9,13.9,25.6,258,696,2.7,"Ashwell__2020"
"Primate","Cebus capucinus","White-headed capuchin",78554,8479,2036,5171,94.3,2.54,7301,1011,199,168,2497,9373,3.75,"Ashwell__2020"
"Diprotodontid","Cercartetus lepidus","Tasmanian pygmy possum",352,40.2,16.4,15.3,3.95,0.93,35.6,3.13,1.47,1.5,62.5,107,1.72,"Ashwell__2020"
"Diprotodontid","Cercartetus nanus","Eastern pygmy possum",460,51.9,23.6,16.8,2.97,0.71,43.3,6.35,1.49,2.18,61.1,119,1.95,"Ashwell__2020"
"Diprotodontid","Cercarteus concinnus","Western pygmy possum",346,42,20,12.8,3.37,0.64,36.1,3.74,2.06,2.2,56.5,98.3,1.74,"Ashwell__2020"
"Rodent","Chincella lanigera","Long-tailed chinchilla",5881,1039,389,408,39.6,1.05,836,151,19.4,50.8,492,1405,2.86,"Ashwell__2020"
"Pilosan","Choloepus didactylus","Linnaeus' two-toed sloth",27404,2337,760,1029,52,1.35,1841,420,89.8,76.6,698,2034,2.92,"Ashwell__2020"
"Carnivore","Crocuta crocuta","Spotted hyena",91041,8649,2667,3930,317,1.47,6913,1626,298,110,1912,6597,3.45,"Ashwell__2020"
"Carnivore","Cynictis penicillata","Yellow mongoose",10669,1523,634,476,44.8,0.75,1154,248,61.8,121,576,1517,2.63,"Ashwell__2020"
"Dermopteran","Cynocephalus volans","Philippine flying lemur",5769,675,305,224,28.4,0.73,557,94.5,13.7,23.8,332,919,2.77,"Ashwell__2020"
"Dasyuromorphid","Dasycercus blythi","Brush-tailed mulgara",1548,196,82.7,63,8.71,0.76,154,33.7,4.9,7.65,137,253,1.85,"Ashwell__2020"
"Dasyuromorphid","Dasykaluta rosamundae","Kaluta",504,34.8,18.7,7.12,3.68,0.38,29.5,4.54,0.95,0.81,51.7,68.4,1.32,"Ashwell__2020"
"Cingulate","Dasypus novemcinctus","Nine-banded armadillo",10450,2562,818,1172,51.5,1.43,2042,431,63.5,88.6,726,2583,3.56,"Ashwell__2020"
"Dasyuromorphid","Dasyuroides byrnei","Kowari",1101,132,50.9,42.6,7.31,0.84,101,25.8,3.29,5.37,125,228,1.82,"Ashwell__2020"
"Dasyuromorphid","Dasyurus geoffroyi","Western quoll",5268,674,257,266,32.4,1.03,555,95,23.9,23.8,353,823,2.33,"Ashwell__2020"
"Dasyuromorphid","Dasyurus hallucatus","Northern quoll",2966,328,128,103,16.5,0.81,248,70.6,6.99,9.55,227,465,2.05,"Ashwell__2020"
"Dasyuromorphid","Dasyurus maculatus","Spotted-tail quoll",8641,1220,533,378,56.9,0.71,968,210,38.8,41.2,453,1286,2.84,"Ashwell__2020"
"Dasyuromorphid","Dasyurus viverrinus","Eastern quoll",4947,676,283,237,30,0.84,550,106,18.5,19.9,341,807,2.36,"Ashwell__2020"
"Diprotodontid","Dendrolagus goodfellowi","Goodfellow's tree-kangaroo",32826,4975,1833,1832,301,1,3966,921,125,87.5,1331,4010,3.01,"Ashwell__2020"
"Diprotodontid","Dendrolagus lumholtzi","Lumholtz's tree-kangaroo",20635,2175,785,717,145,0.91,1647,462,55.5,66.9,666,1918,2.88,"Ashwell__2020"
"Didelphimorphid","Didelphis albiventris","White-eared opossum",8108,912,431,274,23.1,0.64,728,163,NA,21.6,343,917,2.67,"Ashwell__2020"
"Didelphimorphid","Didelphis marsupialis","Common opossum",8034,979,460,316,18.2,0.69,795,160,22.2,23.9,399,1039,2.6,"Ashwell__2020"
"Didelphimorphid","Didelphis virginiana","Virginia opossum",5769,563,283,182,21.4,0.64,487,55.3,10.5,21,226,586,2.59,"Ashwell__2020"
"Diprotodontid","Distoechurus pennatus","Feather-tailed possum",940,124,55.7,43.7,9.17,0.78,109,12.2,3.2,3.03,116,213,1.84,"Ashwell__2020"
"Diprotodontid","Dorcopsis luctuosa","Grey dorcopsis",14486,2042,721,718,130,1,1569,395,45.9,77.3,643,2054,3.19,"Ashwell__2020"
"Microbiotheriid","Dromiciops gliroides","Monito del monte",912,129,57.2,45.6,2.98,0.8,106,18.1,3.72,4.83,114,211,1.85,"Ashwell__2020"
"Peramelemorphid","Echymipera kalubu","Common spiny bandicoot",2628,375,161,134,26.5,0.83,321,45.4,13,8.74,194,427,2.2,"Ashwell__2020"
"Macroscelid","Elephantulus myurus","Eastern rock elephant shrew",1250,497,188,207,21.1,1.1,416,61.7,22.5,19.5,334,637,1.9,"Ashwell__2020"
"Cetartiodactyl","Equus quagga burchellii","Quagga",561050,41084,14478,15169,1296,1.05,30943,8397,1120,1744,5723,23952,4.19,"Ashwell__2020"
"Eulipotyphlan","Erinaceus europaeus","European hedgehog",3221,422,193,159,17.1,0.82,370,33.8,7.21,18.7,326,774,2.38,"Ashwell__2020"
"Rodent","Erithizon dorsatum","Porcupine",19769,2380,699,1044,56.5,1.49,1800,487,86.7,92.8,837,2581,3.08,"Ashwell__2020"
"Primate","Eulemur mongoz","Mongoose lemur",19362,2721,975,1252,43.2,1.28,2270,360,74,90.6,1045,2720,2.6,"Ashwell__2020"
"Carnivore","Felis cattus","Domestic cat",24038,2433,853,728,116,0.85,1697,605,102,131,801,2405,3,"Ashwell__2020"
"Carnivore","Galictis vittata","Greater grison",19132,1212,470,404,133,0.86,1007,165,41.8,40.8,588,1764,3,"Ashwell__2020"
"Diprotodontid","Gymnobelideus leadbeateri","Leadbeater's possum",2850,367,137,161,16.7,1.18,315,43.5,10.7,8.74,239,536,2.24,"Ashwell__2020"
"Diprotodontid","Hemibelideus lemuroides","Lemur-like ringtail possum",3952,511,221,168,26.9,0.76,416,82.3,11.7,12.6,299,715,2.39,"Ashwell__2020"
"Diprotodontid","Hypsiprymnodon moschatus","Musky rat-kangaroo",5843,644,260,237,41.2,0.91,538,87.9,18.9,18.2,319,794,2.49,"Ashwell__2020"
"Peramelemorphid","Isoodon macrourus","Northern brown bandicoot",3955,568,232,183,24.1,0.79,439,109,9.84,19.6,252,512,2.03,"Ashwell__2020"
"Peramelemorphid","Isoodon obesulus","Southern brown bandicoot",2205,299,121,104,17.3,0.86,243,45.5,7.97,10.4,156,413,2.65,"Ashwell__2020"
"Diprotodontid","Lagorchestes conspicillatus","Spectalled hare-wallaby",12876,1268,449,372,57.9,0.83,879,354,47.8,34.2,450,1225,2.72,"Ashwell__2020"
"Cetartiodactyl","Lama glama","Llama",232000,24401,8569,9053,670,1.06,18291,4867,515,1243,4009,15807,3.94,"Ashwell__2020"
"Diprotodontid","Lasiorhinus latifrons","Southern hairy-nosed wombat",41129,4543,1561,1613,203,1.03,3380,1069,152,94.4,1196,3392,2.84,"Ashwell__2020"
"Diprotodontid","Macropus agilis","Agile wallaby",29141,3329,1371,1001,169,0.73,2541,713,111,74.7,846,3021,3.57,"Ashwell__2020"
"Diprotodontid","Macropus antilopinus","Antilopine kangaroo",49202,6113,2291,1940,291,0.85,4523,1399,144,191,1340,4963,3.7,"Ashwell__2020"
"Diprotodontid","Macropus bernardus","Black wallaroo",35661,3087,965,905,174,0.94,2043,955,93.3,88.1,705,2269,3.22,"Ashwell__2020"
"Diprotodontid","Macropus dorsalis","Black-striped wallaby",27326,3808,1461,1214,186,0.83,2861,879,148,68.2,998,2829,2.84,"Ashwell__2020"
"Diprotodontid","Macropus eugenii","Tammar wallaby",15421,2223,859,835,50.3,0.97,1745,410,53.4,68.2,699,2315,3.31,"Ashwell__2020"
"Diprotodontid","Macropus irma","Western brush wallaby",22794,2127,753,664,146,0.88,1562,499,80,65.6,654,1815,2.77,"Ashwell__2020"
"Diprotodontid","Macropus parma","Parma wallaby",16595,1658,580,624,97.4,1.08,1301,319,45,37.7,564,1928,3.42,"Ashwell__2020"
"Diprotodontid","Macropus parryi","Whiptail wallaby",25659,2922,1059,922,153,0.87,2135,684,86.9,104,838,2811,3.35,"Ashwell__2020"
"Diprotodontid","Macropus rufus","Red kangaroo",48846,6822,2357,2270,445,0.96,5072,1542,197,208,1433,4839,3.38,"Ashwell__2020"
"Primate","Mandrillus sphinx","Mandrill",141756,10359,3196,5582,310,1.75,9088,992,366,278,2325,9041,3.89,"Ashwell__2020"
"Didelphimorphid","Marmosa impavida","Andean slender mouse opossum",1449,179,98.1,55.6,4.13,0.57,158,13,5.85,8.15,127,244,1.93,"Ashwell__2020"
"Didelphimorphid","Monodelphis brevicaudata","Northern red-sided opossum",1159,114,52.2,46.7,3.73,0.89,103,9.33,5.28,2.47,99,166,1.67,"Ashwell__2020"
"Carnivore","Mustela erminea","Short-tailed weasel",3153,486,191,180,27.8,0.94,398,57.9,11.8,29.7,296,768,2.59,"Ashwell__2020"
"Carnivore","Mustela putorius","European polecat",4987,742,290,318,20.2,1.1,628,80,16.4,33.7,409,1218,2.98,"Ashwell__2020"
"Pilosan","Myrmecophagia tridactyla","Giant ant-eater",59943,8736,2418,4097,144,1.69,6660,1691,275,385,1954,6630,3.39,"Ashwell__2020"
"Carnivore","Nasua narica","White-nosed coati",31486,3498,955,1705,121,1.78,2781,574,74.2,143,1045,3863,3.7,"Ashwell__2020"
"Carnivore","Neovison vison","American mink",10113,1060,392,391,52.2,1,836,186,34.4,38,480,1408,2.93,"Ashwell__2020"
"Cetartiodactyl","Odocoileus virginianus","White-tailed deer",131865,8456,3566,2065,714,0.58,6345,1829,201,281,2036,6780,3.33,"Ashwell__2020"
"Diprotodontid","Onychogalea fraenata","Bridled nailtail wallaby",10828,1265,434,401,117,0.92,952,274,40.3,39.1,497,1381,2.78,"Ashwell__2020"
"Diprotodontid","Onychogalea unguifera","Northern nailtail wallaby",17106,1745,627,552,95.1,0.88,1274,399,60.3,71.9,629,1730,2.75,"Ashwell__2020"
"Monotreme","Ornithorhynchus anatinus","Platypus",11291,834.666666666667,366,295.333333333333,22.9666666666667,0.793333333333333,684.666666666667,126.766666666667,25.8666666666667,23.4666666666667,407.666666666667,854,2.08666666666667,"Ashwell__2020"
"Lagomorphan","Oryctolagus cuniculus","European rabbit",11058,1214,417,512,49.2,1.23,978,182,32.5,53.4,601,1479,2.46,"Ashwell__2020"
"Primate","Pan troglodytes","Robust chimpanzee",383220,52101,6403,37098,674,5.79,44175,6675,2002,1252,7243,34545,4.77,"Ashwell__2020"
"Carnivore","Panthera leo","Lion",253306,26077,8355,9315,1199,1.11,18869,6296,700,912,4487,15579,3.47,"Ashwell__2020"
"Cetartiodactyl","Pecaru tacaju","Collared peccary",54005,5946,2480,2059,189,0.83,4728,999,146,219,1439,4851,3.37,"Ashwell__2020"
"Peramelemorphid","Perameles gunnii","Eastern barred bandicoot",2782,337,131,122,32.4,0.93,284,45.4,7.45,7.13,188,472,2.51,"Ashwell__2020"
"Peramelemorphid","Perameles nasuta","Long-nosed bandicoot",3684,432,165,169,30.2,1.03,365,55.6,10.7,11.9,229,542,2.36,"Ashwell__2020"
"Primate","Perodicticus potto","Potto",10227,1121,436,588,14.8,1.35,1038,56,22.1,26.6,632,1625,2.57,"Ashwell__2020"
"Diprotodontid","Petaurus australis","Yellow-bellied glider",3494,488,168,212,25.8,1.26,405,73.1,15.6,9.56,274,685,2.5,"Ashwell__2020"
"Diprotodontid","Petaurus norfolcensis","Squirrel glider",2843,393,136,163,19.9,1.2,320,61.5,11,11.5,238,564,2.37,"Ashwell__2020"
