Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
group,higher-level taxonomic/phylogenetic group as printed in the supplementary table,,TaxonGroup,,primary,Mammalia,Ashwell_2020,"Examples include monotreme, didelphimorphid, diprotodontid, primate, carnivore, etc.","Supplementary table column ""Group"""
species,species binomial as printed in the supplementary table (summary rows such as mean/SD retained where present),,Species,,primary,Mammalia,Ashwell_2020,"Includes specimen or summary labels exactly as printed, e.g. numbered specimens, mean, or SD rows.","Supplementary table column ""Species"""
common_name,common English name for the taxon as printed in the supplementary table,,CommonName,,primary,Mammalia,Ashwell_2020,,"Supplementary table column ""Common name"""
brain_volume_mm3,whole brain volume in cubic millimetres,WholeBrain,Volume.mm3,,primary,Mammalia,Ashwell_2020,Used as the scaling variable for total cerebellar volume in the paper.,"Supplementary table column ""Brain volume (mm3)"""
total_cb_volume_mm3,total volume of the corpus cerebelli in cubic millimetres,Cerebellum,Volume.mm3,,primary,Mammalia,Ashwell_2020,Paper reports that corpus cerebelli volume scales approximately isometrically with brain volume.,"Supplementary table column ""Total Cb volume (mm3)"""
vermis_excl_cb10_mm3,"volume of cerebellar vermal cortex excluding lobule 10 (nodulus), in cubic millimetres",CerebellarVermis,Volume.mm3,,primary,Mammalia,Ashwell_2020,Corresponds to vermal lobules 1-9; used with hemisphere volume to assess hemispheric specialization.,"Supplementary table column ""Vermis (excl Cb10) (mm3)"" and Table 1 description"
hemisphere_excl_fl_mm3,"volume of cerebellar hemisphere cortex excluding flocculus, in cubic millimetres",CerebellarHemisphere,Volume.mm3,,primary,Mammalia,Ashwell_2020,Paraflocculus is included; this variable is used to quantify hemispheric expansion relative to vermis.,"Supplementary table column ""Hemisphere (excl Fl) (mm3)"" and Table 1 description"
flocculo_nodular_cb_cx_mm3,"volume of flocculonodular lobe cerebellar cortex (flocculus plus nodulus/lobule 10), in cubic millimetres",FlocculonodularLobe,Volume.mm3,,primary,Mammalia,Ashwell_2020,Represents vestibulocerebellar cortex involved in vestibular/eye-head coordination.,"Supplementary table column ""Flocculo-nodular Cb Cx (mm3)"" and Table 1 description"
ratio_hemisph_vermis,ratio of hemisphere cortex volume to vermal cortex volume,CerebellarOrganization,Ratio,,derived,Mammalia,Ashwell_2020,Used in the paper as an index of cerebellar hemispheric enlargement or specialization.,"Supplementary table column ""Ratio Hemisph/ Vermis"""
total_cb_cx_volume_mm3,total cerebellar cortical volume in cubic millimetres,CerebellarCortex,Volume.mm3,,primary,Mammalia,Ashwell_2020,"Represents total cerebellar cortex; used in scaling analyses of foliation, white matter, pontine nuclei, and deep cerebellar nuclei.","Supplementary table column ""Total Cb Cx volume (mm3)"""
cb_white_matter_mm3,"volume of deep cerebellar white matter within the corpus cerebelli, excluding deep cerebellar nuclei, in cubic millimetres",CerebellarWhiteMatter,Volume.mm3,,primary,Mammalia,Ashwell_2020,Used to assess internal connectivity of the cerebellum.,"Supplementary table column ""Cb white matter (mm3)"" and Table 1 description"
pn_rttg_volume_mm3,"combined volume of basilar pontine nuclei and reticulotegmental pontine nuclei, in cubic millimetres",PontinePrecerebellarNuclei,Volume.mm3,,primary,Mammalia,Ashwell_2020,"The paper treats ""pontine nuclei"" here as including both basilar pontine and reticulotegmental nuclei.","Supplementary table column ""Pn and RtTg volume (mm3)"" and Results text"
deep_cb_nu_volume_mm3,"volume of deep cerebellar nuclei, including medial, intermediate and lateral nuclei plus interstitial cell group, in cubic millimetres",DeepCerebellarNuclei,Volume.mm3,,primary,Mammalia,Ashwell_2020,"Excludes nucleus Y and vestibulocerebellar nucleus, which are treated as part of the vestibular nuclear complex.","Supplementary table column ""Deep Cb nu volume (mm3)"" and Table 1 description"
cb_ext_surface_esa_mm2,"external surface area of the cerebellum in square millimetres, defined as the multi-sided convex polygon enclosing the cerebellar surface in contact with subarachnoid space or fourth ventricle lumen",Cerebellum,Surface.mm2,,primary,Mammalia,Ashwell_2020,Used as the denominator in the foliation index.,"Supplementary table column ""Cb ext surface (ESA) (mm2)"" and Table 1 description"
cb_pial_surface_psa_mm2,"total pial surface area of the cerebellum in square millimetres, including all sulci and fissures whether facing subarachnoid space or the fourth ventricle",Cerebellum,Surface.mm2,,primary,Mammalia,Ashwell_2020,Used as the numerator in the foliation index.,"Supplementary table column ""Cb pial surface (PSA) (mm2)"" and Table 1 description"
foliation_index,foliation index calculated as pial surface area divided by external cerebellar surface area (PSC/ESC),Cerebellum,Index,,derived,Mammalia,Ashwell_2020,Quantifies degree of cerebellar cortical folding.,"Supplementary table column ""Foliation index"" and Methods/Results text"
source,source identifier for the dataset row,,Source,,primary,Mammalia,Ashwell_2020,Useful if harmonized with other extracted tables in the project.,Suggested harmonization field analogous to the Barger and MacLeod definition files
