"Species","Tree_Name","Tree_Clade","Individuals","Sex","Side","log10_mc1_mm","log10_pp1_mm","log10_dp1_mm","log10_mc2_mm","log10_pp2_mm","log10_ip2_mm","log10_dp2_mm","log10_mc3_mm","log10_pp3_mm","log10_ip3_mm","log10_dp3_mm","log10_mc4_mm","log10_pp4_mm","log10_ip4_mm","log10_dp4_mm","log10_mc5_mm","log10_pp5_mm","log10_ip5_mm","log10_dp5_mm","Bone_References","Bone_References_resolved","bone_data_restricted","log10_brain_g","brain_notes","log10_body_g","body_notes","log10_neocortex_cm3","log10_cerebellum_cm3","Brain_References","Brain_References_resolved","Tool_Use","Single_Individual","Captive_Only","Tool_Manufacture","True_Tool_Use","Binocularity","peak_workspace","relative_size","real_size"
"Adapis parisiensis","Adapis_parisiensis","adapiform","RD_311","Both/Unspecified","Unspecified",0.979092900638326,,,1.18098558078673,,,,1.24204423936955,1.19117145572856,1.04805317311561,0.597695185925512,1.23468597432153,,,,1.14519640611418,,,,"1;2","Boyer et al. 2016; Boyer et al. 2013","FALSE",0.944975908412048,"Converted from volume using 1g = 1cm3.",3.38246732201583,"Average value from table reporting previously published body mass predictions (Table 8).",,,"26","Harrington et al. 2016",0,,,,,1.77815125038364,,,
"Afropithecus turkanensis","Afropithecus_turkanensis","ape","KNM-WK_18121","Both/Unspecified","Unspecified",,1.45178643552429,,,,,,,,,,,,,,,,,,"3","Almecija et al. 2012","FALSE",,,,,,,,,0,,,,,,,,
"Allenopithecus nigroviridis","Allenopithecus_nigroviridis","owm","taxon-level","male","Unspecified",,,,1.45924166487808,,,,1.47567118832443,,,,1.43328968519503,,,,,,,,"4","Patel 2010","FALSE",1.76358551175648,,3.66791968531736,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Alouatta belzebul","Alouatta_belzebul","nwm","taxon-level","Both/Unspecified","Unspecified",1.316319878258,1.30934622202062,1.09342168516224,1.4367985102318,1.41580772763554,1.22865695810894,,1.48201557645071,1.47769992833213,1.3041672717244,,1.47402190538789,1.48948973196227,1.32715451240943,,1.44855173920158,,,,"5;6","Almecija et al. 2015; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011)","FALSE",1.72299362927784,,3.80584054881467,,,,"27","Venditti et al. 2024",0,,,,,1.85430604180108,,,
"Alouatta caraya","Alouatta_caraya","nwm","AMNH_209917","Both/Unspecified","Unspecified",1.36172783601759,,,,,,,,1.48826861549546,1.30813737863804,,1.55059520748933,,,,1.48995847942483,,,,"7","Prang et al. 2021","FALSE",1.705007959,,3.700054386,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Alouatta palliatus","Alouatta_palliatus","nwm","taxon-level","Both/Unspecified","Unspecified",1.32376758329678,1.35506820634885,1.10720996964787,1.47129171105894,,,,1.5152113043278,1.50155218746609,1.31026836663245,,1.49899936358015,1.52762990087134,1.36172783601759,,1.44754562126701,,,,"5;7;8","Almecija et al. 2015; Prang et al. 2021; Tague 1997","FALSE",1.699273904,,3.774662923,,1.456,0.64,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,,,,,,,,
"Alouatta seniculus","Alouatta_seniculus","nwm","taxon-level","Both/Unspecified","Unspecified",1.33439091464906,1.30802343170697,1.11991541025799,1.48127908446486,1.46601787390354,1.27443077259293,1.03941411917614,1.52501662348241,1.51045564000733,1.33931891323648,,1.50130248034113,1.50574672306446,1.3458244569982,,1.44983724551267,,,,"5;6;7;9;10;11","Almecija et al. 2015; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Prang et al. 2021; Feix et al. 2015; Almecija et al. 2014; Hart 2018","FALSE",1.658011397,,3.451402614,,1.47,0.705,"27;28","Venditti et al. 2024; Barton & Venditti 2014",1,1,0,1,1,1.82994669594164,-1.53760200210104,-1.09691001300806,1.06069784035361
"Aotus azarae","Aotus_azarae","nwm","taxon-level","Both/Unspecified","Unspecified",1.02407498730743,0.976349979003273,,1.25788616710497,1.14426277376199,0.974050902792877,,1.29086578494364,1.18241465243455,0.992995098431341,,1.25981943472062,1.18412335423967,1.04453976039241,,1.14406801413637,,,,"6;11","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Hart 2018","FALSE",1.31597034545692,,3.0899051114394,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Aotus trivirgatus","Aotus_trivirgatus","nwm","taxon-level","Both/Unspecified","Unspecified",1.07766298919408,1.0097956280686,,1.21276002023605,1.149619634858,0.957193284252354,,1.23044892137827,1.19033169817029,1.03342375548695,,1.22276059369364,1.18740746429153,1.04342426355766,,1.10226355721697,,,,"6;12","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008","FALSE",1.205204364,,2.846139098,,0.964,0.176000000000001,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,,,,,,,,
"Archaeolemur edwardsi","Archaeolemur_edwardsi","strepsirrhine","DPC_11823;DPC_11837;USNM_447012","Both/Unspecified","Mix/Unspecified",1.22010808804006,,,1.53360261067211,,,,1.55347846724629,,,,1.55730665030574,,,,1.55910828936663,,,,"13","Jungers et al. 2005","FALSE",2.01703333929878,"Converted from volume using 1g = 1cm3.",4.34242268082221,,,,"29","Snodgrass et al. 2007",0,,,,,1.8228216453031,,,
"Archaeolemur majori","Archaeolemur_majori","strepsirrhine","DPC_17175;DPC_18740","Both/Unspecified","Unspecified",,,,1.5854607295085,,,,,,,,1.52762990087134,,,,1.54468802230268,,,,"13","Jungers et al. 2005","FALSE",1.96848294855394,"Converted from volume using 1g = 1cm3.",4.21218760440396,,,,"30","Schwartz et al. 2005",0,,,,,,,,
"Arctocebus calabarensis","Arctocebus_calabarensis","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,0.906335041805091,0.838219221907626,,,,,0.768175445955215,,0.868203455637116,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",0.886,,2.49,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Ardipithecus ramidus","Ardipithecus_ramidus","hominin","ARA-VP-6/500","female","Unspecified",1.54654266347813,1.40993312333129,1.16435285578444,,,,,,1.7160033436348,1.55266821611219,,1.77451696572855,1.6730209071289,1.54406804435028,,1.7427251313047,,,,"5;7","Almecija et al. 2015; Prang et al. 2021","FALSE",2.51188336097887,"Converted from volume using 1g = 1cm3. Average value calculated from a range.",4.55870857053317,"Average value from a range of representative sizes (using the first of 1000 randomly sampled datasets).",,,"31","Puschel et al. 2024",0,,,,,,,,
"Ateles belzebuth","Ateles_belzebuth","nwm","AMNH_201294;AMNH_259;AMNH_30192 (plus some measurements at taxon-level)","Both/Unspecified","Unspecified",1.35766809304363,,,1.66679868366617,1.5315427791822,1.34093960203808,,1.69823107544912,1.60502476573002,1.43219937875331,,1.70466518545453,1.57611089412084,1.38444302405878,,1.67096907469322,,,,"6;7","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Prang et al. 2021","FALSE",2.05192391604611,,3.92860065984452,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Ateles fusciceps","Ateles_fusciceps","nwm","USNM_338115;USNM_338114","Both/Unspecified","Unspecified",1.29710365014926,,,,,,,,1.59565366046493,1.43021331452755,,1.6937395078653,,,,1.65417654187796,,,,"7","Prang et al. 2021","FALSE",2.055378331,,3.955519386,,,,"27","Venditti et al. 2024",0,,,,,1.89542254603941,,,
"Ateles geoffroyi","Ateles_geoffroyi","nwm","taxon-level","Both/Unspecified","Unspecified",1.37657695705651,,,1.67669360962487,1.50528149120739,1.32817610736,,1.71180722904119,1.58291742680453,1.41009882144909,,1.70329137811866,1.56130405702091,1.39900685243076,,1.67117284271508,,,,"6;7;8","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Prang et al. 2021; Tague 1997","FALSE",2.021034166,,3.76147678,,1.861,1.018,"27;28","Venditti et al. 2024; Barton & Venditti 2014",1,0,0,0,1,1.89097959698969,,,
"Ateles paniscus","Ateles_paniscus","nwm","FMNH_93244","Both/Unspecified","Unspecified",1.17983892802319,,,,,,,,1.63346845557959,1.45545396877863,,1.7160033436348,,,,1.69983772586725,,,,"7","Prang et al. 2021","FALSE",2.037267095,,3.53529412,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Australopithecus afarensis","Australopithecus_afarensis","hominin","AL_333_composite","Both/Unspecified","Unspecified",1.59659709562646,1.41497334797082,1.27875360095283,1.79028516403324,1.57287160220048,1.34830486304816,1.13672056715641,1.81157500587059,1.60852603357719,1.40993312333129,,1.73719264270474,,,,1.71180722904119,,,,"7;9;14","Prang et al. 2021; Feix et al. 2015; Drapeau & Ward 2007","FALSE",2.62376600013393,"Converted from volume using 1g = 1cm3. Average value calculated from a range.",4.61066016308988,"Average value from a range of representative sizes (using the first of 1000 randomly sampled datasets).",,,"31","Puschel et al. 2024",0,,,,,,-1.39794000867204,-1.09691001300806,0.380211241711606
"Australopithecus africanus","Australopithecus_africanus","hominin","StW_63;Stw_63","Both/Unspecified","Mix/Unspecified",1.56407397897715,,,1.81324730089761,,,,1.73439974252057,,,,,,,,1.63748972951251,,,,"15;16","Green & Gordon 2008; Kivell et al. 2020","FALSE",2.63663115694576,"Converted from volume using 1g = 1cm3. Average value calculated from a range.",4.54909088322691,"Average value from a range of representative sizes (using the first of 1000 randomly sampled datasets).",,,"31","Puschel et al. 2024",0,,,,,,,,
