"Structure","Sample","field","snapshot","curated","match"
"Frontal lobes","Homo habilis s.l.","n",4,4,TRUE
"Frontal lobes","Homo habilis s.l.","Mean",116,116,TRUE
"Frontal lobes","Homo habilis s.l.","V*",1.48,1.48,TRUE
"Frontal lobes","African and Georgian Homo erectus s.l.","n",5,5,TRUE
"Frontal lobes","African and Georgian Homo erectus s.l.","Mean",113,113,TRUE
"Frontal lobes","African and Georgian Homo erectus s.l.","V*",4.16,4.16,TRUE
"Frontal lobes","Asian Homo erectus","n",15,15,TRUE
"Frontal lobes","Asian Homo erectus","Mean",117,117,TRUE
"Frontal lobes","Asian Homo erectus","V*",3.16,3.16,TRUE
"Frontal lobes","Neandertals s.l.","n",12,12,TRUE
"Frontal lobes","Neandertals s.l.","Mean",119,119,TRUE
"Frontal lobes","Neandertals s.l.","V*",4.13,4.13,TRUE
"Frontal lobes","AMH","n",110,110,TRUE
"Frontal lobes","AMH","Mean",114,114,TRUE
"Frontal lobes","AMH","V*",4.27,4.27,TRUE
"Parieto-temporal lobes","Homo habilis s.l.","n",4,4,TRUE
"Parieto-temporal lobes","Homo habilis s.l.","Mean",137,137,TRUE
"Parieto-temporal lobes","Homo habilis s.l.","V*",3.32,3.32,TRUE
"Parieto-temporal lobes","African and Georgian Homo erectus s.l.","n",5,5,TRUE
"Parieto-temporal lobes","African and Georgian Homo erectus s.l.","Mean",138,138,TRUE
"Parieto-temporal lobes","African and Georgian Homo erectus s.l.","V*",3.11,3.11,TRUE
"Parieto-temporal lobes","Asian Homo erectus","n",14,14,TRUE
"Parieto-temporal lobes","Asian Homo erectus","Mean",130,130,TRUE
"Parieto-temporal lobes","Asian Homo erectus","V*",2.11,2.11,TRUE
"Parieto-temporal lobes","Neandertals s.l.","n",11,11,TRUE
"Parieto-temporal lobes","Neandertals s.l.","Mean",134,134,TRUE
"Parieto-temporal lobes","Neandertals s.l.","V*",3.5,3.5,TRUE
"Parieto-temporal lobes","AMH","n",109,109,TRUE
"Parieto-temporal lobes","AMH","Mean",141,141,TRUE
"Parieto-temporal lobes","AMH","V*",2.94,2.94,TRUE
"Occipital lobes","Homo habilis s.l.","n",4,4,TRUE
"Occipital lobes","Homo habilis s.l.","Mean",74,74,TRUE
"Occipital lobes","Homo habilis s.l.","V*",8.2,8.2,TRUE
"Occipital lobes","African and Georgian Homo erectus s.l.","n",5,5,TRUE
"Occipital lobes","African and Georgian Homo erectus s.l.","Mean",70,70,TRUE
"Occipital lobes","African and Georgian Homo erectus s.l.","V*",5.73,5.73,TRUE
"Occipital lobes","Asian Homo erectus","n",16,16,TRUE
"Occipital lobes","Asian Homo erectus","Mean",79,79,TRUE
"Occipital lobes","Asian Homo erectus","V*",4.97,4.97,TRUE
"Occipital lobes","Neandertals s.l.","n",12,12,TRUE
"Occipital lobes","Neandertals s.l.","Mean",76,76,TRUE
"Occipital lobes","Neandertals s.l.","V*",7.27,7.27,TRUE
"Occipital lobes","AMH","n",110,110,TRUE
"Occipital lobes","AMH","Mean",69,69,TRUE
"Occipital lobes","AMH","V*",8.1,8.1,TRUE
