Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
case_index,sequential index of the individual specimen as listed in Table 1 (1-20),,,info,Apes & humans,Barger_etal_2014_Table1,multiple individuals per species; no specimen ID printed in the table,
species,species binomial (footnote markers removed),,Species,,primary,Apes & humans,Barger_etal_2014_Table1,reconcile to _keys/Stephan/species_key.csv,
processing,"tissue processing: a = paraffin embedded (Semendeferi 1998 / Barger 2007); b = cryosectioned (Barger 2012)",,Method,,primary,Apes & humans,Barger_etal_2014_Table1,from the species-name footnote superscript,
in_barger2007,"case also included in Barger et al. 2007 (marked '*' in the table): Y/N",,,info,Apes & humans,Barger_etal_2014_Table1,,
amygdala_lateral_cc,lateral amygdaloid nucleus volume (one hemisphere),LateralNucleus,Volume.cm3,,primary,Apes & humans,Barger_etal_2014_Table1,ONE hemisphere (cc); not a both-hemisphere sum; pools with Barger_etal_2007 LateralNucleus (which is per-hemisphere L/R) ,
amygdala_basal_cc,basal amygdaloid nucleus volume (one hemisphere),BasalNucleus,Volume.cm3,,primary,Apes & humans,Barger_etal_2014_Table1,one hemisphere (cc),
amygdala_accessory_basal_cc,accessory basal amygdaloid nucleus volume (one hemisphere),AccessoryBasalNucleus,Volume.cm3,,primary,Apes & humans,Barger_etal_2014_Table1,one hemisphere (cc),
amygdala_central_cc,central amygdaloid nucleus volume (one hemisphere),CentralNucleus,Volume.cm3,,primary,Apes & humans,Barger_etal_2014_Table1,one hemisphere (cc); not measured in Barger 2007,
amygdala_total_cc,whole amygdala (amygdaloid complex) volume (one hemisphere),AmygdaloidComplex,Volume.cm3,,primary,Apes & humans,Barger_etal_2014_Table1,one hemisphere (cc); maps to Stephan 'Amygdala' / Barger 2007 AC_total (but those are both-hemisphere),
hippocampus_cc,hippocampus volume (one hemisphere),Hippocampus,Volume.cm3,,primary,Apes & humans,Barger_etal_2014_Table1,"one hemisphere (cc); cornu ammonis, dentate gyrus, prosubiculum, subiculum, presubiculum",
striatum_cc,striatum volume (one hemisphere),Striatum,Volume.cm3,,primary,Apes & humans,Barger_etal_2014_Table1,one hemisphere (cc); caudate + putamen (excl. internal capsule and ventral striatum),
source,source identifier,,Source,,primary,Apes & humans,Barger_etal_2014_Table1,,
Note:hemisphere,"all volumes are ONE hemisphere per individual (Table 1 footnote); convert/compare accordingly when pooling with both-hemisphere datasets (Barger 2007 totals, Stephan).",,,method,,Barger_etal_2014_Table1,table footnote,
