species,species_as_published,barks_table1_specimen_number,moesm3_row,N,brain_volume_mm3,neocortex_GMWM_mm3,neocortex_GM_mm3,cerebellum_mm3,striatum_mm3,hippocampus_mm3,amygdala_mm3,insula_GM_mm3,source,provenance
Gorilla beringei,Gorilla_beringei,3,96,1,445620,292357.5000000001,196935,50939.58333333335,10759.58333333334,2846.666666666667,1053.75,4200.000000000001,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla beringei,Gorilla_beringei,12,97,1,488910,288076.25,171045,58717.3611111111,7836.597222222222,2838.888888888889,1150.625,3281.25,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla beringei,Gorilla_beringei,5,98,1,411670,243460,159486.25,50001.38888888889,8908.472222222223,2815.555555555556,1728.125,2485,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla beringei,Gorilla_beringei,45,99,1,369430,227071.25,123392.5,43611.45833333333,7550.763888888889,3328.888888888889,1137.5,2668.75,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla beringei,Gorilla_beringei,46,100,1,398130,234115.1786390683,128645.3281349932,43684.07097717069,8480.97167584813,2890.226868233068,1792.409262033138,2734.529500331391,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla beringei,Gorilla_beringei,2,101,1,325990,200118.75,148193.75,37164.93055555555,8353.819444444445,2394.444444444444,1062.5,2656.25,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla beringei,Gorilla_beringei,6,102,1,360490,210988.75,142563.75,49668.40277777778,8765.555555555555,2916.666666666666,988.75,2572.5,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla beringei,Gorilla_beringei,30,103,1,405960,246207.5,140656.25,42046.18055555555,8074.791666666666,3274.444444444444,1067.5,2738.75,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla beringei,Gorilla_beringei,35,104,1,358870,268738.75,158182.5,37124.30555555555,7360.208333333333,2877.777777777777,1351.875,2231.25,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla beringei,Gorilla_beringei,32,105,1,434580,284096.410325,165943.115065,44145.633987,8853.7025850000009,3975.225345,1631.661122,2899.270465000001,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla beringei,Gorilla_beringei,33,106,1,359840,235423.3656032,138294.9856507,36448.0723658,8589.5153469,4126.0845189,957.1521909,2678.4899963,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla beringei,Gorilla_beringei,34,107,1,336430,231122.5,151480,35989.23611111111,8193.888888888889,2162.222222222222,511.875,1855,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla beringei,Gorilla_beringei,4,108,1,363500,272352.5,196875,42106.94444444444,9027.569444444443,2504.444444444444,1159.375,2415,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla beringei,Gorilla_beringei,7,109,1,410320,282756.25,205082.5,46243.75,10456.73611111111,2621.111111111111,1185.625,2590,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,62,127,1,461500,241710,143740,58780.55555555555,8711.111111111111,3093.333333333333,1430,3220,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,393,128,1,338990,182288.75,107800,46110.06944444445,7002.916666666666,3196.666666666666,1098.125,1907.5,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,232,129,1,346350,225980.705623722,130843.011341224,39165.10822399875,10123.66882349375,3266.79733464,1085.043400434,1991.190756352,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,72,130,1,445680,313304.4444444444,189233.3333333333,72268.51851851851,11179.25925925926,3567.407407407407,1462.222222222222,3639.999999999999,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,713,131,1,380700,233597.7777777778,142006.6666666667,57477.77777777777,6764.722222222222,3632.222222222222,1470,1680,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,444,132,1,433370,236652.5,135047.5,57630.90277777777,9146.666666666668,3647.777777777777,949.375,2642.5,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,897,133,1,435210,298627.7777777778,173588.3333333333,41897.91666666666,7550.763888888889,4262.222222222222,2065,1960,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,506,134,1,449220,290838.3333333333,172235,69781.25,NA,4262.222222222222,1316.875,1388.333333333333,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,1108,135,1,540440,338193.3333333333,208623.3333333334,77063.19444444444,6788.541666666666,4277.777777777777,717.5,1878.333333333333,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
