status,code_join,code_snapshot,code_csv,species_snapshot,species_csv_baron1983,species_csv_updated,n_snapshot,n_snapshot_num,n_csv,n_csv_num,volume_snapshot,volume_snapshot_num,volume_csv,volume_csv_num,code_match,n_match,volume_match,original_name_match
matched_by_code,575,0575,575,Solenodon paradoxus,Solenodon paradoxus,Solenodon paradoxus,2*,2,2*,2,464 +,464,464,464,TRUE,TRUE,TRUE,TRUE
matched_by_code,577,0577,577,Tenrec ecaudatus,Tenrec ecaudatus,Tenrec ecaudatus,3,3,3,3,314,314,314,314,TRUE,TRUE,TRUE,TRUE
matched_by_code,579,0579,579,Setifer setosus,Setifer setosus,Setifer setosus,2,2,2,2,209,209,209,209,TRUE,TRUE,TRUE,TRUE
matched_by_code,581,0581,581,Hemicentetes semispin.,Hemicentetes semispin.,Hemicentetes semispinosus,1,1,1,1,93.6,93.6,93.6,93.6,TRUE,TRUE,TRUE,TRUE
matched_by_code,585,0585,585,Echinops telfairi,Echinops telfairi,Echinops telfairi,2*,2,2*,2,71.2,71.2,71.2,71.2,TRUE,TRUE,TRUE,TRUE
matched_by_code,589,0589,589,Oryzorictes talpoides,Oryzoricles talpoides,Oryzorictes hova,1,1,1,1,46.9,46.9,46.9,46.9,TRUE,TRUE,TRUE,FALSE
matched_by_code,595,0595,595,Microgale cowani,Microgale cowani,Microgale cowani,1,1,1,1,35.9,35.9,35.9,35.9,TRUE,TRUE,TRUE,TRUE
matched_by_code,601,0601,601,Microgale dobsoni3,Microgale dobsoni,Nesogale dobsoni,1,1,1,1,53.6,53.6,53.6,53.6,TRUE,TRUE,TRUE,TRUE
matched_by_code,629,0629,629,Microgale talazaci4,Microgale talazaci,Nesogale talazaci,1,1,1,1,74.3,74.3,74.3,74.3,TRUE,TRUE,TRUE,TRUE
matched_by_code,633,0633,633,Limnogale mergulus,Limnogale mergulus,Microgale mergulus,1,1,1,1,42.9,42.9,42.9,42.9,TRUE,TRUE,TRUE,TRUE
matched_by_code,637,0637,637,Potamogale velox,Potamogale velox,Potamogale velox,2,2,2,2,86.0,86,86,86,TRUE,TRUE,TRUE,TRUE
matched_by_code,639,0639,639,Micropotamogale lamottei,Micropotamogale lamottei,Micropotamogale lamottei,3,3,3,3,34.1 +,34.1,34.1,34.1,TRUE,TRUE,TRUE,TRUE
