"status","code_norm","code_snapshot","code_csv","species_snapshot","species_csv_baron1983","species_csv_updated","taxonomic_group_snapshot","n_snapshot","n_snapshot_numeric","n_csv","n_csv_numeric","volume_snapshot","volume_snapshot_numeric","volume_csv","volume_csv_numeric","code_match","n_match","volume_match","species_label_match_after_light_normalization"
"matched_by_code","1071","1071","1071","Crocidura russula","Crocidura russula","Crocidura russula","Basal Insectivora","2*",2,"2*",2,"16.3",16.3,"16.3",16.3,TRUE,TRUE,TRUE,TRUE
"snapshot_row_missing_from_csv","1137","1137",NA,"Suncus murinus",NA,NA,"Basal Insectivora","1",1,NA,NA,"34.2",34.2,NA,NA,FALSE,FALSE,FALSE,NA
"matched_by_code","1205","1205","1205","Desmana moschata","Desmana moschata","Desmana moschata","Progressive Insectivora","1",1,"1",1,"141",141,"141",141,TRUE,TRUE,TRUE,TRUE
"matched_by_code","1207","1207","1207","Galemys pyrenaicus","Galemys pyrenaicus","Galemys pyrenaicus","Progressive Insectivora","2",2,"2",2,"39.0",39,"39",39,TRUE,TRUE,TRUE,TRUE
"snapshot_row_missing_from_csv","1215","1215",NA,"Talpa europaea",NA,NA,"Progressive Insectivora","2*",2,NA,NA,"59.6",59.6,NA,NA,FALSE,FALSE,FALSE,NA
"snapshot_row_missing_from_csv","1263","1263",NA,"Tupaia glis",NA,NA,"Scandentia","20*",20,NA,NA,"131",131,NA,NA,FALSE,FALSE,FALSE,NA
"snapshot_row_missing_from_csv","1269","1269",NA,"Tupaia minor",NA,NA,"Scandentia","2",2,NA,NA,"94.3",94.3,NA,NA,FALSE,FALSE,FALSE,NA
"snapshot_row_missing_from_csv","1289","1289",NA,"Urogale everetti",NA,NA,"Scandentia","1",1,NA,NA,"184",184,NA,NA,FALSE,FALSE,FALSE,NA
"matched_by_code","3199","3199","3199","Microcebus murinus","Microcebus murinus","Microcebus murinus","Prosimians","6*",6,"6*",6,"43.0",43,"43",43,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3203","3203","3203","Cheirogaleus major","Cheirogaleus major","Cheirogaleus major","Prosimians","2",2,"2",2,"158",158,"158",158,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3205","3205","3205","Cheirogaleus medius","Cheirogaleus medius","Cheirogaleus medius","Prosimians","2",2,"2",2,"102",102,"102",102,TRUE,TRUE,TRUE,TRUE
"matched_by_code","3215","3215","3215","Lemur albifrons6","Lemur albifrons","Eulemur fulvus","Prosimians","3",3,"3",3,"207",207,"207",207,TRUE,TRUE,TRUE,TRUE
"snapshot_row_missing_from_csv","3227","3227",NA,"Varecia variegata7",NA,NA,"Prosimians","1",1,NA,NA,"369",369,NA,NA,FALSE,FALSE,FALSE,NA
