code_Baron1983,Species_Baron1983_snapshot,Species_user_csv,Species_MDD_v2_4,Order_MDD,Family_MDD,Baron_group_major,Baron_group_sub,name_change,MDD_differs_from_user_csv,needs_review,corroborating_dataset,notes
0575,Solenodon paradoxus,Solenodon paradoxus,Solenodon paradoxus,Eulipotyphla,Solenodontidae,Insectivora,Progressive Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
0577,Tenrec ecaudatus,Tenrec ecaudatus,Tenrec ecaudatus,Afrosoricida,Tenrecidae,Insectivora,Basal Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
0579,Setifer setosus,Setifer setosus,Setifer setosus,Afrosoricida,Tenrecidae,Insectivora,Basal Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
0581,Hemicentetes semispin.,Hemicentetes semispinosus,Hemicentetes semispinosus,Afrosoricida,Tenrecidae,Insectivora,Basal Insectivora,abbreviation expanded (semispin.),FALSE,FALSE,Boddy2012; Smaers2021,
0585,Echinops telfairi,Echinops telfairi,Echinops telfairi,Afrosoricida,Tenrecidae,Insectivora,Basal Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
0589,Oryzorictes talpoides,Oryzorictes hova,Oryzorictes hova,Afrosoricida,Tenrecidae,Insectivora,Progressive Insectivora,species synonymized: talpoides -> hova,FALSE,FALSE,Boddy2012; Smaers2021,O. talpoides is a junior synonym of O. hova
0595,Microgale cowani,Microgale cowani,Microgale cowani,Afrosoricida,Tenrecidae,Insectivora,Progressive Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
0601,Microgale dobsoni,Nesogale dobsoni,Nesogale dobsoni,Afrosoricida,Tenrecidae,Insectivora,Progressive Insectivora,genus reassigned: Microgale -> Nesogale (Everson et al. 2016),FALSE,FALSE,Boddy2012; Smaers2021,
0629,Microgale talazaci,Nesogale talazaci,Nesogale talazaci,Afrosoricida,Tenrecidae,Insectivora,Progressive Insectivora,genus reassigned: Microgale -> Nesogale (Everson et al. 2016); MDD 1000512,FALSE,FALSE,Boddy2012; Smaers2021,
0633,Limnogale mergulus,Microgale mergulus,Microgale mergulus,Afrosoricida,Tenrecidae,Insectivora,Progressive Insectivora,genus reassigned: Limnogale -> Microgale (Everson et al. 2016),FALSE,FALSE,Boddy2012; Smaers2021,
0637,Potamogale velox,Potamogale velox,Potamogale velox,Afrosoricida,Potamogalidae,Insectivora,Progressive Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
0639,Micropotamogale lamottei,Micropotamogale lamottei,Micropotamogale lamottei,Afrosoricida,Potamogalidae,Insectivora,Progressive Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
0643,Chrysochloris asiatica,Chrysochloris asiatica,Chrysochloris asiatica,Afrosoricida,Chrysochloridae,Insectivora,Progressive Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
0645,Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,Afrosoricida,Chrysochloridae,Insectivora,Progressive Insectivora,unchanged (genus Chrysochloris monophyletic; cf. footnote Chlorotalpa),FALSE,FALSE,Boddy2012; Smaers2021,
0689,Erinaceus algirus,Atelerix algirus,Atelerix algirus,Eulipotyphla,Erinaceidae,Insectivora,Basal Insectivora,genus reassigned: Erinaceus/Aethechinus -> Atelerix,FALSE,FALSE,Boddy2012; Smaers2021,Baron footnote: Aethechinus algirus
0695,Erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus,Eulipotyphla,Erinaceidae,Insectivora,Basal Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
0701,Hemiechinus auritus,Hemiechinus auritus,Hemiechinus auritus,Eulipotyphla,Erinaceidae,Insectivora,Basal Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
0715,Sorex araneus,Sorex araneus,Sorex araneus,Eulipotyphla,Soricidae,Insectivora,Basal Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
0769,Sorex minutus,Sorex minutus,Sorex minutus,Eulipotyphla,Soricidae,Insectivora,Basal Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
0839,Neomys fodiens,Neomys fodiens,Neomys fodiens,Eulipotyphla,Soricidae,Insectivora,Progressive Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
0943,Crocidura flavescens,Crocidura flavescens,Crocidura flavescens,Eulipotyphla,Soricidae,Insectivora,Basal Insectivora,unchanged (Baron footnote: C. occidentalis),FALSE,FALSE,Boddy2012; Smaers2021,
1071,Crocidura russula,Crocidura russula,Crocidura russula,Eulipotyphla,Soricidae,Insectivora,Basal Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
1137,Suncus murinus,Suncus murinus,Suncus murinus,Eulipotyphla,Soricidae,Insectivora,Basal Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
1205,Desmana moschata,Desmana moschata,Desmana moschata,Eulipotyphla,Talpidae,Insectivora,Progressive Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
1207,Galemys pyrenaicus,Galemys pyrenaicus,Galemys pyrenaicus,Eulipotyphla,Talpidae,Insectivora,Progressive Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
1215,Talpa europaea,Talpa europaea,Talpa europaea,Eulipotyphla,Talpidae,Insectivora,Progressive Insectivora,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
1263,Tupaia glis,Tupaia glis,Tupaia glis,Scandentia,Tupaiidae,Scandentia,,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
1269,Tupaia minor,Tupaia minor,Tupaia minor,Scandentia,Tupaiidae,Scandentia,,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
1289,Urogale everetti,Urogale everetti,Tupaia everetti,Scandentia,Tupaiidae,Scandentia,,genus reassigned: Urogale -> Tupaia (Sargis 2004); MDD 1000544,TRUE,FALSE,Boddy2012; Smaers2021,
3199,Microcebus murinus,Microcebus murinus,Microcebus murinus,Primates,Cheirogaleidae,Primates,Prosimians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3203,Cheirogaleus major,Cheirogaleus major,Cheirogaleus major,Primates,Cheirogaleidae,Primates,Prosimians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3205,Cheirogaleus medius,Cheirogaleus medius,Cheirogaleus medius,Primates,Cheirogaleidae,Primates,Prosimians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3215,Lemur albifrons,Eulemur fulvus,Eulemur fulvus,Primates,Lemuridae,Primates,Prosimians,genus reassigned: Lemur -> Eulemur,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,Baron: Lemur albifrons; footnote Lemur fulvus
3227,Varecia variegata,Varecia variegata,Varecia variegata,Primates,Lemuridae,Primates,Prosimians,unchanged (Baron footnote: Lemur variegatus),FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3239,Lepilemur ruficaudatus,Lepilemur ruficaudatus,Lepilemur ruficaudatus,Primates,Lepilemuridae,Primates,Prosimians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3243,Avahi laniger laniger,Avahi laniger,Avahi laniger,Primates,Indriidae,Primates,Prosimians,trinomial -> binomial (Avahi laniger laniger),FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3244,Avahi l. occidentalis,Avahi occidentalis,Avahi occidentalis,Primates,Indriidae,Primates,Prosimians,subspecies elevated: Avahi l. occidentalis -> A. occidentalis,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3247,Propithecus verreauxi,Propithecus verreauxi,Propithecus verreauxi,Primates,Indriidae,Primates,Prosimians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3249,Indri indri,Indri indri,Indri indri,Primates,Indriidae,Primates,Prosimians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3251,Daubentonia madagascar.,Daubentonia madagascariensis,Daubentonia madagascariensis,Primates,Daubentoniidae,Primates,Prosimians,abbreviation expanded (madagascar.),FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3253,Loris tardigradus,Loris tardigradus,Loris tardigradus,Primates,Lorisidae,Primates,Prosimians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3255,Nycticebus coucang,Nycticebus coucang,Nycticebus coucang,Primates,Lorisidae,Primates,Prosimians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3259,Perodicticus potto,Perodicticus potto,Perodicticus potto,Primates,Lorisidae,Primates,Prosimians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3265,Galago senegalensis,Galago senegalensis,Galago senegalensis,Primates,Galagidae,Primates,Prosimians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3267,Otolemur crassicaudatus,Otolemur crassicaudatus,Otolemur crassicaudatus,Primates,Galagidae,Primates,Prosimians,genus reassigned: Galago -> Otolemur,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,Baron footnote: Galago crassicaudatus
3275,Galagoides demidoff,Galagoides demidoff,Galagoides demidoff,Primates,Galagidae,Primates,Prosimians,unchanged (remains Galagoides; cf. Paragalago split),FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,Baron footnote: Galago demidovii; MDD 1001046
3282,Tarsius spp.,Tarsius sp.,Tarsius sp.,Primates,Tarsiidae,Primates,Prosimians,"genus-level original (Tarsius spp.); genus since split (Cephalopachus, Carlito)",FALSE,TRUE,Boddy2012; DeCasien2017; Smaers2021,Baron pooled multiple Tarsius; not identified to species
3287,Callithrix jacchus,Callithrix jacchus,Callithrix jacchus,Primates,Callitrichidae,Primates,Simians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3289,Cebuella pygmaea,Callithrix pygmaea,Cebuella pygmaea,Primates,Callitrichidae,Primates,Simians,"genus: pygmaea retained in Cebuella (MDD), not Callithrix",TRUE,FALSE,Boddy2012; DeCasien2017; Smaers2021,MDD 1000786; user CSV used Callithrix pygmaea
3306,Saguinus midas,Saguinus midas,Saguinus midas,Primates,Callitrichidae,Primates,Simians,unchanged (Baron footnote: Saguinus tamarin),FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3311,Saguinus oedipus,Saguinus oedipus,Saguinus oedipus,Primates,Callitrichidae,Primates,Simians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3315,Callimico goeldii,Callimico goeldii,Callimico goeldii,Primates,Callitrichidae,Primates,Simians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3324,Cebus spp.,Cebus albifrons,Cebus albifrons,Primates,Cebidae,Primates,Simians,genus-level original (Cebus spp.); species assigned by user,FALSE,TRUE,Boddy2012; DeCasien2017; Smaers2021,Baron pooled multiple Cebus; albifrons remains Cebus (cf. Sapajus split)
3325,Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,Primates,Aotidae,Primates,Simians,family update: Cebidae -> Aotidae,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3327,Callicebus moloch,Callicebus moloch,Plecturocebus moloch,Primates,Pitheciidae,Primates,Simians,genus reassigned: Callicebus -> Plecturocebus (Byrne et al. 2016),TRUE,FALSE,Boddy2012; DeCasien2017; Smaers2021,MDD 1000882; user CSV used Callicebus moloch
3335,Saimiri sciureus,Saimiri sciureus,Saimiri sciureus,Primates,Cebidae,Primates,Simians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3341,Pithecia monachus,Pithecia monachus,Pithecia monachus,Primates,Pitheciidae,Primates,Simians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3366,Alouatta spp.,Alouatta seniculus,Alouatta seniculus,Primates,Atelidae,Primates,Simians,genus-level original (Alouatta spp.); species assigned by user,FALSE,TRUE,Boddy2012; DeCasien2017; Smaers2021,Baron pooled multiple Alouatta; not identified to species
3371,Ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,Primates,Atelidae,Primates,Simians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3379,Lagothrix lagothricha,Lagothrix lagothricha,Lagothrix lagothricha,Primates,Atelidae,Primates,Simians,unchanged (accepted spelling lagothricha),FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3391,Macaca mulatta,Macaca mulatta,Macaca mulatta,Primates,Cercopithecidae,Primates,Simians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3407,Cercocebus albigena,Lophocebus albigena,Lophocebus albigena,Primates,Cercopithecidae,Primates,Simians,genus reassigned: Cercocebus -> Lophocebus,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3415,Papio anubis,Papio anubis,Papio anubis,Primates,Cercopithecidae,Primates,Simians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3433,Cercopithecus ascanius,Cercopithecus ascanius,Cercopithecus ascanius,Primates,Cercopithecidae,Primates,Simians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3453,Cercopithecus mitis,Cercopithecus mitis,Cercopithecus mitis,Primates,Cercopithecidae,Primates,Simians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3469,Miopithecus talapoin,Miopithecus talapoin,Miopithecus talapoin,Primates,Cercopithecidae,Primates,Simians,genus reassigned: Cercopithecus -> Miopithecus,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,Baron footnote: Cercopithecus talapoin
3473,Erythrocebus patas,Erythrocebus patas,Erythrocebus patas,Primates,Cercopithecidae,Primates,Simians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3477,Colobus badius,Piliocolobus badius,Piliocolobus badius,Primates,Cercopithecidae,Primates,Simians,genus reassigned: Colobus -> Piliocolobus,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3493,Pygathrix nemaeus,Pygathrix nemaeus,Pygathrix nemaeus,Primates,Cercopithecidae,Primates,Simians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3499,Nasalis larvatus,Nasalis larvatus,Nasalis larvatus,Primates,Cercopithecidae,Primates,Simians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3539,Hylobates lar,Hylobates lar,Hylobates lar,Primates,Hylobatidae,Primates,Simians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3549,Pan troglodytes,Pan troglodytes,Pan troglodytes,Primates,Hominidae,Primates,Simians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
3551,Gorilla gorilla,Gorilla sp.,Gorilla gorilla,Primates,Hominidae,Primates,Simians,unchanged from Baron (genus Gorilla now split: G. gorilla / G. beringei),TRUE,TRUE,Boddy2012; DeCasien2017; Smaers2021,Baron: Gorilla gorilla; user CSV used 'Gorilla sp.' Assumed western gorilla G. gorilla
3553,Homo sapiens,Homo sapiens,Homo sapiens,Primates,Hominidae,Primates,Simians,unchanged,FALSE,FALSE,Boddy2012; DeCasien2017; Smaers2021,
7993,Elephantulus fuscipes,Elephantulus fuscipes,Elephantulus fuscipes,Macroscelidea,Macroscelididae,Macroscelidea,,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
8011,Rhynchocyon cirnei,Rhynchocyon cirnei,Rhynchocyon cirnei,Macroscelidea,Macroscelididae,Macroscelidea,,unchanged (Baron footnote: R. stuhlmanni),FALSE,FALSE,Boddy2012; Smaers2021,
