Species,Species_Baron1987,Bulbus_olfactorius_1987,Commissura_anterior,Prepiriform_cortex,Retrobulbar_cortex,Substantia_innominata,Tractus_olfactorius_lateralis,Tuberculum_olfactorium
AAAA_Anatomy_code,,BOL,COA,PRPI,RB,SIN,TRL,TOL
AAAA_Reference,Baron_1987,Baron_1987,Baron_1987,Baron_1987,Baron_1987,Baron_1987,Baron_1987,Baron_1987
Alouatta caraya,,,,,,,,
Alouatta seniculus,Alouatta seniculus,41.4,79.8,158.3,26.2,30.7,17.2,93.6
Aotus trivirgatus,Aotus trivirgatus,56,26.3,90.6,9.7,18.7,13,42.3
Atelerix algirus,Erinaceus algirus,284.5,13.6,216.4,52.8,9,12.8,53.3
Ateles geoffroyi,Ateles geoffroyi,90.4,98.1,324.8,9.5,134.1,26.3,163.7
Avahi laniger,Avahi l. laniger,89.1,5.7,96.5,14.4,16.8,4.2,33
Avahi occidentalis,Avahi l. occidentalis,70,6.2,85.4,10.9,13.5,3.2,26.8
Blarina brevicauda,Blarina brevicauda,28.8,1.5,23.4,6.9,1.5,1.4,9.6
Callicebus moloch,Callicebus moloch,19.2,28.6,96.7,4.4,27.2,8,34.7
Callimico goeldii,Callimico goeldii,27,16.8,41.5,3.3,9.6,5.4,29.3
Callithrix jacchus,Callithrix jacchus,22.8,14.1,34.6,2.7,10.1,3.6,19.4
Callithrix pygmaea,Cebuella pygmaea,11.4,6.1,24.5,2.1,5.8,1.3,7.8
Cebus albifrons,Cebus albifrons,39.9,84.4,199.4,8.6,63.6,12.9,103.5
Cercocebus agilis,,,,,,,,
Cercopithecus ascanius,Cercopithecus ascanius,99.5,101.8,223.3,12.5,30.1,24.9,86.5
Cercopithecus mitis,Cercopithecus mitis,116.7,152.4,191.8,24.6,55,33.7,103.6
Cheirogaleus major,Cheirogaleus major,157.5,10,144,19.4,11.8,5.1,39.4
Cheirogaleus medius,Cheirogaleus medius,102,5.7,75.1,14,6.9,3.2,27.5
Chrysochloris asiatica,Chrysochloris asiatica,58.5,2.4,52.3,14.1,2.3,3,20.7
Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,60.6,2.6,60,15,2.4,3.3,24.6
Colobus angolensis,,,,,,,,
Crocidura flavescens,Crocidura flavescens,36.2,2,28.4,8.4,1.7,1.7,7.4
Crocidura hildegardeae,Crocidura hildegardea,19.4,0.66,17.9,4.5,0.62,0.71,6.1
Crocidura jacksoni,Crocidura jacksoni,19.3,0.95,18.6,4.5,0.55,1,5.3
Crocidura russula,Crocidura russula,15.5,0.57,13,3.5,0.71,0.64,4.4
Daubentonia madagascariensis,Daubentonia madagasc.,684.9,43.5,524.1,130.1,92.3,26.4,240
Desmana moschata,Desmana moschata,141.4,4.4,135.8,34.3,8.4,6.7,40
Echinops telfairi,Echinops telfairi,71.2,2.4,58.1,12.3,3.2,2.9,15.1
Echinosorex gymnura,,,,,,,,
Elephantulus fuscipes,Elephantulus fuscipes,63.3,2.8,48.7,10,2.5,2.9,17.5
Erinaceus europaeus,Erinaceus europaeus,332,23.3,227.6,61.6,13.2,14.7,56.2
Erythrocebus patas,Erythrocebus patas,51.8,180,235,25,59.8,29.7,121.2
Eulemur fulvus,Lemur albifrons,206.7,12.9,208.5,39,14.6,12.4,92.6
Galago senegalensis,Galago senegalensis,79.2,4.3,50.3,11.1,5.2,3.1,15.2
Galagoides demidoff,Galagoides demidoff,83.1,3.4,83.9,7.4,6.3,2.6,19.4
Galemys pyrenaicus,Galemys pyrenaicus,39,0.93,36.5,8,4.1,1.8,18.8
Gorilla sp.,Gorilla gorilla,315.7,236,798.2,56.4,287.8,129.4,610.2
Hemicentetes semispinosus,Hemicentetes semispinosus,93.6,3.4,74.7,16,4.8,4.5,21.7
Hemiechinus auritus,Hemiechinus auritus,175.1,7.8,128.8,21.8,6.5,6.9,35.8
Homo sapiens,Homo sapiens,113.5,848.6,1674.8,109.5,211.8,148.3,692.2
Hylobates lar,Hylobates lar,43.9,109.2,215.4,19,96.5,17.3,139.9
Hylobates muelleri,,,,,,,,
Hylomys suillus,,,,,,,,
Indri indri,Indri indri,167.4,34.1,221.2,33,49,10.9,91.5
Lagothrix lagothricha,Lagothrix lagothricha,73.4,61.5,342.9,16.1,82.7,23.2,115.5
Leontopithecus rosalia,,,,,,,,
Lepilemur ruficaudatus,Lepilemur ruficaudatus,112.7,6,104,14.3,12.4,4.8,27.1
Lophocebus albigena,Cercocebus albigena,121.4,185.2,364,22.2,67.9,59.7,158.5
Loris tardigradus,Loris tardigradus,85.8,7.9,100,11.1,7.9,2.5,22.5
Macaca fascicularis,,,,,,,,
Macaca maura,,,,,,,,
Macaca mulatta,Macaca mulatta,84.3,123.4,203.1,15.2,50.9,35.1,113.8
Microcebus murinus,Microcebus murinus,43,2,38.2,8.1,4.3,1.6,12.3
Microgale cowani,Microgale cowani,35.9,1.1,40.3,7.7,0.9,1.8,12.4
Microgale mergulus,Limnogale mergulus,42.9,1.4,33.4,7.9,1.6,3.1,13.2
Micropotamogale lamottei,Micropotamogale lamottei,34.1,0.92,27.1,7.7,1.4,2.4,8.7
Micropotamogale ruwenzorii,Micropotamogale ruwenzorii,33.9,1.9,33.8,7.5,3.2,1.7,11.7
Microsorex hoyi,Microsoex hoyi,6.8,0.26,6.1,2,0.49,0.31,3
Miopithecus talapoin,Miopithecus talapoin,27.8,46,132.1,8.8,40.2,14.1,51.5
Myosorex babaulti,Myosorex babaulti,34.5,1.4,30,7.3,1.2,1.4,11
Nasalis larvatus,Nasalis larvatus,30.3,88.7,196.3,14.6,58.1,26.6,164.8
Neomys fodiens,Neomys fodiens,16.2,0.84,12.4,4.3,1.7,0.71,6
Nesogale dobsoni,Microgale dobsoni,53.6,1.4,48,10.2,1.6,2.4,13
Nesogale talazaci,Microgale talazaci,74.3,2.8,71.6,14.5,1.9,3.9,18.5
Nycticebus coucang,Nycticebus coucang,159.3,22.9,179,38.5,21.5,6.4,52.2
Oryzorictes hova,Oryzorictes talpoides,46.9,1.3,37.3,9.8,2.7,2.1,14.2
Otolemur crassicaudatus,Otolemur crassicaudatus,165.9,10.4,145.2,27.2,12.5,6.1,35.7
Pan paniscus,,,,,,,,
Pan troglodytes,Pan troglodytes,257.2,174.8,577.5,61.3,141.5,75,298
Papio anubis,Papio anubis,286.8,326.2,412.9,42.9,84.8,87.7,201.3
Perodicticus potto,Perodicticus potto,309.7,20.6,246.6,69.4,26.6,11.5,84.3
Piliocolobus badius,Colobus badius,51.3,65.4,187.1,17.5,56.6,22.8,86.6
Pithecia monachus,Pithecia monachus,34.8,31.4,141.4,9.2,21.9,17.5,2.3
Pithecia pithecia,,,,,,,,
Pongo sp.,,,,,,,,
Potamogale velox,Potamogale velox,81.9,6.2,71.7,18.2,9.8,5,17.6
Propithecus verreauxi,Propithecus verreauxi,147.4,17.6,182.9,35.3,33.7,10.1,82.7
Pygathrix nemaeus,Pygathrix nemaeus,10.7,98.9,151.8,13,54.2,13.1,121.5
Rattus norvegicus,,,,,,,,
Rhynchocyon cirnei,Rhynchocyon cirnei,426,21.6,301.5,77.4,17.5,23.4,87.8
Ruwenzorisorex suncoides,Ruwensorisorex suncoides,17.5,0.63,17.8,4.1,0.63,0.71,5.1
Saguinus geoffroyi,,,,,,,,
Saguinus midas,Saguinus midas tamarin,17.3,22.4,40.3,4.4,9.9,4.2,16.8
Saguinus oedipus,Saguinus oedipus,19.1,16,54,3.9,11.2,5.4,23.9
Saimiri sciureus,Saimiri sciureus,26.8,34.4,60.4,6.5,19,8.7,41.7
Scutisorex somereni,Scuisorex somereni,58.3,2.2,48.9,13,1.9,3.5,13.8
Setifer setosus,Setifer setosus,209.1,11.1,148.9,40.1,8.2,12.4,46.5
Solenodon paradoxus,Solenodon paradoxus,464.3,20.9,312.7,71.8,15,19.3,115.6
Sorex araneus,Sorex araneus,17,0.53,15.8,3.9,0.8,0.67,6
Sorex cinereus,Sorex cinereus,11.6,0.63,12.4,3.2,0.53,0.48,4.8
Sorex fumeus,Sorex fumeus,15,0.74,17,4.4,0.66,0.52,6
