status,species_key,species_snapshot,species_csv,species_csv_updated,n_structure_mismatch,BOL_snap,RB_snap,PRPI_snap,TOL_snap,TRL_snap,COA_snap,SIN_snap,BOL_csv,RB_csv,PRPI_csv,TOL_csv,TRL_csv,COA_csv,SIN_csv,BOL_match,RB_match,PRPI_match,TOL_match,TRL_match,COA_match,SIN_match
csv_only_not_in_snapshot,avahi l laniger,NA,Avahi l. laniger,Avahi laniger,7,NA,NA,NA,NA,NA,NA,NA,89.1,14.4,96.5,33,4.2,5.7,16.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,avahi l occidentalis,NA,Avahi l. occidentalis,Avahi occidentalis,7,NA,NA,NA,NA,NA,NA,NA,70,10.9,85.4,26.8,3.2,6.2,13.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,avahi laniger laniger,Avahi laniger laniger,NA,NA,7,89.1,14.4,96.5,33,4.2,5.7,16.8,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,avahi laniger occidentalis,Avahi laniger occidentalis,NA,NA,7,70,10.9,85.4,26.8,3.2,6.2,13.5,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,colobus badius,NA,Colobus badius,Piliocolobus badius,7,NA,NA,NA,NA,NA,NA,NA,51.3,17.5,187.1,86.6,22.8,65.4,56.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,daubentonia madagasc,NA,Daubentonia madagasc.,Daubentonia madagascariensis,7,NA,NA,NA,NA,NA,NA,NA,684.9,130.1,524.1,240,26.4,43.5,92.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,daubentonia madagascariensis,Daubentonia madagascariensis,NA,NA,7,684.9,130.1,524.1,240,26.4,43.5,92.3,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,eulemur albifrons,Eulemur albifrons,NA,NA,7,206.7,39,208.5,92.6,12.4,12.9,14.6,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,lemur albifrons,NA,Lemur albifrons,Eulemur fulvus,7,NA,NA,NA,NA,NA,NA,NA,206.7,39,208.5,92.6,12.4,12.9,14.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,procolobus badius,Procolobus badius,NA,NA,7,51.3,17.5,187.1,86.6,22.8,65.4,56.6,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,saguinus midas,Saguinus midas,NA,NA,7,17.3,4.4,40.3,16.8,4.2,22.4,9.9,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,saguinus midas tamarin,NA,Saguinus midas tamarin,Saguinus midas,7,NA,NA,NA,NA,NA,NA,NA,17.3,4.4,40.3,16.8,4.2,22.4,9.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,suncus megalura,NA,Suncus megalura,Suncus megalura,7,NA,NA,NA,NA,NA,NA,NA,16.6,3.2,15.3,4.8,0.55,0.55,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,sylvisorex negalura,Sylvisorex negalura,NA,NA,7,16.6,3.2,15.3,4.8,0.55,0.55,0.5,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,tarsius sp,Tarsius sp.,NA,NA,7,18.8,2.9,16.3,8.3,0.99,5.6,5.2,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,tarsius spp,NA,Tarsius spp.,Tarsius sp.,7,NA,NA,NA,NA,NA,NA,NA,18.8,2.9,16.3,8.3,0.99,5.6,5.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
