"Species","Species_Baron1987"
"Elephantulus fuscipes","Elephantulus fuscipes"
"Rhynchocyon cirnei","Rhynchocyon cirnei"
"Solenodon paradoxus","Solenodon paradoxus"
"Tenrec ecaudatus","Tenrec ecaudatus"
"Setifer setosus","Setifer setosus"
"Hemicentetes semispinosus","Hemicentetes semispinosus"
"Echinops telfairi","Echinops telfairi"
"Oryzorictes talpoides","Oryzorictes talpoides"
"Microgale cowani","Microgale cowani"
"Microgale dobsoni","Microgale dobsoni"
"Microgale talazaci","Microgale talazaci"
"Limnogale mergulus","Limnogale mergulus"
"Potamogale velox","Potamogale velox"
"Micropotamogale lamottei","Micropotamogale lamottei"
"Micropotamogale ruwenzorii","Micropotamogale ruwenzorii"
"Chrysochloris asiatica","Chrysochloris asiatica"
"Chrysochloris stuhlmanni","Chrysochloris stuhlmanni"
"Erinaceus algirus","Erinaceus algirus"
"Erinaceus europaeus","Erinaceus europaeus"
"Hemiechinus auritus","Hemiechinus auritus"
"Sorex araneus","Sorex araneus"
"Sorex cinereus","Sorex cinereus"
"Sorex fumeus","Sorex fumeus"
"Sorex minutus","Sorex minutus"
"Microsoex hoyi","Microsoex hoyi"
"Neomys fodiens","Neomys fodiens"
"Blarina brevicauda","Blarina brevicauda"
"Crocidura flavescens","Crocidura flavescens"
"Crocidura hildegardea","Crocidura hildegardea"
"Crocidura jacksoni","Crocidura jacksoni"
"Crocidura russula","Crocidura russula"
"Suncus etruscus","Suncus etruscus"
"Suncus murinus","Suncus murinus"
"Sylvisorex granti","Sylvisorex granti"
"Sylvisorex negalura","Sylvisorex negalura"
"Ruwensorisorex suncoides","Ruwensorisorex suncoides"
"Myosorex babaulti","Myosorex babaulti"
"Scuisorex somereni","Scuisorex somereni"
"Desmana moschata","Desmana moschata"
"Galemys pyrenaicus","Galemys pyrenaicus"
"Talpa europaea","Talpa europaea"
"Tupaia glis","Tupaia glis"
"Tupaia minor","Tupaia minor"
"Urogale everetti","Urogale everetti"
"Microcebus murinus","Microcebus murinus"
"Cheirogaleus major","Cheirogaleus major"
"Cheirogaleus medius","Cheirogaleus medius"
"Eulemur albifrons","Lemur albifrons"
"Varecia variegata","Varecia variegata"
"Lepilemur ruficaudatus","Lepilemur ruficaudatus"
"Avahi laniger laniger","Avahi l. laniger"
"Avahi laniger occidentalis","Avahi l. occidentalis"
"Propithecus verreauxi","Propithecus verreauxi"
"Indri indri","Indri indri"
"Daubentonia madagascariensis","Daubentonia madagasc."
"Loris tardigradus","Loris tardigradus"
"Nycticebus coucang","Nycticebus coucang"
"Perodicticus potto","Perodicticus potto"
"Galago senegalensis","Galago senegalensis"
"Otolemur crassicaudatus","Otolemur crassicaudatus"
"Galagoides demidoff","Galagoides demidoff"
"Tarsius sp.","Tarsius spp."
"Callithrix jacchus","Callithrix jacchus"
"Cebuella pygmaea","Cebuella pygmaea"
"Saguinus midas","Saguinus midas tamarin"
"Saguinus oedipus","Saguinus oedipus"
"Callimico goeldii","Callimico goeldii"
"Cebus albifrons","Cebus albifrons"
"Aotus trivirgatus","Aotus trivirgatus"
"Callicebus moloch","Callicebus moloch"
"Saimiri sciureus","Saimiri sciureus"
"Pithecia monachus","Pithecia monachus"
"Alouatta seniculus","Alouatta seniculus"
"Ateles geoffroyi","Ateles geoffroyi"
"Lagothrix lagothricha","Lagothrix lagothricha"
"Macaca mulatta","Macaca mulatta"
"Cercocebus albigena","Cercocebus albigena"
"Papio anubis","Papio anubis"
"Cercopithecus ascanius","Cercopithecus ascanius"
"Cercopithecus mitis","Cercopithecus mitis"
"Miopithecus talapoin","Miopithecus talapoin"
"Erythrocebus patas","Erythrocebus patas"
"Procolobus badius","Colobus badius"
"Pygathrix nemaeus","Pygathrix nemaeus"
"Nasalis larvatus","Nasalis larvatus"
"Hylobates lar","Hylobates lar"
"Pan troglodytes","Pan troglodytes"
"Gorilla gorilla","Gorilla gorilla"
"Homo sapiens","Homo sapiens"
