Species_Baron1987,Species_user_csv,Species_MDD,Order_MDD,Family_MDD,Baron_group,name_change,MDD_differs_from_user_csv,needs_review,corroborating_dataset,notes
Elephantulus fuscipes,Elephantulus fuscipes,Elephantulus fuscipes,Macroscelidea,Macroscelididae,MACROSCELIDEA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Rhynchocyon cirnei,Rhynchocyon cirnei,Rhynchocyon cirnei,Macroscelidea,Macroscelididae,MACROSCELIDEA,unchanged (Baron footnote: R. stuhlmanni),FALSE,FALSE,Boddy2012; Smaers2021,
Solenodon paradoxus,Solenodon paradoxus,Solenodon paradoxus,Eulipotyphla,Solenodontidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Tenrec ecaudatus,Tenrec ecaudatus,Tenrec ecaudatus,Afrosoricida,Tenrecidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Setifer setosus,Setifer setosus,Setifer setosus,Afrosoricida,Tenrecidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Hemicentetes semispinosus,Hemicentetes semispinosus,Hemicentetes semispinosus,Afrosoricida,Tenrecidae,INSECTIVORA,abbreviation expanded (semispin.),FALSE,FALSE,Boddy2012; Smaers2021,
Echinops telfairi,Echinops telfairi,Echinops telfairi,Afrosoricida,Tenrecidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Oryzorictes talpoides,Oryzorictes hova,Oryzorictes hova,Afrosoricida,Tenrecidae,INSECTIVORA,species synonymized: talpoides -> hova,FALSE,FALSE,Boddy2012; Smaers2021,
Microgale cowani,Microgale cowani,Microgale cowani,Afrosoricida,Tenrecidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Microgale dobsoni,Nesogale dobsoni,Nesogale dobsoni,Afrosoricida,Tenrecidae,INSECTIVORA,genus reassigned: Microgale -> Nesogale (Everson et al. 2016),FALSE,FALSE,Boddy2012; Smaers2021,
Microgale talazaci,Nesogale talazaci,Nesogale talazaci,Afrosoricida,Tenrecidae,INSECTIVORA,genus reassigned: Microgale -> Nesogale (Everson et al. 2016); MDD 1000512,FALSE,FALSE,Boddy2012; Smaers2021,
Limnogale mergulus,Microgale mergulus,Microgale mergulus,Afrosoricida,Tenrecidae,INSECTIVORA,genus reassigned: Limnogale -> Microgale (Everson et al. 2016),FALSE,FALSE,Boddy2012; Smaers2021,
Potamogale velox,Potamogale velox,Potamogale velox,Afrosoricida,Potamogalidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Micropotamogale lamottei,Micropotamogale lamottei,Micropotamogale lamottei,Afrosoricida,Potamogalidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Micropotamogale ruwenzorii,Micropotamogale ruwenzorii,Micropotamogale ruwenzorii,Afrosoricida,Potamogalidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Chrysochloris asiatica,Chrysochloris asiatica,Chrysochloris asiatica,Afrosoricida,Chrysochloridae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,Afrosoricida,Chrysochloridae,INSECTIVORA,unchanged (genus Chrysochloris monophyletic; cf. footnote Chlorotalpa),FALSE,FALSE,Boddy2012; Smaers2021,
Erinaceus algirus,Atelerix algirus,Atelerix algirus,Eulipotyphla,Erinaceidae,INSECTIVORA,genus reassigned: Erinaceus/Aethechinus -> Atelerix,FALSE,FALSE,Boddy2012; Smaers2021,
Erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus,Eulipotyphla,Erinaceidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Hemiechinus auritus,Hemiechinus auritus,Hemiechinus auritus,Eulipotyphla,Erinaceidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Sorex araneus,Sorex araneus,Sorex araneus,Eulipotyphla,Soricidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Sorex cinereus,Sorex cinereus,Sorex cinereus,Eulipotyphla,Soricidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Sorex fumeus,Sorex fumeus,Sorex fumeus,Eulipotyphla,Soricidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Sorex minutus,Sorex minutus,Sorex minutus,Eulipotyphla,Soricidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Microsoex hoyi,Microsorex hoyi,Sorex hoyi,Eulipotyphla,Soricidae,INSECTIVORA,genus reassigned: Microsorex -> Sorex,TRUE,FALSE,Boddy2012; Smaers2021,snapshot misspelling 'Microsoex'; Baron: Microsorex hoyi
Neomys fodiens,Neomys fodiens,Neomys fodiens,Eulipotyphla,Soricidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Blarina brevicauda,Blarina brevicauda,Blarina brevicauda,Eulipotyphla,Soricidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Crocidura flavescens,Crocidura flavescens,Crocidura flavescens,Eulipotyphla,Soricidae,INSECTIVORA,unchanged (Baron footnote: C. occidentalis),FALSE,FALSE,Boddy2012; Smaers2021,
Crocidura hildegardea,Crocidura hildegardeae,Crocidura hildegardeae,Eulipotyphla,Soricidae,INSECTIVORA,spelling: hildegardea -> hildegardeae,FALSE,FALSE,Boddy2012; Smaers2021,snapshot drops final e
Crocidura jacksoni,Crocidura jacksoni,Crocidura jacksoni,Eulipotyphla,Soricidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Crocidura russula,Crocidura russula,Crocidura russula,Eulipotyphla,Soricidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Suncus etruscus,Suncus etruscus,Suncus etruscus,Eulipotyphla,Soricidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Suncus murinus,Suncus murinus,Suncus murinus,Eulipotyphla,Soricidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Sylvisorex granti,Sylvisorex granti,Sylvisorex granti,Eulipotyphla,Soricidae,INSECTIVORA,verify current genus (Sylvisorex/Suncus),FALSE,TRUE,Boddy2012; Smaers2021,
Sylvisorex negalura,,Suncus megalura,Eulipotyphla,Soricidae,INSECTIVORA,snapshot typo; Sylvisorex megalura -> Suncus megalura,NA,TRUE,Boddy2012; Smaers2021,verify against MDD
Ruwensorisorex suncoides,Ruwenzorisorex suncoides,Ruwenzorisorex suncoides,Eulipotyphla,Soricidae,INSECTIVORA,spelling: snapshot 'Ruwensorisorex',FALSE,FALSE,Boddy2012; Smaers2021,
Myosorex babaulti,Myosorex babaulti,Myosorex babaulti,Eulipotyphla,Soricidae,INSECTIVORA,unchanged,FALSE,FALSE,Boddy2012; Smaers2021,
Scuisorex somereni,ScutisorexÊsomereni,Scutisorex somereni,Eulipotyphla,Soricidae,INSECTIVORA,spelling: snapshot 'Scuisorex',TRUE,FALSE,Boddy2012; Smaers2021,hero shrew
