status,species_key,species_snapshot,species_csv,n_structure_mismatch,VC_snap,VI_snap,VL_snap,VM_snap,VS_snap,VC_csv,VI_csv,VL_csv,VM_csv,VS_csv,VC_match,VI_match,VL_match,VM_match,VS_match
csv_only_not_in_snapshot,atelerix algirus,NA,Atelerix algirus,5,NA,NA,NA,NA,NA,15.3,4.68,2.3499999999999996,6.29,1.93,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,avahi laniger,NA,Avahi laniger,5,NA,NA,NA,NA,NA,44,10.7,8.55,17.1,7.6499999999999995,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,avahi laniger laniger,Avahi laniger laniger,NA,5,44,10.7,8.55,17.1,7.6499999999999995,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,avahi laniger occidentalis,Avahi laniger occidentalis,NA,5,40.2,10.8,7.57,15.5,6.37,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,avahi occidentalis,NA,Avahi occidentalis,5,NA,NA,NA,NA,NA,40.2,10.8,7.57,15.5,6.37,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,callithrix pygmaea,NA,Callithrix pygmaea,5,NA,NA,NA,NA,NA,22.1,3.7600000000000002,5.970000000000001,8.27,4.1,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,cebuella pygmaea,Cebuella pygmaea,NA,5,22.1,3.7600000000000002,5.970000000000001,8.27,4.1,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,cercocebus albigena,Cercocebus albigena,NA,5,170,49.2,23,65.1,32.8,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,colobus badius,Colobus badius,NA,5,117,28.4,21.5,49.5,17.6,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,daubentoni madagascar,Daubentoni madagascar.,NA,5,91.8,27.6,13.4,36.7,14.1,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,daubentonia madagascariensis,NA,Daubentonia madagascariensis,5,NA,NA,NA,NA,NA,91.8,27.6,13.4,36.7,14.1,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,erinaceus algirus,Erinaceus algirus,NA,5,15.3,4.68,2.3499999999999996,6.29,1.93,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,eulemur fulvus,NA,Eulemur fulvus,5,NA,NA,NA,NA,NA,58.9,17.8,9.76,18.8,12.5,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,gorilla gorilla,Gorilla gorilla,NA,5,251,49.9,38.1,101.5,61.7,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,gorilla sp,NA,Gorilla sp.,5,NA,NA,NA,NA,NA,251,49.9,38.1,101.5,61.7,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,lemur albifrons,Lemur albifrons,NA,5,58.9,17.8,9.76,18.8,12.5,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,lophocebus albigena,NA,Lophocebus albigena,5,NA,NA,NA,NA,NA,170,49.2,23,65.1,32.8,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,microgale talazaci,Microgale talazaci,NA,5,3.4899999999999998,0.896,0.691,1.54,0.366,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,nesogale talazaci,NA,Nesogale talazaci,5,NA,NA,NA,NA,NA,3.4899999999999998,0.896,0.691,1.54,0.366,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,piliocolobus badius,NA,Piliocolobus badius,5,NA,NA,NA,NA,NA,117,28.4,21.5,49.5,17.6,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,saguinus midas,NA,Saguinus midas,5,NA,NA,NA,NA,NA,33.1,7.74,6.5,12.3,6.59,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,saguinus midas tamarin,Saguinus midas tamarin,NA,5,33.1,7.74,6.5,12.3,6.59,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,scutisorexêsomereni,ScutisorexÊsomereni,NA,5,3.55,1.07,0.613,1.42,0.448,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,scutisorex�somereni,NA,Scutisorex�somereni,5,NA,NA,NA,NA,NA,3.55,1.07,0.613,1.42,0.448,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,suncus megalura,NA,Suncus megalura,5,NA,NA,NA,NA,NA,1.3800000000000001,0.32,0.269,0.634,0.15500000000000003,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,sylvisorex megalura,Sylvisorex megalura,NA,5,1.3800000000000001,0.32,0.269,0.634,0.15500000000000003,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,tarsius sp,NA,Tarsius sp.,5,NA,NA,NA,NA,NA,20.6,6.81,2.7600000000000002,8.360000000000001,2.7,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,tarsius spp,Tarsius spp.,NA,5,20.6,6.81,2.7600000000000002,8.360000000000001,2.7,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
