status,species_key,species_snapshot,species_csv,n_structure_mismatch,VC_snap,VI_snap,VL_snap,VM_snap,VS_snap,VC_csv,VI_csv,VL_csv,VM_csv,VS_csv,VC_match,VI_match,VL_match,VM_match,VS_match
matched_by_species,alouatta seniculus,Alouatta seniculus,Alouatta seniculus,0,76.8,18.8,15.6,26.6,15.8,76.8,18.8,15.6,26.6,15.8,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,0,51.9,11,9.54,20.7,10.7,51.9,11,9.54,20.7,10.7,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,atelerix algirus,NA,Atelerix algirus,5,NA,NA,NA,NA,NA,15.3,4.68,2.3499999999999996,6.29,1.93,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,0,96.4,24.2,12.8,46.6,12.8,96.4,24.2,12.8,46.6,12.8,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,avahi laniger,NA,Avahi laniger,5,NA,NA,NA,NA,NA,44,10.7,8.55,17.1,7.6499999999999995,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,avahi laniger laniger,Avahi laniger laniger,NA,5,44,10.7,8.55,17.1,7.6499999999999995,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,avahi laniger occidentalis,Avahi laniger occidentalis,NA,5,40.2,10.8,7.57,15.5,6.37,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,avahi occidentalis,NA,Avahi occidentalis,5,NA,NA,NA,NA,NA,40.2,10.8,7.57,15.5,6.37,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,blarina brevicauda,Blarina brevicauda,Blarina brevicauda,0,2.21,0.6659999999999999,0.223,0.994,0.325,2.21,0.6659999999999999,0.223,0.994,0.325,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,callicebus moloch,Callicebus moloch,Callicebus moloch,0,64.7,17.1,10.8,25.8,11,64.7,17.1,10.8,25.8,11,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,callimico goeldii,Callimico goeldii,Callimico goeldii,0,36.6,8.84,7.96,12.8,6.98,36.6,8.84,7.96,12.8,6.98,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,callithrix jacchus,Callithrix jacchus,Callithrix jacchus,0,27.3,5.37,6.46,10.6,4.9,27.3,5.37,6.46,10.6,4.9,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,callithrix pygmaea,NA,Callithrix pygmaea,5,NA,NA,NA,NA,NA,22.1,3.7600000000000002,5.970000000000001,8.27,4.1,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,cebuella pygmaea,Cebuella pygmaea,NA,5,22.1,3.7600000000000002,5.970000000000001,8.27,4.1,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,cebus albifrons,Cebus albifrons,Cebus albifrons,0,105,26.7,15.8,41.3,21.2,105,26.7,15.8,41.3,21.2,TRUE,TRUE,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,cercocebus albigena,Cercocebus albigena,NA,5,170,49.2,23,65.1,32.8,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,cercopithecus ascanius,Cercopithecus ascanius,Cercopithecus ascanius,0,112,38.6,13.2,41.5,18.7,112,38.6,13.2,41.5,18.7,TRUE,TRUE,TRUE,TRUE,TRUE
