"Species","hemisphere","n","subdivision","mean_mm3","sd_mm3"
"Homo sapiens","left",5,"Granular",1870,450
"Homo sapiens","left",5,"Dysgranular",2960,710
"Homo sapiens","left",5,"Agranular",1200,540
"Homo sapiens","left",5,"FI",440,110
"Homo sapiens","left",5,"Total",6480,1430
"Pan paniscus","left",3,"Granular",260,90
"Pan paniscus","left",3,"Dysgranular",930,150
"Pan paniscus","left",3,"Agranular",350,140
"Pan paniscus","left",3,"FI",140,70
"Pan paniscus","left",3,"Total",1690,130
"Pan troglodytes","left",3,"Granular",670,280
"Pan troglodytes","left",3,"Dysgranular",700,90
"Pan troglodytes","left",3,"Agranular",160,70
"Pan troglodytes","left",3,"FI",70,30
"Pan troglodytes","left",3,"Total",1600,300
"Gorilla gorilla","left",4,"Granular",390,220
"Gorilla gorilla","left",4,"Dysgranular",950,160
"Gorilla gorilla","left",4,"Agranular",570,120
"Gorilla gorilla","left",4,"FI",230,200
"Gorilla gorilla","left",4,"Total",2150,270
"Pongo abelii","left",2,"Granular",220,70
"Pongo abelii","left",2,"Dysgranular",600,30
"Pongo abelii","left",2,"Agranular",320,10
"Pongo abelii","left",2,"FI",20,20
"Pongo abelii","left",2,"Total",1160,70
"Pongo pygmaeus","left",1,"Granular",199,NA
"Pongo pygmaeus","left",1,"Dysgranular",1057,NA
"Pongo pygmaeus","left",1,"Agranular",188,NA
"Pongo pygmaeus","left",1,"FI",60,NA
"Pongo pygmaeus","left",1,"Total",1505,NA
"Homo sapiens","right",5,"Granular",1430,550
"Homo sapiens","right",5,"Dysgranular",2770,780
"Homo sapiens","right",5,"Agranular",1580,630
"Homo sapiens","right",5,"FI",370,120
"Homo sapiens","right",5,"Total",6150,1420
"Pan paniscus","right",3,"Granular",270,30
"Pan paniscus","right",3,"Dysgranular",800,90
"Pan paniscus","right",3,"Agranular",370,60
"Pan paniscus","right",3,"FI",160,50
"Pan paniscus","right",3,"Total",1590,100
"Pan troglodytes","right",2,"Granular",470,170
"Pan troglodytes","right",2,"Dysgranular",590,320
"Pan troglodytes","right",2,"Agranular",160,0
"Pan troglodytes","right",2,"FI",110,40
"Pan troglodytes","right",2,"Total",1330,200
"Gorilla gorilla","right",2,"Granular",320,50
"Gorilla gorilla","right",2,"Dysgranular",960,40
"Gorilla gorilla","right",2,"Agranular",540,370
"Gorilla gorilla","right",2,"FI",100,50
"Gorilla gorilla","right",2,"Total",1920,230
"Pongo abelii","right",1,"Granular",186,NA
"Pongo abelii","right",1,"Dysgranular",652,NA
"Pongo abelii","right",1,"Agranular",361,NA
"Pongo abelii","right",1,"FI",0,NA
"Pongo abelii","right",1,"Total",1199,NA
"Pongo pygmaeus","right",2,"Granular",200,160
"Pongo pygmaeus","right",2,"Dysgranular",820,250
"Pongo pygmaeus","right",2,"Agranular",560,120
"Pongo pygmaeus","right",2,"FI",40,50
"Pongo pygmaeus","right",2,"Total",1610,240
