Species,Body_weight_current,Body_weight_current_source,Species_Bauernfeind2013,Number_of_individuals_2013b,Body_weight_2013b,Brain_weight_2013b,Total_brain_net_volume_2013b,Agranular_insular_cortex,Dysgranular_insular_cortex,fronto_insular_cortex,Granular_insular_cortex,Insula
AAAA_Anatomy_code,,,,Number_of_individuals_13b,Body_mass,Brain_mass,Brain_volume,Agranular_volume,Dysgranular_volume,FI_volume,Granular_volume,Total_insula_volume
AAAA_Reference,ALL,ALL,Bauernfeind_2013,Bauernfeind_2013,Bauernfeind_2013,Bauernfeind_2013,Bauernfeind_2013,Bauernfeind_2013,Bauernfeind_2013,Bauernfeind_2013,Bauernfeind_2013,Bauernfeind_2013
Alouatta caraya,6420,Bauernfeind_2013,Alouatta caraya,1,6420,55800,53861,42,141,,89,272
Alouatta seniculus,"6,400",Stephan_1981,,,,,,,,,,
Aotus trivirgatus,830,Stephan_1981,,,,,,,,,,
Atelerix algirus,790,Stephan_1981,,,,,,,,,,
Ateles geoffroyi,"8,000",Stephan_1981,Ateles geoffroyi,1,7780,106400,102700,135,181,,100,416
Avahi laniger,"1,285",Stephan_1981,,,,,,,,,,
Avahi occidentalis,860,Stephan_1981,Avahi laniger,1,1030,9600,9256.8,7,18,,13,38
Blarina brevicauda,,,,,,,,,,,,
Callicebus moloch,900,Stephan_1981,,,,,,,,,,
Callimico goeldii,480,Stephan_1981,,,,,,,,,,
Callithrix jacchus,280,Stephan_1981,,,,,,,,,,
Callithrix pygmaea,140,Stephan_1981,Callithrix pygmaea,1,110,4200,4005.8,1,7,,3,11
Cebus albifrons,"3,100",Stephan_1981,Cebus albifrons,1,3180,79800,77027,34,155,,108,297
Cercocebus agilis,5660,Bauernfeind_2013,Cercocebus agilis,1,5660,95300,91988,105,116,,158,379
Cercopithecus ascanius,"3,400",Stephan_1981,,,,,,,,,,
Cercopithecus mitis,"6,300",Stephan_1981,Cercopithecus kandti,1,5480,71600,69112,89,391,,134,614
Cheirogaleus major,450,Stephan_1981,,,,,,,,,,
Cheirogaleus medius,177,Stephan_1981,,,,,,,,,,
Chrysochloris asiatica,49,Stephan_1981,,,,,,,,,,
Chrysochloris stuhlmanni,40,Stephan_1981,,,,,,,,,,
Colobus angolensis,9680,Bauernfeind_2013,Colobus angolensis,1,9680,74400,71815,32,152,,38,222
Crocidura flavescens,28,Stephan_1981,,,,,,,,,,
Crocidura hildegardeae,,,,,,,,,,,,
Crocidura jacksoni,,,,,,,,,,,,
Crocidura russula,11,Stephan_1981,,,,,,,,,,
Daubentonia madagascariensis,2800,Stephan_1981,,,,,,,,,,
Desmana moschata,440,Stephan_1981,,,,,,,,,,
Echinops telfairi,87.5,Stephan_1981,,,,,,,,,,
Echinosorex gymnura,,,,,,,,,,,,
Elephantulus fuscipes,57,Stephan_1981,,,,,,,,,,
Erinaceus europaeus,860,Stephan_1981,,,,,,,,,,
Erythrocebus patas,7800,Stephan_1981,,,,,,,,,,
Eulemur fulvus,1400,Stephan_1981,,,,,,,,,,
Galago senegalensis,186,Stephan_1981,,,,,,,,,,
Galagoides demidoff,81,Stephan_1981,Galagoides demidoff,1,63,3300,3185.3,2,5,,5,12
Galemys pyrenaicus,57.5,Stephan_1981,,,,,,,,,,
