status,csv_label,paper_species,n_indiv,n_measure_mismatch,granular_snap,dysgranular_snap,agranular_snap,FI_snap,total_insula_snap,brain_volume_snap,brain_mass_snap,granular_csv,dysgranular_csv,agranular_csv,FI_csv,total_insula_csv,brain_volume_csv,brain_mass_csv,granular_match,dysgranular_match,agranular_match,FI_match,total_insula_match,brain_volume_match,brain_mass_match
matched_by_species,Alouatta caraya,Alouatta caraya,1,0,89,141,42,NA,272,53861,55800,89,141,42,NA,272,53861,55800,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Ateles geoffroyi,Ateles geoffroyi,1,0,100,181,135,NA,416.00000000000006,102700,106400,100,181,135,NA,416,102700,106400,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Avahi laniger,Avahi laniger,1,0,13.000000000000002,18.000000000000004,7,NA,38,9256.8,9600,13,18,7,NA,38,9256.8,9600,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Callithrix pygmaea,Callithrix pygmaea,1,0,3,7,1,NA,11,4005.7999999999997,4200,3,7,1,NA,11,4005.8,4200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Cebus albifrons,Cebus albifrons,1,0,108.00000000000001,155.00000000000003,34,NA,297.00000000000006,77027,79800,108,155,34,NA,297,77027,79800,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Cercocebus agilis,Cercocebus agilis,1,0,158.00000000000003,116,105.00000000000001,NA,379,91988,95300,158,116,105,NA,379,91988,95300,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Cercopithecus kandti,Cercopithecus kandti,1,0,134,391,89,NA,614,69112,71600,134,391,89,NA,614,69112,71600,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Colobus angolensis,Colobus angolensis,1,0,38,152.00000000000003,32,NA,222,71815,74400.00000000001,38,152,32,NA,222,71815,74400,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Galagoides demidoff,Galagoides demidoff,1,0,5,5,2,NA,12,3185.3,3300,5,5,2,NA,12,3185.3,3300,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Gorilla gorilla,Gorilla gorilla,4,0,394.5,948.7500000000001,570,232,2145.5,401785,416250,394.5,948.75,570,232,2145.5,401785,416250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Homo sapiens,Homo sapiens,5,0,1873.8,2960.2,1200.6,444.6,6479,1357820,1406720,1873.8,2960.2,1200.6,444.6,6479,1357820,1406720,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Hylobates lar,Hylobates lar,1,0,117,131,40,NA,289.00000000000006,88803,92000,117,131,40,NA,289,88803,92000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Hylobates muelleri,Hylobates muelleri,1,0,111,286.00000000000006,142.00000000000003,NA,539,98263.00000000001,101800,111,286,142,NA,539,98263,101800,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Indri indri,Indri indri,1,0,50,85.00000000000001,33,NA,167,32480.999999999993,33700,50,85,33,NA,167,32481,33700,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Leontopithecus rosalia,Leontopithecus rosalia,1,0,4,21,12,NA,37,12259,12700,4,21,12,NA,37,12259,12700,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Lophocebus albigena,Lophocebus albigena,1,0,171,270,95,NA,536,106660,110500,171,270,95,NA,536,106660,110500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Loris tardigradus,Loris tardigradus,1,0,3,6,3,NA,12,6611.999999999999,6900,3,6,3,NA,12,6612,6900,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Macaca maura,Macaca maura,1,0,181,240.00000000000003,70.99999999999999,NA,492,80405,83300,181,240,71,NA,492,80405,83300,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Pan paniscus,Pan paniscus,3,0,260.6666666666667,934.3333333333334,351,144.66666666666666,1690.3333333333333,339766.6666666666,352000,260.666667,934.333333,351,144.666667,1690.3333329999998,339766.66669999994,352000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Pan troglodytes,Pan troglodytes,3,0,667.3333333333334,703.6666666666666,164.66666666666669,65.66666666666667,1600.6666666666665,330790,342700,667.333333,703.6666669999998,164.666667,65.666667,1600.6666670000002,330790,342700,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Perodicticus potto,Perodicticus potto,1,0,16,10,4,NA,31,11100,11500,16,10,4,NA,31,11100,11500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Piliocolobus badius,Piliocolobus badius,1,0,71.99999999999999,116,53.00000000000001,NA,241.00000000000003,72394.00000000001,75000,72,116,53,NA,241,72394,75000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Pithecia pithecia,Pithecia pithecia,1,0,40,135,104.00000000000001,NA,279,28958,30000,40,135,104,NA,279,28958,30000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Pongo pygmaeus and Pongo abelii,Pongo abelii; Pongo pygmaeus,4,0,208.75,828.25,254.75,39.75,1331.5,340925,353200,208.75,828.25,254.75,39.75,1331.5,340925,353200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Saguinus geoffroyi,Saguinus geoffroyi,1,0,9,9,6,NA,23,10135,10500,9,9,6,NA,23,10135,10500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Saguinus oedipus,Saguinus oedipus,1,0,7,13.000000000000002,6,NA,26.000000000000004,8938.199999999999,9300.000000000002,7,13,6,NA,26,8938.2,9300,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Symphalangus syndactylus,Symphalangus syndactylus,1,0,198,147.00000000000003,70.99999999999999,NA,416.00000000000006,133880.00000000003,138700,198,147,71,NA,416,133880,138700,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Trachypithecus francoisi,Trachypithecus francoisi,1,0,249.00000000000003,217.00000000000003,160,NA,625,98552,102100,249,217,160,NA,625,98552,102100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Varecia variegata,Varecia variegata,1,0,44,44,12,NA,100,30404.999999999996,31500,44,44,12,NA,100,30405,31500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
