"Species","Taxonomic_group","nTFA","nPA","DTFA_mm2","DPA_mm2","ACA_mm2","ECV_ml","BM_g","BMR_kcal_day","Source","Stephan1981_note"
"Gorilla gorilla","Hominoidea",8,3,65.85,26.77,92.61,455.89,71500,NA,"1","a"
"Homo sapiens","Hominoidea",10,3,68.69,91.12,159.81,1422.33,65000,1557,"1,3","a"
"Hylobates lar","Hominoidea",5,3,11,13.71,24.71,100.49,5381,NA,"1","a"
"Pan troglodytes","Hominoidea",6,3,41.61,28.13,69.74,343.49,37133,1307,"2,3","a"
"Pongo pygmaeus","Hominoidea",9,3,57.62,24.03,81.65,368,36948,1037,"1,3",NA
"Macaca fascicularis","Cercopithecoidea",5,2,9.8,8.81,18.61,63.06,3884,251.9,"1,2",NA
"Mandrillus leucophaeus","Cercopithecoidea",2,2,22.63,12.64,35.27,160,17500,NA,"1",NA
"Miopithecus talapoin","Cercopithecoidea",7,3,7.09,3.62,10.71,39.08,1877,NA,"1","a"
"Papio anubis","Cercopithecoidea",10,2,23.46,14.81,38.27,152.45,13300,435.4,"1,2","a"
"Lophocebus albigena","Cercopithecoidea",7,2,13.54,8.87,22.41,97.99,7890,NA,"1","a"
"Nasalis larvatus","Cercopithecoidea",6,1,15.56,8.8,24.36,83.84,9730,NA,"1","a"
"Piliocolobus badius","Cercopithecoidea",5,2,10.32,13.57,23.88,64.49,7850,NA,"1","a"
"Alouatta sp.","Platyrrhini",21,3,16.3,7.04,23.34,52.75,5753,231.9,"1,4","a"
"Aotus trivirgatus","Platyrrhini",10,1,6.07,2.49,8.56,16.85,989,52.86,"1,2","a"
"Ateles geoffroyi","Platyrrhini",4,3,17.13,13.68,30.81,106.59,7453,NA,"1","a"
"Cacajao calvus","Platyrrhini",3,1,12.2,6.8,19,76,2935,NA,"1",NA
"Callicebus moloch","Platyrrhini",7,2,5.15,2.75,7.9,17.78,1070,NA,"1","a"
"Callithrix jacchus","Platyrrhini",7,3,3.2,1.14,4.34,7.43,318,22.8,"1,4",NA
"Callithrix pygmaea","Platyrrhini",6,1,2.02,0.72,2.74,4.02,110,10.1,"1,4","a"
"Cebus capucinus","Platyrrhini",7,2,8.94,6.03,14.98,67.02,2436,NA,"1","a"
"Chiropotes satanas","Platyrrhini",3,3,8.2,7.76,15.96,48.33,2132,NA,"2",NA
"Pithecia pithecia","Platyrrhini",3,1,5.69,3.15,8.85,32.26,1760,NA,"1",NA
"Saimiri sciureus","Platyrrhini",9,2,6.08,2.86,8.94,24.6,799,68.51,"1,2","a"
"Tarsius sp.","Tarsiidae",5,4,1.47,0.54,2.01,3.27,109,8.89,"1,2","a"
"Cheirogaleus major","Lemuriformes (Cheirogaleidae)",2,2,2.93,0.21,3.14,5.81,140,NA,"1","a"
"Cheirogaleus medius","Lemuriformes (Cheirogaleidae)",2,1,1.61,0.09,1.7,2.6,400,22.47,"1,2","a"
"Microcebus murinus","Lemuriformes (Cheirogaleidae)",5,2,0.73,0.04,0.78,1.63,65,NA,"1","a"
"Mirza sp.","Lemuriformes (Cheirogaleidae)",1,2,1.8,0.08,1.88,5.75,312,NA,"1",NA
"Daubentonia madagascariensis","Lemuriformes (non-Cheirogaleida",3,3,11.17,0.77,11.94,45.31,2555,NA,"1","a"
"Archaeolemur majori","Lemuriformes (non-Cheirogaleida",5,3,38.97,0.8,39.76,93,18200,NA,"1",NA
"Avahi laniger","Lemuriformes (non-Cheirogaleida",5,2,5.81,0.17,5.99,9.86,1206,NA,"1","a"
"Babakotia radofilai","Lemuriformes (non-Cheirogaleida",2,2,25.54,0.71,26.26,48,16000,NA,"1",NA
"Hapalemur griseus","Lemuriformes (non-Cheirogaleida",6,2,7.06,0.15,7.2,14.04,689.5,NA,"1",NA
"Indri indri","Lemuriformes (non-Cheirogaleida",2,2,16.5,0.48,16.98,35.9,6335,NA,"1","a"
"Propithecus verreauxi","Lemuriformes (non-Cheirogaleida",4,2,11.88,0.26,12.14,30.06,2955,86.8,"1,4","a"
"Eulemur fulvus ssp.","Lemuriformes (non-Cheirogaleida",7,3,9.36,0.22,9.58,23.06,2210,42,"1,4","a"
"Lemur catta","Lemuriformes (non-Cheirogaleida",8,3,10.68,0.27,10.94,22.9,2210,45.1,"1,4",NA
"Prolemur simus","Lemuriformes (non-Cheirogaleida",3,1,10.65,0.24,10.89,27.14,2150,NA,"1",NA
"Varecia sp.","Lemuriformes (non-Cheirogaleida",3,3,11.53,0.34,11.87,32.15,3497,69.9,"1,4","a"
"Lepilemur sp.","Lemuriformes (non-Cheirogaleida",4,3,4.52,0.11,4.63,8.21,691,27.6,"1,4","a"
"Galago senegalensis","Lorisiformes",9,3,1.76,0.05,1.82,3.97,196,NA,"1","a"
"Otolemur crassicaudatus","Lorisiformes",8,2,3.58,0.25,3.82,12.25,1170,47.3,"1,2","a"
"Loris tardigradus","Lorisiformes",3,2,1.88,0.11,2,5.87,193,13.65,"1,2","a"
"Nycticebus coucang","Lorisiformes",8,2,5.39,0.19,5.58,11.01,679,35.95,"1,2","a"
"Perodicticus potto","Lorisiformes",8,2,5.78,0.15,5.93,12.81,802,59.05,"1,2","a"
"Cynocephalus volans","Non-primates (Dermoptera)",1,3,4.02,0.24,4.27,5.78,810,NA,"1",NA
"Galeopterus variegatus","Non-primates (Dermoptera)",4,2,2.88,0.2,3.07,6.78,1330,NA,"1",NA
"Ptilocercus lowii","Non-primates (Scandentia)",1,3,1.08,0.21,1.3,1.67,43,4.99,"1,2",NA
"Tupaia glis","Non-primates (Scandentia)",9,3,1.15,0.38,1.54,3,142,10.78,"1,2",NA
