Species,Boyer Species,ECV,BM,RICA,RVA,_ICA,_VA,QICA,QVA,QTOT,
Alouatta (Genus),Alouatta sp.,52.75,5753,0.67,0.7,29.56,41.49,0.349,0.561,0.911,
Aotus_trivirgatus,Aotus trivirgatus,16.85,989,0.4,0.43,42.04,61.39,0.104,0.189,0.293,
Archaeolemur_majori,Archaeolemur majori,93,18200,0.23,1.08,23.48,32.11,0.011,1.606,1.617,
Ateles_geoffroyi,Ateles geoffroyi,106.59,7453,0.93,0.72,28.07,39.16,0.898,0.571,1.469,
Avahi_laniger,Avahi laniger,9.86,1206,0.1,0.42,40.41,58.74,0.002,0.169,0.171,
Babakotia_radofilai,Babakotia radofilai,48,16000,0.21,0.88,24.09,33.04,0.009,0.877,0.886,
Cacajao_calvus,Cacajao calvus,76,2935,0.66,0.61,33.82,48.19,0.379,0.422,0.802,
Callicebus_moloch,Callicebus moloch,17.78,1070,0.42,0.39,41.38,60.32,0.119,0.145,0.264,
Callithrix_jacchus,Callithrix jacchus,7.43,318,0.27,0.31,52.75,79.02,0.041,0.093,0.134,
Callithrix_pygmaea,Callithrix pygmaea,4.02,110,0.21,0.25,65.23,100.08,0.025,0.059,0.084,
Cebus_capucinus,Cebus capucinus,67.02,2436,0.62,0.52,35.11,50.23,0.329,0.276,0.605,
Cheirogaleus_major,Cheirogaleus major,5.81,140,0.12,0.3,62.16,94.85,0.004,0.098,0.102,
Cheirogaleus_medius,Cheirogaleus medius,2.6,400,0.08,0.22,50.39,75.09,0.001,0.032,0.032,
Chiropotes_satanas,Chiropotes satanas,48.33,2132,0.7,0.5,36.05,51.74,0.493,0.25,0.743,
Cynocephalus_volans,Cynocephalus volans,5.78,810,0.12,0.35,43.75,64.18,0.003,0.106,0.11,
Daubentonia_madagascariensis,Daubentonia madagascariensis,45.31,2555,0.22,0.58,34.77,49.7,0.015,0.382,0.396,
Eulemur_fulvus,Eulemur fulvus ssp.,23.06,2210,0.12,0.53,35.8,51.33,0.002,0.302,0.305,
Galago_senegalensis,Galago senegalensis,3.97,196,0.06,0.23,58.11,88.01,0.0004,0.042,0.043,
Galeopterus_variegatus,Galeopterus variegatus,6.78,1330,0.11,0.29,39.62,57.47,0.002,0.058,0.06,
Gorilla_gorilla,Gorilla gorilla,455.89,71500,1.31,1.41,17.86,23.68,1.564,2.602,4.166,
Hapalemur_griseus,Hapalemur griseus,14.04,690,0.1,0.46,45.19,66.52,0.002,0.257,0.258,
Homo_sapiens,Homo sapiens,1422.3,65000,2.41,1.44,18.2,24.19,10.014,2.831,12.845,
Hylobates_lar,Hylobates lar,100.49,5381,0.94,0.58,29.96,42.11,0.962,0.316,1.278,
Indri_indri,Indri indri,35.9,6335,0.17,0.71,29,40.61,0.006,0.56,0.566,
Lemur_catta,Lemur catta,22.9,2210,0.13,0.57,35.8,51.33,0.003,0.368,0.372,
Lepilemur_sp.,Lepilemur sp.,8.21,691,0.08,0.37,45.17,66.49,0.001,0.131,0.132,
Lophocebus_albigena,Lophocebus albigena,97.99,7890,0.75,0.64,27.75,38.67,0.464,0.396,0.86,
Loris_tardigradus,Loris tardigradus,5.87,193,0.08,0.24,58.29,88.31,0.001,0.047,0.048,
Macaca_fascicularis,Macaca fascicularis,87.3,3884,0.75,0.54,31.98,45.28,0.529,0.286,0.815,
Mandrillus_leucophaeus,Mandrillus leucophaeus,160,17500,0.9,0.83,23.67,32.39,0.673,0.717,1.39,
Microcebus_murinus,Microcebus murinus,1.63,65,0.05,0.15,72.47,112.51,0.0003,0.014,0.015,
Miopithecus_talapoin,Miopithecus talapoin,39.08,1877,0.48,0.46,36.98,53.23,0.161,0.207,0.368,
Mirza_sp.,Mirza sp.,5.75,312,0.07,0.23,52.95,79.36,0.001,0.039,0.04,
Nasalis_larvatus,Nasalis larvatus,83.84,9730,0.75,0.68,26.61,36.91,0.439,0.466,0.905,
Nycticebus_coucang,Nycticebus coucang,11.01,679,0.11,0.4,45.33,66.75,0.002,0.172,0.174,
Otolemur_crassicaudatus,Otolemur crassicaudatus,12.25,1170,0.13,0.33,40.65,59.14,0.003,0.082,0.086,
Pan_troglodytes,Pan troglodytes,343.49,37133,1.34,1.12,20.36,27.4,1.921,1.512,3.433,
Papio_anubis,Papio anubis,152.45,13300,0.97,0.84,25,34.43,0.901,0.804,1.706,
Perodicticus_potto,Perodicticus potto,12.81,802,0.1,0.42,43.84,64.32,0.002,0.184,0.185,
Piliocolobus_badius,Piliocolobus badius,64.49,7850,0.93,0.56,27.78,38.71,0.878,0.264,1.142,
Pithecia_pithecia,Pithecia pithecia,32.26,1760,0.45,0.41,37.46,54,0.132,0.151,0.283,
Pongo_pygmaeus,Pongo pygmaeus,368,36948,1.24,1.32,20.38,27.43,1.518,2.467,3.985,
Prolemur_simus,Prolemur simus,27.14,2150,0.12,0.57,35.99,51.65,0.003,0.369,0.372,
Propithecus_verreauxi,Propithecus verreauxi,30.06,2955,0.13,0.6,33.78,48.12,0.003,0.405,0.408,
Ptilocercus_lowii,Ptilocercus lowii,1.67,43,0.12,0.18,78.71,123.35,0.005,0.028,0.033,
Saimiri_sciureus,Saimiri sciureus,24.6,799,0.43,0.43,43.87,64.37,0.134,0.198,0.333,
Tarsius (Genus),Tarsius sp.,3.27,109,0.19,0.21,65.35,100.29,0.016,0.037,0.053,
Tupaia_glis,Tupaia glis,3,142,0.16,0.19,61.98,94.55,0.009,0.024,0.033,
Varecia_sp.,Varecia sp.,32.15,3497,0.15,0.59,32.66,46.35,0.004,0.373,0.377,
Mus_musculus,Mus musculus,0.4,36,0.1,0.07,81.56,128.32,0.004,0.002,0.005,
Oryctolagus_cuniculus,Oryctolagus cuniculus,9.13,2250,0.28,0.5,35.67,51.13,0.031,0.255,0.286,
Rattus_norvegicus,Rattus norvegicus,1.72,375,0.26,0.15,51.04,76.18,0.034,0.011,0.045,
Sciurus_carolinensis,Sciurus carolinensis,5.55,440,NA,0.32,49.43,73.51,NA,0.097,0.097,
,,,,,,,,,,,
,,,,,,,,,,,
