"Species","n","MSC","LSC","%NSC","NSC","OSC","DN","DO","MBD","MSC%
MBD","MBR","MSC%
MCNS","NBR","NSC%
NCNS"
"Microcebus murinus","1","0.235","n.a.","7.33","1.68","21.27","7,150","90,398","60.0","0.39","1.799","11.55","254.71","0.66"
"Tupaia glis","14","0.607±","102.92±","6.02±","2.69±","41.96±","4,529±","69,891±","173.9±","0.35","2.752","18.07","261.40","1.02"
"","","0.082","3.70","1.49","0.71","4.17","1,597","8,247","26.0","","","","",""
"Callithrix jacchus","1","0.621","n.a.","7.57","3.65","44.55","5,875","71,734","340.0","0.18","7.780","7.39","635.80","0.57"
"Saimiri sciureus","4","1.602±","169.48±","4.83±","4.69±","91.24±","2,913±","56,888±","858.8±","0.19","30.216","5.03","3,246.43","0.14"
"","","0.078","5.49","1.75","1.88","6.88","1,120","1,614","105.9","","","","",""
"Otolemur garnetti","15","1.528±","152.00±","6.14±","5.73±","88.47±","3,847±","59,593±","1,111.8±","0.14","10.150","13.08","936.00","0.61"
"","","0.292","13.34","1.29","1.17","14.60","764","10,308","255.2","","","","",""
"Aotus trivirgatus","12","2.131±","169.88±","6.11±","5.82±","91.00±","2,911±","44,202±","1,198.5±","0.18","15.730","11.93","1,470.00","0.39"
"","","0.526","17.31","1.12","0.89","14.81","971","7,980","257.6","","","","",""
"Macaca fascicularis","1","7.499","n.a.","3.06","11.38","360.62","1,518","48,090","5,700.0","0.13","46.162","13.97","3,439.00","0.33"
"Macaca radiata","4","7.842±","264.60±","2.50±","9.06±","335.94±","1,173±","45,664±","8,012.5±","0.10","61.470","11.31","3,755.62","0.24"
"","","2.317","26.38","0.11","3.05","110.72","155","3,911","2,039.8","","","","",""
"Macaca mulatta","5","8.511±","247.46±","2.56±","10.00±","379.72±","1,176±","45,555±","84,700±","0.10","87.346","8.88","6,380.00","0.16"
"","","1.601","15.23","0.56","2.95","54.72","1,597","7,967","2,452.4","","","","",""
"Variation","","36×","","3×","6×","18×","6×","2×","141×","4×","48×","","25×",""
