Group,Species,Cer White,Cer Gray,Neo White,Neo Gray
Apes,Hylobates lar,2.93,12.8,21.9,45.1
Apes,Pan troglodytes,8.63,36.1,104,163
Old World Monkeys,Cercocebus torquatus,1.96,4.47,40.4,47.9
Old World Monkeys,Cercopithecus nictitans,0.965,3.84,11.8,36.0
Old World Monkeys,Macaca mulatta,1.38,3.68,16.4,30.5
Old World Monkeys,Mandrillus sphinx,1.89,7.16,27.9,71.3
Old World Monkeys,Papio hamadryas,2.98,9.14,37.1,71.4
Old World Monkeys,Semnopithecus entellus,2.27,9.15,24.3,51.8
New World Monkeys,Alouatta palliata,1.05,3.32,11.6,17.4
New World Monkeys,Aotus trivirgatus,0.174,0.753,1.49,4.32
New World Monkeys,Ateles sp.,1.68,5.97,17.7,28.9
New World Monkeys,Callicebus sp.,0.249,0.833,1.94,5.12
New World Monkeys,Saimiri sciureus,0.393,1.49,3.70,10.4
Tarsier,Tarsius syricta,0.0473,0.247,0.151,1.47
Strepsirrhines,Eulemur mongoz,0.486,1.88,3.83,8.23
Strepsirrhines,Galago senegalensis,0.0634,0.354,0.195,1.20
Strepsirrhines,Lemur catta,0.409,2.27,2.12,8.96
Strepsirrhines,Microcebus urinus,0.0331,0.172,0.0976,0.591
Strepsirrhines,Nycticebus coucang,0.196,1.20,1.07,4.40
Strepsirrhines,Otolemur crassicaudatus,0.127,0.747,0.572,3.10
Strepsirrhines,Perodicticus potto,0.183,1.14,0.638,3.91
Artiodactyls,Odocoileus virginianus,4.16,11.1,24.4,52.0
Artiodactyls,Tayassu tajacu,1.25,4.17,6.96,18.4
Marsupials,Marmosa mitis,0.0102,0.0871,0.0113,0.119
Marsupials,Didelphis marsupialis,0.16,0.67,0.151,0.939
Xenarthra,Myrmecophaga tridactyla,3.19,9.02,8.58,19.9
Xenarthra,Tamandua tatradactyla,0.678,2.98,2.16,7.25
Xenarthra,Choloepus didactylis,0.682,2.30,2.63,7.91
Hyrax,Procavia capensis,0.31,1.12,1.33,4.21
Zebra,Equus burchelli,9.6,27.4,88.4,149
Rodents,Applodontia rufa,0.137,0.665,0.376,1.48
Rodents,Chinchilla laniger,0.173,0.792,0.269,1.16
Rodents,Myoxus glis,0.0481,0.245,0.0678,0.49
Rodents,Rattus norvegicus,0.0287,0.183,0.0534,0.529
Rodents,Sciurus carolinensis,0.184,0.904,0.44,2.48
Carnivores,Ailurus fulgens,1.10,3.97,6.25,13.8
Carnivores,Canis latrans,1.34,4.17,15.5,30.4
Carnivores,Crocuta crocuta,3.12,8.34,28.9,56.1
Carnivores,Galictis vitatus,0.324,1.44,2.72,9.09
Carnivores,Mustela putorius,0.122,0.626,0.569,2.14
Carnivores,Mustela vison,0.217,0.859,1.21,4.75
Carnivores,Nasua narica,0.794,2.94,4.80,12.1
Carnivores,Potos flavus,1.07,4.32,6.16,13.2
Carnivores,Vulpes zerda,0.271,1.21,1.53,5.73
Carnivores,Zalophus californianus,13.6,67.1,88.7,213
