"species","FrG","RoG","FrRat","WhBr","NeoG","NeoW","Act","Diet","Gr","Grsz"
"Hylobates Lar","15.66","29.46","0.53","101.28","45.12","20.5","D","FGS","M","3.5"
"Pan troglodytes","62.52","100.65","0.62","364.14","163.18","103.77","D","FGS","FF","28"
"Homo Sapiens","209.7","345.66","0.61","1251.85","555.36","422.48","D",NA,"Hs",NA
"Cercocebus torquatus","14.34","33.58","0.43","117.08","47.92","40.36","D","FGS","T",NA
"Cercopithecus nictitans","9.66","26.34","0.37","64.74","35.99","11.81","D","FGS","H","20"
"Macaca mulatta","9.9","20.63","0.48","65.76","30.54","16.35","D",NA,"T",NA
"Mandrillus sphinx","19.17","52.16","0.37","127.61","71.33","27.93","D","FGS","T",NA
"Papio hamadryas","25.74","53.36","0.48","159.11","79.1","39.68","D",NA,"FF","68"
"Semnopithecus entellus","15.87","35.98","0.44","107.54","51.85","24.26","D","L",NA,"19"
"Alouatta palliata","5.54","11.62","0.48","43.52","17.15","11.41","D","L","T","12.3"
"Aotus trivirgatus","1.34","3.89","0.34","11.42","5.23","1.74","N","FGS","M",NA
"Ateles sp.","11.35","19.58","0.58","72.41","30.93","17.95","D","FGS","FF",NA
"Callicebus sp.","1.21","3.91","0.31","11.90","5.12","1.94","D","FGS","M",NA
"Saimiri sciureus","2.54","7.9","0.32","21.22","10.44","3.7","D","I","T","42"
"Tarsius syrichta","0.2","1.27","0.16","3.06","1.47","0.15","N","I",NA,NA
"Eulemur mongoz","2.84","5.35","0.53","22.24","8.2","3.83","C",NA,NA,"2.6"
"Galago senegalensis","0.3","1.04","0.29","3.58","1.34","0.23","N","I","S",NA
"Lemur catta","2.74","6.22","0.44","21.00","8.96","2.12","D","FGS","T","18"
"Microcebus murinus","0.09","0.5","0.18","1.65","0.59","0.1","N","I","S",NA
"Nycticebus coucang","1.16","3.25","0.36","11.27","4.4","1.07","N","FGS","S",NA
"Otolemur crassicaudatus","0.88","2.21","0.40","7.11","3.1","0.57","N","FGS","S",NA
"Perodicticus Potto","1.32","2.59","0.51","10.16","3.91","0.64","N","FGS","S",NA
"Propithecus verreauxi","2.25","7.59","0.30","25.19","9.84","2.35","D",NA,NA,NA
"Daubentonia madagascariensis","7","12.79","0.55","41.07","19.79","4.28","N","FGS","S",NA
"Cheirogaleus medius","0.23","0.66","0.35","2.63","0.89","0.13","N","FGS","S",NA
"Odocoileus virginianus",NA,NA,NA,"140.74","51.96","24.38",NA,NA,NA,NA
"Tayassu tajacu",NA,NA,NA,"48.28","18.36","6.96",NA,NA,NA,NA
"Llama glama","10.87","94.08","0.12","281.27","104.95","58.67",NA,NA,NA,NA
"Marmosa mitis",NA,NA,NA,"0.77","0.12","0.01",NA,NA,NA,NA
"Didelphis marsupialis",NA,NA,NA,"5.89","0.94","0.15",NA,NA,NA,NA
"Myrmecophaga tridactyla",NA,NA,NA,"78.04","19.86","8.58",NA,NA,NA,NA
"Tamandua tetradactyla",NA,NA,NA,"24.64","7.25","2.16",NA,NA,NA,NA
"Choloepus didactylis","2.1","5.81","0.36","25.56","7.91","2.63",NA,NA,NA,NA
"Procavia capensis","0.79","3.37","0.23","12.68","4.17","1.33",NA,NA,NA,NA
"Equus burchelli",NA,NA,NA,"371.75","148.88","88.36",NA,NA,NA,NA
"Applodontia rufa",NA,NA,NA,"5.60","1.48","0.38",NA,NA,NA,NA
"Chinchilla laniger",NA,NA,NA,"5.15","1.16","0.27",NA,NA,NA,NA
"Myoxus glis",NA,NA,NA,"2.00","0.49","0.07",NA,NA,NA,NA
"Rattus norvegicus",NA,NA,NA,"1.69","0.53","0.05",NA,NA,NA,NA
"Sciurus carolinensis",NA,NA,NA,"7.70","2.48","0.44",NA,NA,NA,NA
"Ailurus fulgens","2.96","10.86","0.27","36.62","13.82","6.25",NA,NA,NA,"1"
"Canis latrans","5.48","24.94","0.22","73.16","30.42","15.55",NA,NA,NA,"5"
"Crocuta crocuta","13.36","42.91","0.31","134.31","56.27","28.93",NA,NA,NA,"55"
"Galictis vitatus","2.53","6.57","0.39","19.36","9.09","2.72",NA,NA,NA,NA
"Mustela putorius","0.69","1.45","0.48","5.88","2.14","0.57",NA,NA,NA,NA
"Mustela vison","1.25","3.49","0.36","11.00","4.75","1.21",NA,NA,NA,NA
"Mustela erminea","0.41","0.94","0.44","3.89","1.35","0.23",NA,NA,NA,"1"
"Nasua narica","3.15","8.98","0.35","30.19","12.13","4.8",NA,NA,NA,"10"
"Panthera leo","12.27","63.03","0.19","192.64","75.3","45.79",NA,NA,NA,"8.7"
"Potos flavus","3.41","9.76","0.35","38.24","13.17","6.16",NA,NA,NA,NA
"Procyon lotor","2.97","10.21","0.29","34.10","13.18","5.51",NA,NA,NA,"1"
"Ursus maritimus","29.38","69.69","0.42","281.00","99.07","73.01",NA,NA,NA,"1"
"Vulpes zerda","0.81","4.93","0.16","13.32","5.73","1.53",NA,NA,NA,NA
"Zalophus californianus","32.4","181.26","0.18","455.70","213.66","88.72",NA,NA,NA,NA
"Cynictis penicillata","1.02","3.88","0.26","14.23","4.9","2.02",NA,NA,NA,NA
