species,bush2004_V1G_mm3(x1000),deSousa_V1_ASG_mm3,pct_diff,clade,independence
Hylobates lar,4400,4086.7,7.7,hominoid,INDEPENDENT (Bush-own vs deSousa-own)
Pan troglodytes,11030,8268.3,33.4,hominoid,INDEPENDENT (Bush-own vs deSousa-own)
Homo sapiens,16140,15247.5,5.9,hominoid,INDEPENDENT (Bush-own vs deSousa-own)
Macaca mulatta,3260,5343.0,-39.0,monkey,PARTLY SHARED (both may incorporate Frahm 1984)
Aotus trivirgatus,630,996.0,-36.7,monkey,PARTLY SHARED (both may incorporate Frahm 1984)
Saimiri sciureus,1430,1884.0,-24.1,monkey,PARTLY SHARED (both may incorporate Frahm 1984)
Galago senegalensis,220,301.0,-26.9,strepsirrhine/tarsier,PARTLY SHARED (both may incorporate Frahm 1984)
Microcebus murinus,110,136.0,-19.1,strepsirrhine/tarsier,PARTLY SHARED (both may incorporate Frahm 1984)
Nycticebus coucang,580,696.0,-16.7,strepsirrhine/tarsier,PARTLY SHARED (both may incorporate Frahm 1984)
Otolemur crassicaudatus,450,479.0,-6.1,strepsirrhine/tarsier,PARTLY SHARED (both may incorporate Frahm 1984)
Perodicticus potto,330,495.0,-33.3,strepsirrhine/tarsier,PARTLY SHARED (both may incorporate Frahm 1984)
