Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species,species scientific binomial as printed,,Species,,primary,Primates,Caspar_etal_2022_Table1,reconcile to _keys/Stephan/species_key.csv,
N,number of individuals tested for hand preference,,,n,primary,Primates,Caspar_etal_2022_Table1,,
# Left,number of left-preferent individuals,Behaviour,,n,primary,Primates,Caspar_etal_2022_Table1,split from the printed '# Left (%)' column,
# Left %,percentage of left-preferent individuals,Behaviour,,pct,primary,Primates,Caspar_etal_2022_Table1,,
# Right,number of right-preferent individuals,Behaviour,,n,primary,Primates,Caspar_etal_2022_Table1,,
# Right %,percentage of right-preferent individuals,Behaviour,,pct,primary,Primates,Caspar_etal_2022_Table1,,
# Ambipreferent,number of ambipreferent (no significant preference) individuals,Behaviour,,n,primary,Primates,Caspar_etal_2022_Table1,,
# Ambipreferent %,percentage of ambipreferent individuals,Behaviour,,pct,primary,Primates,Caspar_etal_2022_Table1,,
MeanHI,"mean handedness index (signed; positive = right-biased, negative = left-biased)",Behaviour,HandednessIndex,mean,primary,Primates,Caspar_etal_2022_Table1,direction of hand preference,
MeanAbsHI,"mean absolute handedness index (strength of lateralization, direction ignored)",Behaviour,HandednessIndex,mean,primary,Primates,Caspar_etal_2022_Table1,degree of hand preference,
"Species direction bias (HI), p value",p value for a species-level direction bias in HI,Behaviour,,p,primary,Primates,Caspar_etal_2022_Table1,'<0.001*' etc. kept as printed,
"Species L/R/A distribution, p value",p value for the species-level left/right/ambipreferent distribution,Behaviour,,p,primary,Primates,Caspar_etal_2022_Table1,,
nGenus,number of individuals pooled at the genus level,,,n,primary,Primates,Caspar_etal_2022_Table1,merged-cell value carried down to each species of the genus,
"Genus direction bias (HI), p value",p value for a genus-level direction bias in HI,Behaviour,,p,primary,Primates,Caspar_etal_2022_Table1,NA for Pithecia pithecia is genuine,
"Genus L/R/A distribution, p value",p value for the genus-level left/right/ambipreferent distribution,Behaviour,,p,primary,Primates,Caspar_etal_2022_Table1,,
Species note,common-name / subspecies note added during compilation,,,info,Primates,Caspar_etal_2022_Table1,,
