acuity_rank,common_name,latin_name,method,citations
1,wedge-tailed eagle,Aquila audax,Behavior,"[1,2]"
2,human,Homo sapiens,Peak RGC,"[3,4]"
3,rhesus macaque,Macaca mulatta,Behavior,"[5,6]"
4,common octopus,Octopus vulgaris,Peak RGC,"[7,8]"
5,giraffe,Giraffa camelopardalis,Peak RGC,"[9,10]"
6,cheetah,Acinonyx jubatus,Peak RGC,"[6,11,12]"
7,common ostrich,Struthio camelus,Peak RGC,[13]
8,african elephant,Loxodonta africana,Peak RGC,"[6,14]"
9,little penguin,Eudyptula minor,Peak RGC,[15]
10,fringed jumping spider,Portia fimbriata,Interommatidial angle,[16]
11,dromedary camel,Camelus dromedarius,Peak RGC,[17]
12,saltwater crocodile,Crocodylus porosus,Peak RGC,[18]
13,atlantic blue marlin,Makaira nigricans,Peak RGC,[19]
14,eurasian lynx,Lynx lynx,VEP,"[20,21]"
15,goldfish,Carassius auratus,Behavior,"[22,23]"
16,domestic chicken,Gallus gallus,Behavior,[24]
17,great hammerhead shark,Sphyrna mokarran,Peak RGC,[25]
18,red-eared slider,Pseudemys scripta elegans,VEP,[26]
19,rufous-tailed hummingbird,Amazilia tzacatl,Peak RGC,[27]
20,carolina chickadee,Parus carolinensis,Peak RGC,[28]
21,bluespotted stingray,Neotrygon kuhlii,Peak RGC,[29]
22,koala,Phascolarctos cinereus,Peak RGC,[30–32]
23,california ground squirrel,Spermophilus beecheyi,Behavior,"[32,33]"
24,walrus,Odobenus rosmarus,Peak RGC,"[21,34]"
25,common barn owl,Tyto alba,Peak RGC,[35]
26,northern leopard frog,Rana pipiens,Behavior,[36]
27,brown hawker dragonfly,Aeshna grandis,Interommatidial angle,"[8,37]"
28,american cockroach,Periplaneta americana,VEP,[38]
29,two toed sloth,Choloepus didactylus,Peak RGC,"[6,39]"
30,blue morpho butterfly,Morpho peleides,Interommatidial angle,[40]
31,hooded rat,Rattus norvegicus,Behavior,"[21,41]"
32,giant owl butterfly,Caligo memnon,Interommatidial angle,[40]
33,honeybee,Apis mellifera,Interommatidial angle,"[42,43]"
34,naked mole rat,Heterocephalus glaber,Peak RGC,"[32,44]"
35,great scallop,Pecten maximus,Behavior,"[45,46]"
36,jamaican fruit bat,Artibeus jamaicensis,Behavior,"[32,47]"
37,scarlet skunk cleaner shrimp,Lysmata amboinensis,Behavior,[48]
38,fruit fly,Drosophila melanogaster,Interommatidial angle,"[42,49]"
39,mangrove mud-nesting ant,Polyrhachis sokolova,Interommatidial angle,"[50,51]"
40,dust lice,Psyllipsocus ramburi,Acceptance angle,[52]
