"species_sci","Taxon","Activity Period","References","Notes"
"Alouatta caraya","Alouatta_caraya","Diurnal","71",
"Alouatta palliata","Alouatta_palliata","Diurnal","71",
"Alouatta seniculus","Alouatta_seniculus","Diurnal","71",
"Aotus trivirgatus","Aotus_trivirgatus","Nocturnal/Cathemeral","69; 72","origin/classification of these specimens is uncertain; A. a. azarai is cathemeral [71]"
"Ateles geoffroyi","Ateles_geoffroyi","Diurnal","71",
"Ateles paniscus","Ateles_paniscus","Diurnal","71",
"Avahi laniger","Avahi_laniger","Nocturnal","70",
"Avahi occidentalis","Avahi_occidentalis","Nocturnal","69",
"Callicebus moloch","Callicebus_moloch","Diurnal","70",
"Callimico goeldii","Callimico_goeldii","Diurnal","69",
"Callithrix jacchus","Callithrix_jacchus","Diurnal","71",
"Callithrix pygmaea","Callithrix_pygmaea","Diurnal","70",
"Cebus albifrons","Cebus_albifrons","Diurnal","71",
"Sapajus apella","Cebus_apella","Diurnal","71",
"Cercocebus agilis","Cercocebus_agilis","Diurnal","69",
"Cercocebus torquatus","Cercocebus_torquatus_atys","Diurnal","69",
"Cercopithecus ascanius","Cercopithecus_ascanius","Diurnal","71",
"Cercopithecus mitis","Cercopithecus_mitis","Diurnal","69",
"Cercopithecus nictitans","Cercopithecus_nictitans","Diurnal","69",
"Cheirogaleus major","Cheirogaleus_major","Nocturnal","71",
"Cheirogaleus medius","Cheirogaleus_medius","Nocturnal","71",
"Colobus angolensis","Colobus_angolensis","Diurnal","69",
"Daubentonia madagascariensis","Daubentonia_madagascariensis","Nocturnal","71",
"Erythrocebus patas","Erythrocebus_patas","Diurnal","71",
"Eulemur fulvus","Eulemur_fulvus_fulvus","Cathemeral","71",
"Eulemur mongoz","Eulemur_mongoz","Cathemeral","71",
"Galago senegalensis","Galago_senegalensis","Nocturnal","70",
"Galagoides demidoff","Galagoides_demidoff","Nocturnal","71",
"Gorilla beringei","Gorilla_beringei","Diurnal","Genus-level",
"Gorilla sp.","Gorilla_gorilla_gorilla","Diurnal","69",
"Gorilla gorilla graueri","Gorilla_gorilla_graueri","Diurnal","Genus-level",
"Hylobates lar","Hylobates_lar","Diurnal","71",
"Hylobates muelleri","Hylobates_muelleri","Diurnal","71",
"Indri indri","Indri_indri","Diurnal","70",
"Lagothrix lagothricha","Lagothrix_lagotricha","Diurnal","71",
"Lemur catta","Lemur_catta","Diurnal","71",
"Leontopithecus rosalia","Leontopithecus_rosalia","Diurnal","69",
"Lepilemur ruficaudatus","Lepilemur_ruficaudatus","Nocturnal","69",
"Lophocebus albigena","Lophocebus_albigena","Diurnal","70",
"Loris tardigradus","Loris_tardigradus","Nocturnal","71",
"Macaca fascicularis","Macaca_fascicularis","Diurnal","69",
"Macaca maura","Macaca_maura","Diurnal","69",
"Macaca mulatta","Macaca_mulatta","Diurnal","69",
"Mandrillus sphinx","Mandrillus_sphinx","Diurnal","70",
"Microcebus murinus","Microcebus_murinus","Nocturnal","71",
"Miopithecus talapoin","Miopithecus_talapoin","Diurnal","70",
"Nasalis larvatus","Nasalis_larvatus","Diurnal","70",
"Nomascus concolor","Nomascus_concolor","Diurnal","69",
"Nycticebus coucang","Nycticebus_coucang","Nocturnal","71",
"Otolemur crassicaudatus","Otolemur_crassicaudatus","Nocturnal","71",
"Pan paniscus","Pan_paniscus","Diurnal","69",
"Pan troglodytes","Pan_troglodytes_troglodytes","Diurnal","71",
"Papio anubis","Papio_anubis","Diurnal","71",
"Papio cynocephalus","Papio_cynocephalus","Diurnal","71",
"Papio hamadryas","Papio_hamadryas","Diurnal","71",
"Perodicticus potto","Perodicticus_potto","Nocturnal","71",
"Piliocolobus badius","Piliocolobus_badius","Diurnal","71",
"Pithecia monachus","Pithecia_monachus","Diurnal","69",
"Pithecia pithecia","Pithecia_pithecia","Diurnal","69",
"Pongo sp.","Pongo_abelii","Diurnal","Genus-level",
"Pongo pygmaeus","Pongo_pygmaeus","Diurnal","71",
"Propithecus verreauxi","Propithecus_verreauxi","Diurnal","71",
"Pygathrix nemaeus","Pygathrix_nemaeus","Diurnal","69",
"Saguinus geoffroyi","Saguinus_geoffroyi","Diurnal","69",
"Saguinus midas","Saguinus_midas","Diurnal","69",
"Saguinus oedipus","Saguinus_oedipus","Diurnal","69",
"Saimiri sciureus","Saimiri_sciureus","Diurnal","69",
"Semnopithecus entellus","Semnopithecus_entellus","Diurnal","69",
"Symphalangus syndactylus","Symphalangus_syndactylus","Diurnal","69",
"Tarsius syrichta","Tarsius_syrichta","Nocturnal","69",
"Trachypithecus francoisi","Trachypithecus_francoisi","Diurnal","69",
"Varecia variegata","Varecia_variegata_variegata","Diurnal","69",
