"species_sci","Taxon","Ref [94]","Ref [38]","Social System","System Notes"
"Alouatta caraya","Alouatta_caraya","UM, MMMF","Polygynandry","Group",
"Alouatta palliata","Alouatta_palliata","UM, MMMF","Polygynandry","Group",
"Alouatta seniculus","Alouatta_seniculus","UM, MMMF","Polygynandry","Group",
"Aotus trivirgatus","Aotus_trivirgatus","PL","Pair","Pair",
"Ateles geoffroyi","Ateles_geoffroyi","MMMF","Polygynandry","Group",
"Ateles paniscus","Ateles_paniscus","MMMF","Polygynandry","Group",
"Avahi laniger","Avahi_laniger","PL","Pair","Pair",
"Avahi occidentalis","Avahi_occidentalis","PL","Pair","Pair",
"Callicebus moloch","Callicebus_moloch","PL","Pair","Pair",
"Callimico goeldii","Callimico_goeldii","PL, UM, MMMF","Pair","Pair","Polymorphic; use designation in [38]: 2/3 sources = monogamous/polyandrous"
"Callithrix jacchus","Callithrix_jacchus","PL, UM, MMMF","Pair","Pair","Polymorphic; use designation in [38]: 3/3 sources = monogamous/polyandrous"
"Callithrix pygmaea","Callithrix_pygmaea","PL, UM, MMMF","Pair","Pair","Polymorphic; use designation in [38]: 5/5 sources = monogamous/polyandrous"
"Cebus albifrons","Cebus_albifrons","MMMF","Polygynandry","Group",
"Sapajus apella","Cebus_apella","MMMF","Polygynandry","Group",
"Cercocebus agilis","Cercocebus_agilis","MMMF","Polygynandry","Group",
"Cercocebus torquatus","Cercocebus_torquatus_atys","MMMF","Polygynandry","Group",
"Cercopithecus ascanius","Cercopithecus_ascanius","MMMF","Polygyny","Group",
"Cercopithecus mitis","Cercopithecus_mitis","UM, MMMF","Polygynandry","Group",
"Cercopithecus nictitans","Cercopithecus_nictitans","UM","Polygyny","Group",
"Cheirogaleus major","Cheirogaleus_major","S","Solitary","Solitary",
"Cheirogaleus medius","Cheirogaleus_medius","S, PL","Solitary","Pair","Males and females sleep together; dispersed monogamy [96]"
"Colobus angolensis","Colobus_angolensis","PL, UM, MMMF","Polygynandry","Group","Polymorphic; use designation in [38]: 3/3 sources = polygynous/polygynandrous"
"Daubentonia madagascariensis","Daubentonia_madagascariensis","S","Solitary","Solitary",
"Erythrocebus patas","Erythrocebus_patas","UM","Polygyny","Group",
"Eulemur fulvus","Eulemur_fulvus_fulvus","MMMF","Polygynandry","Group",
"Eulemur mongoz","Eulemur_mongoz","PL, MMMF","Pair","Pair","Polymorphic; use designation in [38]: 2/4 sources = monogamous"
"Galago senegalensis","Galago_senegalensis","S, UM","Solitary","Solitary","Females sleep together; males sometimes join groups of females; dispersed multimale [96]"
"Galagoides demidoff","Galagoides_demidoff","S, PL, UM","Solitary","Pair","21% of time is spent in pairs [97]"
"Gorilla beringei","Gorilla_beringei","NA","Polygyny","Group",
"Gorilla sp.","Gorilla_gorilla_gorilla","UM, MMMF","Polygyny","Group",
"Gorilla gorilla graueri","Gorilla_gorilla_graueri","NA","NA","Group","Genus-level"
"Hylobates lar","Hylobates_lar","PL","Pair","Pair",
"Hylobates muelleri","Hylobates_muelleri","PL","Pair","Pair",
"Indri indri","Indri_indri","PL","Pair","Pair",
"Lagothrix lagothricha","Lagothrix_lagotricha","MMMF","Polygynandry","Group",
"Lemur catta","Lemur_catta","MMMF","Polygynandry","Group",
"Leontopithecus rosalia","Leontopithecus_rosalia","PL, UM, MMMF","Pair","Pair","Polymorphic; use designation in [38]: 1/1 sources = monogamous"
"Lepilemur ruficaudatus","Lepilemur_ruficaudatus","S","Solitary","Solitary",
"Lophocebus albigena","Lophocebus_albigena","MMMF","Polygynandry","Group",
"Loris tardigradus","Loris_tardigradus","S, PL","Solitary","Pair","Sleeping associations comprised of female with offspring and 1 male [98]"
"Macaca fascicularis","Macaca_fascicularis","MMMF","Polygynandry","Group",
"Macaca maura","Macaca_maura","MMMF","NA","Group",
"Macaca mulatta","Macaca_mulatta","MMMF","Polygynandry","Group",
"Mandrillus sphinx","Mandrillus_sphinx","MMMF","Polygynandry","Group",
"Microcebus murinus","Microcebus_murinus","S, MMMF","Solitary","Solitary","Females sleep together; males sometimes join groups of females; dispersed multimale [96]"
"Miopithecus talapoin","Miopithecus_talapoin","MMMF","Polygynandry","Group",
"Nasalis larvatus","Nasalis_larvatus","UM","Polygynandry","Group",
"Nomascus concolor","Nomascus_concolor","PL","Pair","Pair",
"Nycticebus coucang","Nycticebus_coucang","S","Solitary","Solitary",
"Otolemur crassicaudatus","Otolemur_crassicaudatus","S, PL, UM","Solitary","Pair","Adult pairs sleep together [96]"
"Pan paniscus","Pan_paniscus","MMMF","Polygynandry","Group",
"Pan troglodytes","Pan_troglodytes_troglodytes","MMMF","Polygynandry","Group",
"Papio anubis","Papio_anubis","MMMF","Polygynandry","Group",
"Papio cynocephalus","Papio_cynocephalus","MMMF","Polygynandry","Group",
"Papio hamadryas","Papio_hamadryas","UM, MMMF","Polygynandry","Group",
"Perodicticus potto","Perodicticus_potto","S","Solitary","Solitary",
"Piliocolobus badius","Piliocolobus_badius","MMMF","Polygynandry","Group",
"Pithecia monachus","Pithecia_monachus","NA","NA","Pair","Occur primarily in two-adult groups throughout their range [99]"
"Pithecia pithecia","Pithecia_pithecia","NA","NA","Pair","Occur primarily in two-adult groups throughout their range [99]"
"Pongo sp.","Pongo_abelii","S, MMMF","Solitary","Solitary/Group","Analyses repeated"
"Pongo pygmaeus","Pongo_pygmaeus","S, MMMF","Solitary","Solitary/Group","Analyses repeated"
"Propithecus verreauxi","Propithecus_verreauxi","PL, UM, MMMF","Polygynandry","Group","Polymorphic; use designation in [38]: 6/6 sources = polygynous/polygynandrous"
"Pygathrix nemaeus","Pygathrix_nemaeus","UM, MMMF","Polygynandry","Group",
"Saguinus geoffroyi","Saguinus_geoffroyi","PL, UM, MMMF","Pair","Pair","Polymorphic; use designation in [38]: 1/1 sources = monogamous"
"Saguinus midas","Saguinus_midas","PL, UM, MMMF","Pair","Pair","Polymorphic; use designation in [38]: 3/3 sources = monogamous/polyandrous"
"Saguinus oedipus","Saguinus_oedipus","PL, UM, MMMF","Pair","Pair","Polymorphic; use designation in [38]: 5/5 sources = monogamous/polyandrous"
"Saimiri sciureus","Saimiri_sciureus","MMMF","Polygynandry","Group",
"Semnopithecus entellus","Semnopithecus_entellus","UM, MMMF","Polygynandry","Group",
"Symphalangus syndactylus","Symphalangus_syndactylus","PL","Pair","Pair",
"Tarsius syrichta","Tarsius_syrichta","S","Solitary","Solitary",
"Trachypithecus francoisi","Trachypithecus_francoisi","UM","NA","Group",
"Varecia variegata","Varecia_variegata_variegata","MMMF","Pair","Group","Group-living with fission-fusion dynamics [100]; follow designation in [94]"
