taxon,sp,dec_region,our_term,dec_value,ref_ids,ref_is_stephan,status,flag,matched_source,matched_variable,matched_sp,matched_value,pct_diff,mismatch_source,mismatch_value,mismatch_pct
Alouatta_caraya,alouatta caraya,BV,Total_brain_net_volume_Vol.mm3,53861,43,FALSE,match,match,Bauernfeind_etal_2013_Table1,Total_brain_net_volume_Vol.mm3,alouatta caraya,53861,0,NA,NA,NA
Alouatta_caraya,alouatta caraya,Granular Insula,Granular_insular_cortex_Vol.mm3,178,43,FALSE,match,match,Bauernfeind_etal_2013_Table1_bilateral_est,Granular_insular_cortex_Vol.mm3,alouatta caraya,178,0,NA,NA,NA
Alouatta_caraya,alouatta caraya,Dysgranular Insula,Dysgranular_insular_cortex_Vol.mm3,282,43,FALSE,match,match,Bauernfeind_etal_2013_Table1_bilateral_est,Dysgranular_insular_cortex_Vol.mm3,alouatta caraya,282,0,NA,NA,NA
Alouatta_caraya,alouatta caraya,Agranular Insula,Agranular_insular_cortex_Vol.mm3,84,43,FALSE,match,match,Bauernfeind_etal_2013_Table1_bilateral_est,Agranular_insular_cortex_Vol.mm3,alouatta caraya,84,0,NA,NA,NA
Alouatta_caraya,alouatta caraya,Insula (GM),Insula_Vol.mm3,544,43,FALSE,match,match,Bauernfeind_etal_2013_Table1_bilateral_est,Insula_Vol.mm3,alouatta caraya,544,0,NA,NA,NA
Alouatta_palliata,alouatta palliata,BV,Total_brain_net_volume_Vol.mm3,43520,54;55,FALSE,match,match,Bush_Allman_2004_b_TABLE1,Total_brain_net_volume_Vol.mm3,alouatta palliata,43520,0,NA,NA,NA
Alouatta_palliata,alouatta palliata,Neocortex (GM+WM),Neocortex_Vol.mm3,28560,54;55,FALSE,match,match,Bush_Allman_2004_a_Table2,Neocortex_Vol.mm3,alouatta palliata,28560,0,NA,NA,NA
Alouatta_palliata,alouatta palliata,Neocortex (GM),Neocortex_grey_matter_Vol.mm3,17150,54;55,FALSE,match,match,Bush_Allman_2004_b_TABLE1,Neocortex_grey_matter_Vol.mm3,alouatta palliata,17150,0,NA,NA,NA
Alouatta_palliata,alouatta palliata,V1 (GM),Area_striata_grey_matter_Vol.mm3,1860,54;55,FALSE,match,match,Bush_Allman_2004_b_TABLE1,Area_striata_grey_matter_Vol.mm3,alouatta palliata,1860,0,NA,NA,NA
Alouatta_palliata,alouatta palliata,LGN,Corpus_geniculatum_laterale_Vol.mm3,90,54;55,FALSE,match,match,Bush_Allman_2004_b_TABLE1,Corpus_geniculatum_laterale_Vol.mm3,alouatta palliata,90,0,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,BV,Total_brain_net_volume_Vol.mm3,50542.1835209069,34,FALSE,match,match,deSousa2010_SupTable2_speciesmean,Total_brain_net_volume_Vol.mm3,alouatta seniculus,50200,0.682,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,V1 (GM),Area_striata_grey_matter_Vol.mm3,1918,34,FALSE,match,match,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,alouatta seniculus,1918,0,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,BV,Total_brain_net_volume_Vol.mm3,49009.208,53,FALSE,match,match,Stephan_etal_1981_TableIII,Total_brain_net_volume_Vol.mm3,alouatta seniculus,49009,0,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,Medulla,Medulla_oblongata_Vol.mm3,1593.25,53,FALSE,match,match,Sherwood_etal_2005_Table1,Medulla_oblongata_Vol.mm3,alouatta seniculus,1593.25,0,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,Vmo,Trigeminal_motor_nucleus_Vol.mm3,4.52,53,FALSE,match,match,Sherwood_etal_2005_Table1_bilateral_est,Trigeminal_motor_nucleus_Vol.mm3,alouatta seniculus,4.52,0,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,VII,Facial_motor_nucleus_Vol.mm3,3.46,53,FALSE,match,match,Sherwood_etal_2005_Table1_bilateral_est,Facial_motor_nucleus_Vol.mm3,alouatta seniculus,3.46,0,NA,NA,NA
