Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
GM,Cerebral Cortex Grey Matter,CerebralCortexGrey,,,primary,Marsupials,DosSantos_etal_2017_TableS1,"defined in text: ""separation of the remaining Cx into gray and white matter, which had their numbers of cells counted separately""",
BR,whole brain (excluding the olfactory bulb),WholeBrain,,,primary,Marsupials,DosSantos_etal_2017_TableS1,,
CB,cerebellum,Cerebellum,,,primary,Marsupials,DosSantos_etal_2017_TableS1,,
CX,cerebral cortex (including hippocampus),CerebralCortex,,,primary,Marsupials,DosSantos_etal_2017_TableS1,,
D+S,diencephalon + striatum,DiencephalonStriatum,,,primary,Marsupials,DosSantos_etal_2017_TableS1,,
HP,hippocampus,Hippocampus,,,primary,Marsupials,DosSantos_etal_2017_TableS1,,
MES,mesencephalon,Mesencephalon,,,primary,Marsupials,DosSantos_etal_2017_TableS1,,
MES+D+S,mesencephalon + diencephalon + striatum,MesencephalonDiencephalonStriatum,,,primary,Marsupials,DosSantos_etal_2017_TableS1,,
OB,olfactory bulb,OlfactoryBulb,,,primary,Marsupials,DosSantos_etal_2017_TableS1,,
P+M,pons + medulla,PonsMedulla,,,primary,Marsupials,DosSantos_etal_2017_TableS1,,
RoB,"rest of brain (the sum of diencephalon+striatum, mesencephalon, and pons+medulla)",RoB,,,primary,Marsupials,DosSantos_etal_2017_TableS1,,
M,mass of the structure,,Mass.g,,primary,Marsupials,DosSantos_etal_2017_TableS1,,
N,number of neurons,,N.n,,primary,Marsupials,DosSantos_etal_2017_TableS1,,
DN,neuronal density (in neurons/mg),,N.p.mg,,primary,Marsupials,DosSantos_etal_2017_TableS1,,
O/N,ratio between numbers of other (non-neuronal) cells and neurons. ,,O.p.N,,primary,Marsupials,DosSantos_etal_2017_TableS1,,
