Species,Structure,Measure,published,unpublished,pct_diff,flag
Dendrohyrax dorsalis,Br,C,918138000,NA,NA,NA
Dendrohyrax dorsalis,Br,I,27176885,NA,NA,NA
Dendrohyrax dorsalis,Br,I/mg,10129,NA,NA,NA
Dendrohyrax dorsalis,Br,I/N,0.052,NA,NA,NA
Dendrohyrax dorsalis,Br,N,504551401,NA,NA,NA
Dendrohyrax dorsalis,Br,N/mg,39412,NA,NA,NA
Dendrohyrax dorsalis,Br,No. of samples,7,NA,NA,NA
Dendrohyrax dorsalis,Br,Structure mass (g),12.802,NA,NA,NA
Dendrohyrax dorsalis,Cb,C,438500000,NA,NA,NA
Dendrohyrax dorsalis,Cb,I,2367900,NA,NA,NA
Dendrohyrax dorsalis,Cb,I/mg,1235,NA,NA,NA
Dendrohyrax dorsalis,Cb,I/N,0.007,NA,NA,NA
Dendrohyrax dorsalis,Cb,N,360929350,NA,NA,NA
Dendrohyrax dorsalis,Cb,N/mg,188180,NA,NA,NA
Dendrohyrax dorsalis,Cb,No. of samples,1,NA,NA,NA
Dendrohyrax dorsalis,Cb,Structure mass (g),1.918,NA,NA,NA
Dendrohyrax dorsalis,Ctx,C,257310000,NA,NA,NA
Dendrohyrax dorsalis,Ctx,I,12325149,NA,NA,NA
Dendrohyrax dorsalis,Ctx,I/mg,1805,NA,NA,NA
Dendrohyrax dorsalis,Ctx,I/N,0.136,NA,NA,NA
Dendrohyrax dorsalis,Ctx,N,90644478,NA,NA,NA
Dendrohyrax dorsalis,Ctx,N/mg,13272,NA,NA,NA
Dendrohyrax dorsalis,Ctx,No. of samples,2,NA,NA,NA
Dendrohyrax dorsalis,Ctx,Structure mass (g),6.83,NA,NA,NA
Dendrohyrax dorsalis,Cx,C,282500000,NA,NA,NA
Dendrohyrax dorsalis,Cx,I,13842895,NA,NA,NA
Dendrohyrax dorsalis,Cx,I/mg,1832,NA,NA,NA
Dendrohyrax dorsalis,Cx,I/N,0.14,NA,NA,NA
Dendrohyrax dorsalis,Cx,N,98960000,NA,NA,NA
Dendrohyrax dorsalis,Cx,N/mg,13098,NA,NA,NA
Dendrohyrax dorsalis,Cx,No. of samples,3,NA,NA,NA
Dendrohyrax dorsalis,Cx,Structure mass (g),7.556,NA,NA,NA
Dendrohyrax dorsalis,Hp,C,25190000,NA,NA,NA
Dendrohyrax dorsalis,Hp,I,1516438,NA,NA,NA
