sp2,Structure,external_source,Measure,external,DS2020_published,DS2020_unpublished,pub_vs_ext_pct,unpub_vs_ext_pct,verdict
Procavia capensis,Cb,HH2015,N,488373000,4883703000,NA,900,NA,
Loxodonta africana,Ctx,HH2015,C,61292239720,157990215478,NA,157.8,NA,
Tragelaphus strepsiceros,Br,HH2015,C,21888835129,21751929,NA,-99.9,NA,
Homo sapiens,Ctx,HH2015,N,16340000000,9513780748,NA,-41.8,NA,
Elephantulus myurus,Ctx,HH2015,N,25865000,16422814,NA,-36.5,NA,
Elephantulus myurus,Ctx,HH2015,C,52094000,34554000,NA,-33.7,NA,
Homo sapiens,Ctx,HH2015,C,77180000000,58732501216,NA,-23.9,NA,
Metachirus nudicaudatus,Ctx,DosSantos2017,N,20190000,15999288,NA,-20.8,NA,
Petrodromus tetradactylus,Ctx,HH2015,C,74433000,60480000,NA,-18.7,NA,
Petrodromus tetradactylus,Ctx,HH2015,N,33947000,27651699,NA,-18.5,NA,
Didelphis aurita,Ctx,DosSantos2017,C,163497500,133775000,NA,-18.2,NA,
Sarcophilus harrisii,Ctx,DosSantos2017,N,71660000,59013547,NA,-17.6,NA,
Didelphis aurita,Ctx,DosSantos2017,N,42500000,35269454,NA,-17,NA,
Sarcophilus harrisii,Ctx,DosSantos2017,C,437985920,367941000,NA,-16,NA,
Metachirus nudicaudatus,Ctx,DosSantos2017,C,84777810,72625000,NA,-14.3,NA,
Macropus parma,Ctx,DosSantos2017,C,869459820,750782500,NA,-13.6,NA,
Procavia capensis,Ctx,HH2015,N,197933000,171217186,NA,-13.5,NA,
Procavia capensis,Ctx,HH2015,C,564553000,488188000,NA,-13.5,NA,
Marmosops incanus,Ctx,DosSantos2017,N,20410000,17831330,NA,-12.6,NA,
Macropus rufogriseus,Cb,DosSantos2017,C,1314780000,1479625000,NA,12.5,NA,
Macropus fuliginosus,Ctx,DosSantos2017,N,370170000,325403477,NA,-12.1,NA,
Macropus rufogriseus,Ctx,DosSantos2017,C,1423845100,1259953750,NA,-11.5,NA,
Marmosops incanus,Ctx,DosSantos2017,C,57964400,51700000,NA,-10.8,NA,
Mustela putorius,Ctx,JardimMesseder2017,C,303010000,270508200,NA,-10.7,NA,
Macropus parma,Cb,DosSantos2017,C,807541760,721687500,NA,-10.6,NA,
Wallabia bicolor,Ctx,DosSantos2017,C,1239295050,1115954750,NA,-10,NA,
Dendrohyrax dorsalis,Ctx,HH2015,C,282500000,257310000,NA,-8.9,NA,
Dendrohyrax dorsalis,Ctx,HH2015,N,98960000,90644478,NA,-8.4,NA,
Macropus fuliginosus,Ctx,DosSantos2017,C,2740738680,2513387500,NA,-8.3,NA,
Mustela putorius,Ctx,JardimMesseder2017,N,38950000,35760238,NA,-8.2,NA,
Sus scrofa,Ctx,HH2015,C,3557333758,3300354380,NA,-7.2,NA,
Antidorcas marsupialis,Ctx,HH2015,C,4523155434,4216083590,NA,-6.8,NA,
Dendrolagus goodfellowi,Ctx,DosSantos2017,N,273430000,255280904,NA,-6.6,NA,
Dendrolagus goodfellowi,Ctx,DosSantos2017,C,1532028290,1431388750,NA,-6.6,NA,
Macropus parma,Ctx,DosSantos2017,N,135620000,127146723,NA,-6.2,NA,
Wallabia bicolor,Ctx,DosSantos2017,N,208110000,195142154,NA,-6.2,NA,
Elephantulus myurus,Br,HH2015,C,207785000,195628000,NA,-5.9,NA,
Sus scrofa,Ctx,HH2015,N,307082404,289142456,NA,-5.8,NA,
Antidorcas marsupialis,Ctx,HH2015,N,396896159,376412018,NA,-5.2,NA,
Tragelaphus strepsiceros,Ctx,HH2015,C,13064871626,12392809376,NA,-5.1,NA,
Felis catus,Ctx,JardimMesseder2017,C,1346930000,1282938750,NA,-4.8,NA,
Tragelaphus strepsiceros,Ctx,HH2015,N,762567178,726411196,NA,-4.7,NA,
Macropus rufogriseus,Ctx,DosSantos2017,N,256780000,246009570,NA,-4.2,NA,
Canis familiaris,Ctx,JardimMesseder2017,C,3944370000,3801711500,NA,-3.6,NA,
Elephantulus myurus,Br,HH2015,N,129190603,124766317,NA,-3.4,NA,
Giraffa camelopardalis,Ctx,HH2015,N,1730513460,1671925960,NA,-3.4,NA,
Ursus arctos,Ctx,JardimMesseder2017,N,250970000,242359888,NA,-3.4,NA,
Felis catus,Ctx,JardimMesseder2017,N,249830000,241786292,NA,-3.2,NA,
Giraffa camelopardalis,Ctx,HH2015,C,29244220000,28341393752,NA,-3.1,NA,
Panthera leo,Ctx,JardimMesseder2017,N,545240000,531700630,NA,-2.5,NA,
Ursus arctos,Ctx,JardimMesseder2017,C,10404970000,10147192500,NA,-2.5,NA,
Panthera leo,Ctx,JardimMesseder2017,C,7806210000,7615560250,NA,-2.4,NA,
Canis familiaris,Ctx,JardimMesseder2017,N,527910000,519305298,NA,-1.6,NA,
Wallabia bicolor,Cb,DosSantos2017,C,1551600000,1528750000,NA,-1.5,NA,
Sus scrofa,Br,HH2015,C,6919896258,6839205942,NA,-1.2,NA,
Macropus rufus,Cb,DosSantos2017,C,1955340000,1976624000,NA,1.1,NA,
Loxodonta africana,Br,HH2015,C,473101455749,477844127344,NA,1,NA,
Antidorcas marsupialis,Br,HH2015,C,8637379808,8557909526,NA,-0.9,NA,
Loxodonta africana,Ctx,HH2015,N,5593241033,5556610521,NA,-0.7,NA,
Loxodonta africana,Cb,HH2015,C,289215757500,287226757500,NA,-0.7,NA,
Metachirus nudicaudatus,Br,DosSantos2017,N,165590000,166594406,NA,0.6,NA,
Didelphis aurita,Br,DosSantos2017,C,646840000,643138750,NA,-0.6,NA,
Giraffa camelopardalis,Br,HH2015,C,48664220000,48442643752,NA,-0.5,NA,
Wallabia bicolor,Br,DosSantos2017,N,1440000000,1435919989,NA,-0.3,NA,
Wallabia bicolor,Br,DosSantos2017,C,3466080000,3455754750,NA,-0.3,NA,
Macropus rufogriseus,Cb,DosSantos2017,N,1020000000,1022568838,NA,0.3,NA,
Wallabia bicolor,Cb,DosSantos2017,N,1200000000,1195941125,NA,-0.3,NA,
Macropus rufus,Cb,DosSantos2017,N,1530000000,1532871912,NA,0.2,NA,
Dendrolagus goodfellowi,Cb,DosSantos2017,N,1240000000,1237018200,NA,-0.2,NA,
Dendrolagus goodfellowi,Cb,DosSantos2017,C,1548760000,1545500000,NA,-0.2,NA,
Mungos mungo,Hp,JardimMesseder2017,N,2660000,2664224,NA,0.2,NA,
Macropus rufogriseus,Br,DosSantos2017,N,1320000000,1321829777,NA,0.1,NA,
Macropus rufogriseus,Br,DosSantos2017,C,3470280000,3475391250,NA,0.1,NA,
Dendrolagus goodfellowi,Br,DosSantos2017,N,1550000000,1548311684,NA,-0.1,NA,
Dendrolagus goodfellowi,Br,DosSantos2017,C,3599100000,3595788750,NA,-0.1,NA,
Macropus fuliginosus,Br,DosSantos2017,N,2460000000,2457876490,NA,-0.1,NA,
Macropus fuliginosus,Br,DosSantos2017,C,6713340000,6708137500,NA,-0.1,NA,
Marmosops incanus,Hp,DosSantos2017,N,2580000,2582163,NA,0.1,NA,
Marmosops incanus,Hp,DosSantos2017,C,6269400,6275000,NA,0.1,NA,
Mustela putorius,Hp,JardimMesseder2017,N,3190000,3191834,NA,0.1,NA,
Petrodromus tetradactylus,Br,HH2015,N,156830795,156830795,NA,0,NA,
Petrodromus tetradactylus,Br,HH2015,C,260179795,260180000,NA,0,NA,
Dendrohyrax dorsalis,Br,HH2015,N,504572834,504551401,NA,-0,NA,
Dendrohyrax dorsalis,Br,HH2015,C,918146834,918138000,NA,-0,NA,
Procavia capensis,Br,HH2015,N,755653000,755653256,NA,0,NA,
Procavia capensis,Br,HH2015,C,1376275000,1376275000,NA,0,NA,
Sus scrofa,Br,HH2015,N,2224112553,2224112553,NA,0,NA,
Antidorcas marsupialis,Br,HH2015,N,2724595233,2724595233,NA,0,NA,
Tragelaphus strepsiceros,Br,HH2015,N,4911651549,4911651549,NA,0,NA,
Giraffa camelopardalis,Br,HH2015,N,10751287650,10751287650,NA,0,NA,
Loxodonta africana,Br,HH2015,N,257043473412,257043473412,NA,0,NA,
Elephantulus myurus,Cb,HH2015,N,89312372,89312372,NA,0,NA,
Elephantulus myurus,Cb,HH2015,C,112681000,112681000,NA,0,NA,
Petrodromus tetradactylus,Cb,HH2015,N,110653150,110653150,NA,0,NA,
Petrodromus tetradactylus,Cb,HH2015,C,145311001,145311000,NA,-0,NA,
Dendrohyrax dorsalis,Cb,HH2015,N,360929350,360929350,NA,0,NA,
Dendrohyrax dorsalis,Cb,HH2015,C,438500000,438500000,NA,0,NA,
Procavia capensis,Cb,HH2015,C,579378000,579378000,NA,0,NA,
Sus scrofa,Cb,HH2015,N,1858320313,1858320313,NA,0,NA,
Sus scrofa,Cb,HH2015,C,2207031251,2207031250,NA,-0,NA,
Antidorcas marsupialis,Cb,HH2015,N,2257214074,2257214074,NA,0,NA,
Antidorcas marsupialis,Cb,HH2015,C,2724458750,2724458750,NA,0,NA,
Tragelaphus strepsiceros,Cb,HH2015,N,4042494141,4042494141,NA,0,NA,
Tragelaphus strepsiceros,Cb,HH2015,C,5308593750,5308593750,NA,0,NA,
Giraffa camelopardalis,Cb,HH2015,N,8878076563,8878076563,NA,0,NA,
Giraffa camelopardalis,Cb,HH2015,C,14398437501,14398437500,NA,-0,NA,
Loxodonta africana,Cb,HH2015,N,250708527536,250708527536,NA,0,NA,
Marmosops incanus,Br,DosSantos2017,N,112050000,112051333,NA,0,NA,
Marmosops incanus,Br,DosSantos2017,C,200345400,200300000,NA,-0,NA,
Metachirus nudicaudatus,Br,DosSantos2017,C,317270440,317343750,NA,0,NA,
