"Species name","Structure","Structure mass (g)","C","N","I","N/mg","I/mg","I/N","No. of samples"
"Dendrohyrax dorsalis","Cx","7.556","282 500 000","98 960 000","13 842 895","13 098","1832","0.140","3"
"Dendrohyrax dorsalis","Cb","1.918","438 500 000","360 929 350","2367 900","188 180","1235","0.007","1"
"Dendrohyrax dorsalis","RoB","3.328","197 138 000","44 671 471","10 982 209","13 423","3299","0.246","3"
"Dendrohyrax dorsalis","Ctx","6.830","257 310 000","90 644 478","12 325 149","13 272","1805","0.136","2"
"Dendrohyrax dorsalis","Hp","0.726","25 190 000","8312 700","1516 438","11 450","2089","0.182","1"
"Dendrohyrax dorsalis","Br","12.802","918 138 000","504 551 401","27 176 885","39 412","10 129","0.052","7"
"Elephantulus myurus","Cx*","0.450","46 970 000","21 847 255","1052 128","48 549","2338","0.048","3"
"Elephantulus myurus","Cb","0.168","112 681 000","89 312 372","822 571","531 494","4896","0.009","2"
"Elephantulus myurus","RoB","0.401","43 010 000","14 012 533","1324 708","34 520","3295","0.095","2"
"Elephantulus myurus","Ctx","0.356","34 554 000","16 422 814","580 507","46 132","1631","0.035","2"
"Elephantulus myurus","Hp*","0.086","12 080 000","5159 368","353 944","59 993","4116","0.069","1"
"Elephantulus myurus","Br*","0.958","195 628 000","124 766 317","2699 666","130 236","2818","0.022","7"
"Loxodonta africana","Cx","2847.954","160 509 115 478","5593 241 033","11 667 281 742","1964","4192","2.086","264"
"Loxodonta africana","Cb","1171.63","287 226 757 500","250 708 527 536","7025 615 044","213 983","5982","0.028","80"
"Loxodonta africana","RoB","564.674","28 148 254 366","741 704 844","1947 975 176","1314","3450","2.626","44"
"Loxodonta africana","Ctx","2823.530","157 990 215 478","5556 610 521","11 462 555 196","1968","4149","2.063","263"
"Loxodonta africana","Hp","24.426","1763 900 000","36 630 512","199 354 517","1500","8175","5.442","1"
"Loxodonta africana","Br","4168.620","477 844 127 344","257 043 473 412","20 919 937 679","56 071","4562","0.081","388"
"Petrodromus tetradactylus","Cx","1.239","74 433 000","33 947 000","3908 787","27 236","3019","0.115","4"
"Petrodromus tetradactylus","Cb","0.304","145 311 000","110 653 150","1278 737","362 537","4206","0.012","2"
"Petrodromus tetradactylus","RoB","0.894","40 436 000","12 231 811","1217 665","13 696","1845","0.100","2"
"Petrodromus tetradactylus","Ctx","0.968","60 480 000","27 651 699","2921 184","28 566","3018","0.106","2"
"Petrodromus tetradactylus","Hp","0.272","13 953 000","6294 000","1067 062","23 164","3032","0.170","2"
"Petrodromus tetradactylus","Br","2.440","260 180 000","156 830 795","6564 788","64 104","2743","0.042","8"
"Procavia capensis","Cx","10.478","564 554 000","197 933 000","38 108 306","19 134","3637","0.193","6"
"Procavia capensis","Cb","2.058","579 378 000","488 3703 000","7806 491","242 415","3801","0.016","2"
"Procavia capensis","RoB","4.317","232 343 000","69 358 240","11 199 666","16 436","2594","0.161","4"
