Infraclass,Order,Suborder ,Parvorder,Family,Scientific name,ILA Pial Dorsal,ILA Pial Ventral,ILA Subpial Dorsal,ILA Subpial Ventral
Metatheria,Diprotodontia,Macropodidae,,,Macropus parma,No,rudimetary,No,No
Metatheria,Diprotodontia,Macropodidae,,,Macropus rufus,No,rudimetary,No,No
Metatheria,Didelphi-morphia,Didelphidae,,,Monodelphis domestica,No,rudimetary,No,No
Eutheria,Xenarthra,,,Megalonychidae,Choloepus didactylus,rudimetary,Yes,rudimetary,rudimetary
Eutheria,Xenarthra,,,Myrmecophagidae,Myrmecophaga tridactyla,rudimetary,-,No,-
Eutheria,Hyracoidea,,,Procaviidae,Procavia capensis,Yes,Yes,rudimetary,rudimetary
Eutheria,Proboscidea,,,Elephantidae,Loxodonta africana,Yes,Yes,No,rudimetary
Eutheria,Rodentia,Myomorpha,,Muridae,Mus musculus,rudimetary,rudimetary,No,rudimetary
Eutheria,Rodentia,Myomorpha,,Muridae,Rattus norvegicus,rudimetary,rudimetary,No,rudimetary
Eutheria,Rodentia,Muroidea,,Cricetidae,Microtus orchogaster,rudimetary,rudimetary,No,No
Eutheria,Scandentia,Muroidea,,Tupaiidae,Tupaia belangeri,rudimetary,Yes,rudimetary,rudimetary
Eutheria,Primates,Strepsirrhini,,Cheirogaleidae,Cheirogaleus medius,Yes,Yes,rudimetary,rudimetary
Eutheria,Primates,Strepsirrhini,,Lorisidae,Perodicticus potto,Yes,Yes,rudimetary,rudimetary
Eutheria,Primates,Strepsirrhini,,Lemuridae,Lemur catta,Yes,Yes,rudimetary,rudimetary
Eutheria,Primates,Tarsiiformes,,Tarsiidae,Tarsius bancanus,Yes,Yes,rudimetary,rudimetary
Eutheria,Primates,Haplorhini,Platyrrhini,Atelidae,Alouatta caraya,Yes,Yes,Yes,Yes
Eutheria,Primates,Haplorhini,Platyrrhini,Pitheciidae,Pithecia pithecia,Yes,Yes,rudimetary,Yes
Eutheria,Primates,Haplorhini,Platyrrhini,Callitrichidae,Cebuella pygmaea,Yes,Yes,rudimetary,rudimetary
Eutheria,Primates,Haplorhini,Platyrrhini,Callitrichidae,Saguinus imperator,Yes,Yes,rudimetary,rudimetary
Eutheria,Primates,Haplorhini,Catarhini,Cercopithecidae,Cercocebus agilis,Yes,-,Yes,-
Eutheria,Primates,Haplorhini,Catarhini,Cercopithecidae,Cercopithecus kandti,Yes,Yes,rudimetary,Yes
Eutheria,Primates,Haplorhini,Catarhini,Cercopithecidae,Erythrocebus patas,Yes,Yes,rudimetary,Yes
Eutheria,Primates,Haplorhini,Catarhini,Cercopithecidae,Mandrillus sphynx,Yes,Yes,Yes,Yes
Eutheria,Primates,Haplorhini,Catarhini,Cercopithecidae,Macaca fascicularis,Yes,Yes,rudimetary,Yes
Eutheria,Primates,Haplorhini,Catarhini,Cercopithecidae,Macaca mulatta,Yes,Yes,rudimetary,Yes
Eutheria,Primates,Haplorhini,Catarhini,Cercopithecidae,Chlorocebus pygerythrus,Yes,Yes,rudimetary,Yes
Eutheria,Primates,Haplorhini,Catarhini,Cercopithecidae,Papio ursinus,Yes,Yes,Yes,Yes
Eutheria,Primates,Haplorhini,Catarhini,Hominidae,Gorilla gorilla,Yes,Yes,Yes,Yes
Eutheria,Primates,Haplorhini,Catarhini,Hominidae,Hylobates muelleri,Yes,Yes,Yes,Yes
Eutheria,Primates,Haplorhini,Catarhini,Hominidae,Pan paniscus,Yes,Yes,Yes,Yes
Eutheria,Primates,Haplorhini,Catarhini,Hominidae,Pan troglodytes,Yes,Yes,Yes,Yes
Eutheria,Primates,Haplorhini,Catarhini,Hominidae,Pongo pygmaeus,Yes,Yes,Yes,Yes
Eutheria,Primates,Haplorhini,Catarhini,Hominidae,Homo sapiens,Yes,-,Yes,-
Eutheria,Chiroptera,Microchiroptera,,Phyllostomidae,Carollia perspicillata,rudimetary,Yes,No,rudimetary
Eutheria,Chiroptera,Microchiroptera,,Phyllostomidae,Glossophaga soricina,rudimetary,Yes,No,rudimetary
Eutheria,Chiroptera,Megachiroptera,,Pteropodidae,Epomops franqueti,rudimetary,Yes,No,rudimetary
Eutheria,Chiroptera,Megachiroptera,,Pteropodidae,Megaloglossus woermanni,rudimetary,Yes,No,No
Eutheria,Chiroptera,Megachiroptera,,Pteropodidae,Rousettus aegyptiacus,rudimetary,Yes,No,rudimetary
Eutheria,Eulipotyphla,,,Erinaceidae,Atelerix frontalis,No,rudimetary,No,No
Eutheria,Carnivora,Feliformia,,Felidae,Felis catus,rudimetary,Yes,rudimetary,rudimetary
Eutheria,Carnivora,Feliformia,,Felidae,Panthera tigris,rudimetary,Yes,No,rudimetary
Eutheria,Carnivora,Musteloidea,,Mustelidae,Mustela putorius,rudimetary,Yes,rudimetary,rudimetary
Eutheria,Carnivora,Caniformia,,Ailuridae,Ailurus fulgens,rudimetary,Yes,No,rudimetary
Eutheria,Artiodactyla,Ruminantia,,Bovidae,Ovis aries,rudimetary,-,No,-
Eutheria,Artiodactyla,Whippomorpha,,Hippopotamidae,Hippopotamus amphibius,No,rudimetary,No,rudimetary
Eutheria,Artiodactyla,Cetacea,,Balaenopteridae,Balaenoptera acutorostrata,rudimetary,Yes,No,No
Eutheria,Artiodactyla,Cetacea,,Phocoenidae,Phocoena phocoena,rudimetary,Yes,No,rudimetary
