Species,Body_weight_current,Body_weight_current_source,Species_Frahm1994,Body_weight_1994,CA1,CA2,CA3,Fascia_dentata,Hilus,Hippocampus_1994,Hippocampus_retrocommissuralis,HP_HS_fibers,Subiculum
AAAA_Anatomy_code,,,,,,,,,,,Hippocampus_retrocomm.,,
AAAA_Reference,ALL,ALL,Frahm_1994,Frahm_1994,Frahm_1994,Frahm_1994,Frahm_1994,Frahm_1994,Frahm_1994,Frahm_1994,Frahm_1994,Frahm_1994,Frahm_1994
Alouatta caraya,6420,Bauernfeind_2013,,,,,,,,,,,
Alouatta seniculus,"6,400",Stephan_1981,Alouatta seniculus,6400,362.93,56.59,236.05,163.64,67.88,1319.79,1004.76,315.03,117.67
Aotus trivirgatus,830,Stephan_1981,Aotus trivirgatus,830,150.16,20.83,97.14,76.23,33.52,538.8,405.31,133.49,27.43
Atelerix algirus,790,Stephan_1981,,,,,,,,,,,
Ateles geoffroyi,"8,000",Stephan_1981,Ateles geoffroyi,8000,388.3,51.79,263.35,150.28,69.29,1366.01,995.64,370.37,72.63
Avahi laniger,"1,285",Stephan_1981,Avahi laniger laniger,1285,178.89,15.29,112.49,78.82,24.93,526.25,458.55,67.7,48.13
Avahi occidentalis,860,Stephan_1981,Avahi l. occidentalis,860,175.41,9.13,90.39,72.03,30.86,475.58,419.43,56.15,41.61
Blarina brevicauda,,,,,,,,,,,,,
Callicebus moloch,900,Stephan_1981,Callicebus moloch,900,174.88,22.9,129.11,79.44,37.33,588.29,486.37,101.92,42.71
Callimico goeldii,480,Stephan_1981,Callimico goeldi,480,83.53,7.84,60.81,49.73,12.08,280.9,231.56,49.34,17.57
Callithrix jacchus,280,Stephan_1981,Callithrix jacchus,280,73.07,7.49,42.82,33.34,12.29,221.12,180.49,40.63,11.48
Callithrix pygmaea,140,Stephan_1981,Cebuella pygmaea,120,38.83,4.11,26.95,17.67,4.49,122.34,99.5,22.84,7.45
Cebus albifrons,"3,100",Stephan_1981,Cebus albifrons,3100,210.19,30.29,146.01,110.34,35.87,890.4,576.55,313.85,43.85
Cercocebus agilis,5660,Bauernfeind_2013,,,,,,,,,,,
Cercopithecus ascanius,"3,400",Stephan_1981,Cercopithecus ascanius,3400,362.05,23.02,240.6,150.46,85.7,1189,939.4,249.6,77.57
Cercopithecus mitis,"6,300",Stephan_1981,Cercopithecus mitis,6300,378.84,30.44,288.47,125.58,86.05,1366.39,986.86,379.53,77.48
Cheirogaleus major,450,Stephan_1981,Cheirogaleus major,450,107.42,8.32,92.66,61.26,13.22,347.35,301.78,45.57,18.9
Cheirogaleus medius,177,Stephan_1981,Cheirogaleus medius,177,54.4,4.72,44.89,30.44,6.19,174.36,150.61,23.75,9.97
Chrysochloris asiatica,49,Stephan_1981,,,,,,,,,,,
Chrysochloris stuhlmanni,40,Stephan_1981,,,,,,,,,,,
Colobus angolensis,9680,Bauernfeind_2013,,,,,,,,,,,
Crocidura flavescens,28,Stephan_1981,,,,,,,,,,,
Crocidura hildegardeae,,,,,,,,,,,,,
Crocidura jacksoni,,,,,,,,,,,,,
Crocidura russula,11,Stephan_1981,,,,,,,,,,,
Daubentonia madagascariensis,2800,Stephan_1981,Daubentonia madagascariensis,2800,577.11,35.54,316.55,324.55,94.14,1776.1,1447.9,328.2,100.01
Desmana moschata,440,Stephan_1981,,,,,,,,,,,
Echinops telfairi,87.5,Stephan_1981,Echinops telfairi,87.5,12.21,3.11,13.67,8.72,2.3,46.66,42.01,4.65,2
Echinosorex gymnura,,,,,,,,,,,,,
Elephantulus fuscipes,57,Stephan_1981,,,,,,,,,,,
Erinaceus europaeus,860,Stephan_1981,,,,,,,,,,,
Erythrocebus patas,7800,Stephan_1981,Erythrocebus patas,7800,345.54,39.46,327.74,195.13,101.09,1590.53,1085.61,504.92,76.65
Eulemur fulvus,1400,Stephan_1981,Lemur albifrons,1400,258.65,19.52,171.72,106.06,37.46,752.1,655.64,96.46,62.23
Galago senegalensis,186,Stephan_1981,Galago senegalensis,186,99.58,5.96,52.43,50.72,13.48,260.78,245.31,15.47,23.14
Galagoides demidoff,81,Stephan_1981,Galagoides demidoff,81,53.7,3.08,28.64,24.66,7,152.24,130.48,21.76,13.4
Galemys pyrenaicus,57.5,Stephan_1981,,,,,,,,,,,
Gorilla sp.,103517.5,Bauernfeind_2013,Gorilla gorilla,105000,1405.57,130.65,951.51,415.98,210.02,4780.48,3305.43,1475.05,191.7
Hemicentetes semispinosus,110,Stephan_1981,Hemicentetes semispinosus,116,12.1,2.81,19.03,14.16,3.32,63.11,52.76,10.35,1.34
Hemiechinus auritus,250,Stephan_1981,,,,,,,,,,,
