"Species","n","total_neocortex_mm3","white_matter_mm3","white_pct_neocortex","grey_matter_mm3","lamina_1_mm3","lamina_1_pct_grey","laminae_2_6_mm3"
"Tenrec ecaudatus",1,270.9,35.51,13.1,235.4,72.81,30.9,162.5
"Setifer setosus",1,134.1,17.4,13,116.7,37.48,32.1,79.23
"Hemicentetes semispinosus",1,73.43,5.865,8,67.57,22.94,33.9,44.63
"Echinops telfairi",1,51.46,5.224,10.2,46.23,15.25,33,30.98
"Erinaceus algirus",1,500.3,63.6,12.7,436.7,117,26.8,319.7
"Erinaceus europaeus",1,522.5,68.35,13.1,454.1,129.1,28.4,325
"Hemiechinus auritus",1,309.5,30.8,10,278.7,75.03,26.9,203.7
"Crocidura flavescens",1,59.11,4.99,8.4,54.12,16.15,29.8,37.97
"Crocidura russula",1,25.46,1.487,5.8,23.98,6.872,28.7,17.1
"Suncus murinus",1,54.13,3.54,6.5,50.59,14.07,27.8,36.51
"Sorex araneus",1,26.36,1.536,5.8,24.82,5.189,20.9,19.63
"Sorex minutus",1,12.65,0.844,6.7,11.81,2.436,20.6,9.371
"Neomys fodiens",1,56.56,6.371,11.3,50.19,9.67,19.3,40.52
"Tupaia glis",2,1036,94.83,9.2,941.4,126.8,13.5,814.6
"Urogale everetti",1,1338,199.2,14.9,1139,157.2,13.8,981.6
"Microcebus murinus",4,739.5,65.31,8.8,674.2,94.97,14.1,579.3
"Lemur albifrons",1,12207,3035,24.9,9172,1298,14.2,7874
"Lepilemur ruficaudatus",1,3282,476.6,14.5,2805,488.6,17.4,2317
"Avahi laniger occidentalis",1,4443,777,17.5,3666,582.7,15.9,3083
"Propithecus verreauxi",2,13170,3335,25.3,9835,1428,14.5,8407
"Indri indri",1,20114,4223,21,15891,2702,17,13189
"Daubentonia madagascar.",1,22127,5053,22.8,17074,2738,16,14336
"Nycticebus coucang",1,6192,1240,20,4952,712.7,14.4,4240
"Galagoides demidoff",1,1568,150.6,9.6,1417,202.2,14.3,1215
"Tarsius sp.",1,1768,137,7.7,1631,236.3,14.5,1395
"Callithrix jacchus",1,4371,807.1,18.5,3564,441.8,12.4,3122
"Cebuella pygmaea",1,2534,395.3,15.6,2139,223.7,10.5,1915
"Cebus sp.",1,46429,15799,34,30630,3607,11.8,27023
"Aotus trivirgatus",1,9950,2174,21.8,7776,1039,13.4,6737
"Saimiri sciureus",1,15541,3710,23.9,11832,1275,10.8,10557
"Alouatta sp.",1,31660,9869,31.2,21791,2918,13.4,18874
"Lagothrix lagothricha",1,65873,16727,25.4,49147,7664,15.6,41483
"Papio anubis",1,140142,54416,38.8,85726,10642,12.4,75084
"Cercopithecus ascanius",1,45166,13052,28.9,32114,4009,12.5,28104
"Colobus badius",1,50906,14331,28.2,36575,5130,14,31444
"Hylobates lar",1,65800,19154,29.1,46646,6279,13.5,40367
"Pan troglodytes",1,291592,118996,40.8,172597,21960,12.7,150637
"Homo sapiens",1,1006525,421819,41.9,584706,75316,12.9,509391
