status,species_key,species_snapshot,species_csv,n_measure_mismatch,total_neocortex_snap,white_matter_snap,grey_matter_snap,lamina_1_snap,laminae_2_6_snap,n_snap,total_neocortex_csv,white_matter_csv,grey_matter_csv,lamina_1_csv,laminae_2_6_csv,n_csv,total_neocortex_match,white_matter_match,grey_matter_match,lamina_1_match,laminae_2_6_match,n_match
csv_only_not_in_snapshot,alouatta seniculus,NA,Alouatta sp.,6,NA,NA,NA,NA,NA,NA,31660,9869,21791,2918,18874,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,atelerix algirus,NA,Erinaceus algirus,6,NA,NA,NA,NA,NA,NA,500.3,63.6,436.7,117,319.7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,avahi occidentalis,NA,Avahi laniger occidentalis,6,NA,NA,NA,NA,NA,NA,4443,777,3666,582.7,3083,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,callithrix pygmaea,NA,Cebuella pygmaea,6,NA,NA,NA,NA,NA,NA,2534,395.3,2139,223.7,1915,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,cebus albifrons,NA,Cebus sp.,6,NA,NA,NA,NA,NA,NA,46429,15799,30630,3607,27023,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,daubentonia madagascariensis,NA,Daubentonia madagascar.,6,NA,NA,NA,NA,NA,NA,22127,5053,17074,2738,14336,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,eulemur fulvus,NA,Lemur albifrons,6,NA,NA,NA,NA,NA,NA,12207,3035,9172,1298,7874,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,microceblls murinus,NA,Microceblls murinus,6,NA,NA,NA,NA,NA,NA,739.5,65.31,674.2,94.97,579.3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,piliocolobus badius,NA,Colobus badius,6,NA,NA,NA,NA,NA,NA,50906,14331,36575,5130,31444,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,pongo sp,NA,Pongo sp.,3,NA,NA,NA,NA,NA,NA,219800,81500,138300,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
