status,species_snapshot,species_csv,n_measure_mismatch,species_key,total_neocortex_snap,white_matter_snap,grey_matter_snap,lamina_1_snap,laminae_2_6_snap,n_snap,.cid,total_neocortex_csv,white_matter_csv,grey_matter_csv,lamina_1_csv,laminae_2_6_csv,n_csv,total_neocortex_match,white_matter_match,grey_matter_match,lamina_1_match,laminae_2_6_match,n_match
matched_by_species,Alouatta sp.,Alouatta sp.,0,alouatta sp,31660,9869,21791,2918,18874,1,1,31660,9869,21791,2918,18874,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Aotus trivirgatus,Aotus trivirgatus,0,aotus trivirgatus,9950,2174,7776,1039,6737,1,2,9950,2174,7776,1039,6737,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Avahi laniger occidentalis,Avahi laniger occidentalis,0,avahi laniger occidentalis,4443,777,3666,582.7,3083,1,4,4443,777,3666,582.7,3083,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Callithrix jacchus,Callithrix jacchus,0,callithrix jacchus,4371,807.1,3564,441.8,3122,1,5,4371,807.1,3564,441.8,3122,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Cebuella pygmaea,Cebuella pygmaea,0,cebuella pygmaea,2534,395.3,2139,223.7,1915,1,6,2534,395.3,2139,223.7,1915,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Cebus sp.,Cebus sp.,0,cebus sp,46429,15799,30630,3607,27023,1,7,46429,15799,30630,3607,27023,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Cercopithecus ascanius,Cercopithecus ascanius,0,cercopithecus ascanius,45166,13052,32114,4009,28104,1,8,45166,13052,32114,4009,28104,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Colobus badius,Colobus badius,0,colobus badius,50906,14331,36575,5130,31444,1,28,50906,14331,36575,5130,31444,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Crocidura flavescens,Crocidura flavescens,0,crocidura flavescens,59.11,4.99,54.120000000000005,16.150000000000002,37.97,1,9,59.11,4.99,54.120000000000005,16.150000000000002,37.97,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Crocidura russula,Crocidura russula,0,crocidura russula,25.459999999999997,1.4869999999999999,23.979999999999997,6.872,17.1,1,10,25.459999999999997,1.4869999999999999,23.979999999999997,6.872,17.1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Daubentonia madagascar.,Daubentonia madagascar.,0,daubentonia madagascar,22127,5053,17074,2738,14336,1,11,22127,5053,17074,2738,14336,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Echinops telfairi,Echinops telfairi,0,echinops telfairi,51.46,5.223999999999999,46.230000000000004,15.25,30.979999999999997,1,12,51.46,5.223999999999999,46.230000000000004,15.25,30.979999999999997,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Erinaceus algirus,Erinaceus algirus,0,erinaceus algirus,500.3,63.6,436.7,117,319.7,1,3,500.3,63.6,436.7,117,319.7,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Erinaceus europaeus,Erinaceus europaeus,0,erinaceus europaeus,522.5,68.35,454.1,129.1,325,1,13,522.5,68.35,454.1,129.1,325,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Galagoides demidoff,Galagoides demidoff,0,galagoides demidoff,1568,150.6,1417,202.2,1215,1,15,1568,150.6,1417,202.2,1215,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Hemicentetes semispinosus,Hemicentetes semispinosus,0,hemicentetes semispinosus,73.43000000000002,5.864999999999999,67.57,22.939999999999998,44.63,1,16,73.43,5.864999999999999,67.57,22.939999999999998,44.63,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Hemiechinus auritus,Hemiechinus auritus,0,hemiechinus auritus,309.5,30.8,278.7,75.03,203.7,1,17,309.5,30.8,278.7,75.03,203.7,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Homo sapiens,Homo sapiens,0,homo sapiens,1006525,421819,584706,75316,509391,1,18,1006525,421819,584706,75316,509391,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Hylobates lar,Hylobates lar,0,hylobates lar,65800,19154,46646,6279,40367,1,19,65800,19154,46646,6279,40367,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Indri indri,Indri indri,0,indri indri,20114,4223,15891,2702,13189,1,20,20114,4223,15891,2702,13189,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Lagothrix lagothricha,Lagothrix lagothricha,0,lagothrix lagothricha,65873,16727,49147,7664,41483,1,21,65873,16727,49147,7664,41483,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Lemur albifrons,Lemur albifrons,0,lemur albifrons,12207,3035,9172,1298,7874,1,14,12207,3035,9172,1298,7874,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Lepilemur ruficaudatus,Lepilemur ruficaudatus,0,lepilemur ruficaudatus,3282,476.6,2805,488.6,2317,1,22,3282,476.6,2805,488.6,2317,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Microcebus murinus,Microceblls murinus,0,microcebus murinus,739.5,65.31,674.2,94.97,579.3,4,23,739.5,65.31,674.2,94.97,579.3,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Neomys fodiens,Neomys fodiens,0,neomys fodiens,56.56,6.371,50.190000000000005,9.67,40.52,1,24,56.56,6.371,50.190000000000005,9.67,40.52,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Nycticebus coucang,Nycticebus coucang,0,nycticebus coucang,6192,1240,4952,712.7,4240,1,25,6192,1240,4952,712.7,4240,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Pan troglodytes,Pan troglodytes,0,pan troglodytes,291592,118996,172597,21960,150637,1,26,291592,118996,172597,21960,150637,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Papio anubis,Papio anubis,0,papio anubis,140142,54416,85726,10642,75084,1,27,140142,54416,85726,10642,75084,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,NA,Pongo sp.,3,NA,NA,NA,NA,NA,NA,NA,29,219800,81500,138300,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
matched_by_species,Propithecus verreauxi,Propithecus verreauxi,0,propithecus verreauxi,13170,3335,9835,1428,8407,2,30,13170,3335,9835,1428,8407,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Saimiri sciureus,Saimiri sciureus,0,saimiri sciureus,15541,3710,11832,1275,10557,1,31,15541,3710,11832,1275,10557,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Setifer setosus,Setifer setosus,0,setifer setosus,134.1,17.4,116.7,37.48,79.23,1,32,134.1,17.4,116.7,37.48,79.23,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Sorex araneus,Sorex araneus,0,sorex araneus,26.36,1.536,24.82,5.189,19.630000000000003,1,33,26.36,1.536,24.82,5.189,19.630000000000003,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Sorex minutus,Sorex minutus,0,sorex minutus,12.65,0.8440000000000001,11.81,2.4359999999999995,9.371,1,34,12.65,0.8440000000000001,11.81,2.4359999999999995,9.371,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Suncus murinus,Suncus murinus,0,suncus murinus,54.13,3.54,50.59,14.07,36.51,1,35,54.13,3.54,50.59,14.07,36.51,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Tarsius sp.,Tarsius sp.,0,tarsius sp,1768,137,1631,236.3,1395,1,36,1768,137,1631,236.3,1395,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Tenrec ecaudatus,Tenrec ecaudatus,0,tenrec ecaudatus,270.9,35.51,235.4,72.81,162.5,1,37,270.9,35.51,235.4,72.81,162.5,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Tupaia glis,Tupaia glis,0,tupaia glis,1036,94.83,941.4,126.8,814.6,2,38,1036,94.83,941.4,126.8,814.6,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,Urogale everetti,Urogale everetti,0,urogale everetti,1338,199.2,1139,157.2,981.6,1,39,1338,199.2,1139,157.2,981.6,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
