Species_Frahm_1984,n,Area_striata_mm3,Area_striata_grey_matter_mm3,Area_striata_lamina_1_mm3,Area_striata_laminae_2_6_mm3,Area_striata_white_matter_mm3
Alouatta sp.,1,2461.0,1918.0,220.0,1698.0,543.0
Aotus trivirgatus,2,1203.0,996.0,113.0,883.0,207.0
Ateles geoffroyi,1,4738.0,3753.0,,,985.0
Avahi l. laniger,1,542.0,475.0,,,66.5
Avahi laniger occidentalis,2,527.0,450.0,64.6,385.0,77.2
Callicebus moloch,1,1524.0,1201.0,,,324.0
Callithrix jacchus,2,685.0,566.0,57.8,508.0,119.0
Cebuella pygmaea,1,415.0,363.0,29.7,334.0,51.4
Cebus sp.,2,4703.0,3764.0,365.0,3399.0,939.0
Cercopithecus ascanius,1,5106.0,4272.0,416.0,3855.0,834.0
Cercopithecus mitis,1,5275.0,4232.0,,,1042.0
Cheirogaleus major,2,477.0,433.0,,,44.8
Cheirogaleus medius,2,216.0,199.0,,,17.6
Daubentonia madagascar.,1,1355.0,1113.0,189.0,923.0,242.0
Lemur albifrons,2,1519.0,1253.0,138.0,1114.0,267.0
Galago senegalensis,1,334.0,301.0,,,32.6
Galagoides demidoff,2,237.0,214.0,25.6,189.0,22.4
Gorilla gorilla,1,15185.0,12062.0,,,3123.0
Homo sapiens,1,20226.0,14787.0,1704.0,13083.0,5439.0
Hylobates lar,1,5750.0,4574.0,562.0,4012.0,1176.0
Indri indri,2,1961.0,1648.0,279.0,1369.0,313.0
Lagothrix lagothricha,1,6082.0,4856.0,604.0,4252.0,1226.0
Lepilemur ruficaudatus,3,358.0,326.0,52.5,274.0,31.4
Cercocebus albigena,1,6831.0,5420.0,,,1411.0
Loris tardigradus,1,588.0,529.0,,,59.6
Macaca mulatta,1,6586.0,5343.0,,,1243.0
Microcebus murinus,5,144.0,136.0,15.0,121.0,8.24
Miopithecus talapoin,1,3048.0,2339.0,,,709.0
Nycticebus coucang,1,828.0,696.0,93.8,603.0,132.0
Otolemur crassicaudatus,1,548.0,479.0,,,68.4
Pan troglodytes,1,14597.0,10593.0,1156.0,9437.0,4004.0
Papio anubis,1,13741.0,10001.0,919.0,9082.0,3740.0
Perodicticus potto,2,552.0,495.0,,,57.7
Colobus badius,2,3979.0,3053.0,360.0,2693.0,926.0
Pithecia monachus,1,2130.0,1679.0,,,451.0
Propithecus verreauxi,2,1355.0,1106.0,131.0,974.0,249.0
Saguinus midas,1,1061.0,841.0,,,220.0
Saguinus oedipus,1,977.0,807.0,,,170.0
Saimiri sciureus,1,2326.0,1884.0,175.0,1709.0,442.0
Tarsius sp.,2,370.0,349.0,41.2,307.0,21.3
Tupaia glis,4,179.0,169.0,19.6,149.0,10.2
Tupaia minor,2,164.0,152.0,,,12.5
Urogale everetti,1,136.0,123.0,15.5,108.0,12.7
Varecia variegata,1,2112.0,1745.0,,,367.0
