Species,Area_striata_grey_matter_current,Area_striata_grey_matter_current_source,Species_Frahm_1984,Area_striata_1984,Area_striata_grey_matter,Area_striata_lamina_1,Area_striata_laminae_2_6,Area_striata_white_matter,Number_of_individuals_Area_striata
AAAA_Anatomy_code,,,,ASV,ASG,ASG_1,ASG_2_6,ASW,
AAAA_Reference,ALL,ALL,Frahm_1984,Frahm_1984,Frahm_1984,Frahm_1984,Frahm_1984,Frahm_1984,Frahm_1984
Alouatta caraya,,,,,,,,,
Alouatta seniculus,1918,deSousa_2010,Alouatta sp.,"2,461","1,918",220,"1,698",543,1
Aotus trivirgatus,996,deSousa_2010,Aotus trivirgatus,"1,203",996,113,883,207,2
Atelerix algirus,,,,,,,,,
Ateles geoffroyi,3753,deSousa_2010,Ateles geoffroyi,"4,738","3,753",_,_,985,1
Avahi laniger,475,Frahm_1984,Avahi l. laniger,542,475,_,_,66.5,1
Avahi occidentalis,450,Frahm_1984,Avahi laniger occidentalis,527,450,64.6,385,77.2,2
Blarina brevicauda,,,,,,,,,
Callicebus moloch,1201,deSousa_2010,Callicebus moloch,"1,524","1,201",_,_,324,1
Callimico goeldii,987,Frahm_1998,,,,,,,
Callithrix jacchus,566,deSousa_2010,Callithrix jacchus,685,566,57.8,508,119,2
Callithrix pygmaea,363,deSousa_2010,Cebuella pygmaea,415,363,29.7,334,51.4,1
Cebus albifrons,3764,deSousa_2010,Cebus sp.,"4,703","3,764",365,"3,399",939,2
Cercocebus agilis,,,,,,,,,
Cercopithecus ascanius,4272,deSousa_2010,Cercopithecus ascanius,"5,106","4,272",416,"3,855",834,1
Cercopithecus mitis,4232,deSousa_2010,Cercopithecus mitis,"5,275","4,232",_,_,"1,042",1
Cheirogaleus major,433,deSousa_2010,Cheirogaleus major,477,433,_,_,44.8,2
Cheirogaleus medius,199,deSousa_2010,Cheirogaleus medius,216,199,_,_,17.6,2
Chrysochloris asiatica,,,,,,,,,
Chrysochloris stuhlmanni,,,,,,,,,
Colobus angolensis,,,,,,,,,
Crocidura flavescens,,,,,,,,,
Crocidura hildegardeae,,,,,,,,,
Crocidura jacksoni,,,,,,,,,
Crocidura russula,,,,,,,,,
Daubentonia madagascariensis,1113,deSousa_2010,Daubentonia madagascar.,"1,355","1,113",189,923,242,1
Desmana moschata,,,,,,,,,
Echinops telfairi,,,,,,,,,
Echinosorex gymnura,,,,,,,,,
Elephantulus fuscipes,,,,,,,,,
Erinaceus europaeus,,,,,,,,,
Erythrocebus patas,7775,Frahm_1998,,,,,,,
Eulemur fulvus,1253,deSousa_2010,Lemur albifrons,"1,519","1,253",138,"1,114",267,2
Galago senegalensis,301,deSousa_2010,Galago senegalensis,334,301,_,_,32.6,1
Galagoides demidoff,214,deSousa_2010,Galagoides demidoff,237,214,25.6,189,22.4,2
Galemys pyrenaicus,,,,,,,,,
Gorilla sp.,9129,deSousa_2010,Gorilla gorilla,"15,185","12,062",_,_,"3,123",1
Hemicentetes semispinosus,,,,,,,,,
Hemiechinus auritus,,,,,,,,,
Homo sapiens,15247.5,deSousa_2010,Homo sapiens,"20,226","14,787","1,704","13,083","5,439",1
