"species_sci","Species","Order","Family","Captive_or_wild","Arboreal_terrestrial","Body_Mass.g","Intermembral_index","Locomotor_diversity_index","Citation"
"Caluromys philander","Caluromys philander","Didelphimorphia","Caluromyidae","W","na",NA,NA,1.15402168831365,"(Dalloz et al., 2012)"
"Acrobates pygmaeus","Acrobates pygmaeus","Diprotodontia","Acrobatidae","C","na",NA,NA,1.46311620781614,"(Youlatos et al., in press)"
"Choloepus didactylus","Choloepus didactylus","Pilosa","Megalonychidae","C","na",NA,NA,1.16745710622922,"(Granatosky et al., in press)"
"Eira barbara","Eira barbara","Carnivora","Mustelidae","W","na",NA,NA,1.31805406764601,"(Ercoli & Youlatos, 2016)"
"Micromys minutus","Micromys minutus","Rodentia","Muridae","C","na",NA,NA,1.36527966118353,"(Urbani & Youlatos, 2013)"
"Glaucomys volans","Glaucomys volans","Rodentia","Sciuridae","C","na",NA,NA,1.41481405296438,"(Essner, 2007)"
"Microsciurus flaviventer","Microsciurus flaviventer","Rodentia","Sciuridae","W","na",NA,NA,1.39151305970536,"(Youlatos, 1999a)"
"Petaurista leucogenys","Petaurista leucogenys","Rodentia","Sciuridae","W","na",NA,NA,1.63042790406195,"(Stafford, Thorington & Kawamichi, 2003)"
"Sciurillus pusillus","Sciurillus pusillus","Rodentia","Sciuridae","W","na",NA,NA,1.05509170923132,"Youlatos (2011)"
"Sciurus igniventris","Sciurus igniventris","Rodentia","Sciuridae","W","na",NA,NA,1.76932881551122,"(Youlatos, 1999a)"
"Sciurus vulgaris","Sciurus vulgaris","Rodentia","Sciuridae","W","na",NA,NA,1.36056602293838,"(Youlatos & Samaras, 2010)"
"Tamias sibiricus","Tamias sibiricus","Rodentia","Sciuridae","C","na",NA,NA,1.48235863288788,"(Youlatos, Michael & Tokalaki, 2007)"
"Tamias striatus","Tamias striatus","Rodentia","Sciuridae","C","na",NA,NA,1.02614009593832,"(Essner, 2007)"
"Tamiasciurus hudsonicus","Tamiasciurus hudsonicus","Rodentia","Sciuridae","C","na",NA,NA,1.16010264004331,"(Essner, 2007)"
"Tupaia minor","Tupaia minor","Scandentia","Tupaiidae","C","na",NA,NA,1.16912339604188,"(Sargis, 2001)"
"Tupaia tana","Tupaia tana","Scandentia","Tupaiidae","C","na",NA,NA,0.673597909201366,"(Sargis, 2001)"
"Galeopterus variegatus","Galeopterus variegatus","Dermoptera","Cynocephalidae","W","na",NA,NA,1.24539319229782,"(Youlatos, Widayati & Tsuji, 2018)"
"Galagoides demidoff","Galagoides demidoff","Primates","Galagidae","C","A",61.5,68,1.40614065804908,"(Gebo, 1987)"
"Galagoides thomasi","Galagoides thomasi","Primates","Galagidae","W","A",116.5,67,1.53051572202163,"(Off & Gebo, 2005)"
"Galago senegalensis","Galago senegalensis","Primates","Galagidae","C","A",213,52,1.03969242563174,"(Gebo, 1987)"
