Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Animal,common name of the animal as printed (parentheses give breed/qualifier),,,info,Mammals,Heffner_Masterton_1975_TableI,"common-name column; binomial is in Species. NA in Species = paper gives no species (e.g. 'Cow, unspecified')",
Species,resolved species binomial (typos corrected + genus-only/unspecified rows imputed),,Species,,primary,Mammals,Heffner_Masterton_1975_TableI,"resolved via reference_tables/Heffner_Masterton_1975_TableI_species_crosswalk.csv; see species_basis for provenance; taxonomy not modernised; reconcile to _keys/Stephan/species_key.csv",
Species_as_printed,species name exactly as printed in Table I (NA where the paper left it unspecified),,Species,,info,Mammals,Heffner_Masterton_1975_TableI,"differs from Species for the 13 crosswalk rows",
species_basis,"provenance of the Species value: as_printed / spelling_correction / Iwaniuk_etal_1999 / Iwaniuk_etal_1999_imputed / unspecified_in_source",,,info,Mammals,Heffner_Masterton_1975_TableI,"'imputed' = species not stated by Heffner, supplied from Iwaniuk 1999",
Digital dexterity,digital dexterity rank (1-7); higher = greater dexterity,Behaviour,,rank,primary,Mammals,Heffner_Masterton_1975_TableI,,
Body weight kg,body weight in kilograms,Body,BodyMass.kg,,primary,Mammals,Heffner_Masterton_1975_TableI,,
Number of fibers per tract,number of fibres in the pyramidal (corticospinal) tract,CorticospinalTract,FiberCount,,primary,Mammals,Heffner_Masterton_1975_TableI,absolute count (e.g. 807000),
Number of fibers per tract ref,source reference for number of fibres,,,info,Mammals,Heffner_Masterton_1975_TableI,,
Largest fiber diameter µm,largest pyramidal-tract fibre diameter in micrometres,CorticospinalTract,FiberDiameter.um,max,primary,Mammals,Heffner_Masterton_1975_TableI,,
Largest fiber diameter µm ref,source reference for largest fibre diameter,,,info,Mammals,Heffner_Masterton_1975_TableI,,
Average fiber size x 10ˆ5 K,average fibre size index (K x 10^5) as printed,CorticospinalTract,FiberDiameter.um,mean,primary,Mammals,Heffner_Masterton_1975_TableI,units as printed in the paper header,
Area of tract mmˆ2,cross-sectional area of the pyramidal tract in mm2,CorticospinalTract,Area.mm2,,primary,Mammals,Heffner_Masterton_1975_TableI,,
Area of tract mmˆ2 ref,source reference for tract area,,,info,Mammals,Heffner_Masterton_1975_TableI,,
Penetration down spinal cord,deepest spinal-cord level reached by the pyramidal tract (segment code or S),CorticospinalTract,,rank,primary,Mammals,Heffner_Masterton_1975_TableI,"segment labels as printed (e.g. 'Upper C', 'L5', 'coccygeal', 'S')",
Penetration down spinal cord ref,source reference for penetration,,,info,Mammals,Heffner_Masterton_1975_TableI,,
Lamina of axon terminals deepest,deepest spinal grey-matter lamina (Rexed) reached by corticospinal terminations,CorticospinalTract,,rank,primary,Mammals,Heffner_Masterton_1975_TableI,,
Lamina of axon terminals deepest ref,source reference for deepest lamina,,,info,Mammals,Heffner_Masterton_1975_TableI,,
Lamina of axon terminals densest,spinal grey-matter lamina (Rexed) with the densest corticospinal terminations,CorticospinalTract,,rank,primary,Mammals,Heffner_Masterton_1975_TableI,,
Lamina of axon terminals densest ref,source reference for densest lamina,,,info,Mammals,Heffner_Masterton_1975_TableI,,
