"6Aotus trivirgatus 6Callithrix sp.","15.750 7.780","[19] [19]","16.97 10.22 NA","10.831 17.679 NA","441.90 244.72 NA","10 10 9","[20] [20]","47 960 [20] 54 240 [20]","","4428 [20] 3068 [20]","NA NA","NA NA","1.340 [20] 1.114 [20]","NA NA","1.670 1.331","7.396 [20] 4.084 [20]"
"Cebus apella","52.508","[19]",5.95,3.337,1.14,"10 [20]",NA,"51 080 [20]",NA,"15 306 [20]",NA,NA,"1.106 [20]",NA,"2.067","31.640 [20]"
"9Saimiri sciureus","30.216","[19]",9.11,7.707,1.34,"10 [19]",NA,"80 920 [20]",NA,"10 500 [20]",NA,NA,"0.768 [20]",NA,"1.333","13.992 [20]"
NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macaca mulatta","87.346","[19]",8.74,1.284,1.71,"10 [19]",NA,"32 110 [20]",NA,"25 000 [15]",NA,NA,"2.011 [20]",NA,"1.714","42.860 [19]"
"9Macaca radiata","61.470","[25]",9.02,2.595,1.66,"10 [20]",NA,"43 810 [20]",NA,"16 882 [20]",NA,NA,"1.278 [20]",NA,"1.835","30.986 [20]"
NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Papio cynocephalus","151.190","[25]",6.19,1.011,2.88,"10 [20]",NA,"33 730 [20]",NA,"33 378 [20]",NA,NA,"1.317 [20]",NA,"2.177","72.668 [20]"
"9Homo sapiens lipotyphla","1509 [24]",NA,8.47,0.114,16.34,"10","[24]","21 450 [24]",NA,"188 100 [29]",NA,NA,"1.480 [29]",NA,"2.938","552.7 [29]"
NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,"a",NA,NA,NA,NA,NA,NA
"Blarina brevicauda","0.340","[23]",14.9,271.927,11.88,"10","[23]","59 280*","[23]","218",NA,NA,"1.000* [23]",NA,"0.821","0.179* [23]"
"aCondylura cristata","0.802","[23]",10.32,106.832,17.25,"6 10","[23]","38 780*","[23]","363",NA,NA,"1.924* [23]",NA,"1.072","0.389* [23]"
NA,NA,NA,NA,NA,NA,"6b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erinaceus europaeus","3.230","[15]",13.96,29.221,33.53,"10",NA,"27 000 [48]",NA,"924 [15]",NA,NA,"2.214 [48]",NA,"1.047","0.967 [15]"
"aScalopus aquaticus lires","0.999","[23]",8.45,168.291,28.68,"6 10","[23]","60 252*","[23]","357",NA,NA,"1.296* [23]",NA,"1.070","0.382* [23]"
NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cavia porcellus","3.656","[26]",9.37,20.729,43.51,"10","[26]","22 222 [26]",NA,"1072 [26]",NA,NA,"2.606 [26]",NA,"1.827","1.959 [26]"
"aMesocricetus auratus","0.965","[18]",14.98,98.985,17.14,"6 10","[18]","39 099*","[18]","395",NA,NA,"2.507 [18]",NA,"1.129","0.446* [18]"
NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mus musculus","0.402","[26]",11.6,46.316,13.69,"10","[18]","122 232","[26]","296 [4]",NA,NA,"0.870 [26]",NA,"0.724","0.214 [26]"
"6Oryctolagus cuniculus","7.100","[15]",9.55,31.739,71.45,"10","[21]","43 800 [47]",NA,"1380 [15]",NA,NA,"3.566",NA,"n.a.","n.a."
NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rattus norvegicus frotheria","1.724","[26]",12.27,49.685,31.02,"10","[18]","35 330 [26]",NA,"711 [4]",NA,NA,"1.497 [26]",NA,"1.212","0.862 [26]"
"6Dendrohyrax sp.","3.328","[27]",5.4,6.308,98.97,"10","[27]","12 709 [27]",NA,"3791 [27]",NA,NA,"1.426 [27]",NA,"1.598","6.058 [27]"
NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loxodonta Africana","4618 [22]",NA,3.3,0.007,5.59,"10 [22]",NA,"3661 [22]",NA,"514 134 [22]",NA,NA,"10.628 [22]",NA,"2.633","1353.9 [22]"
"6Procavia sp. rtiodactyla","4.317","[27]",5.45,4.92,197.92,"10","[27]","20 794 [27]",NA,"4226 [27]",NA,NA,"1.241 [27]",NA,"1.482","6.263 [27]"
"9cBos taurus","486 [15]",NA,3.19,0.123,1.34,"10",NA,"13 000 [47]",NA,"105 500 [15]",NA,NA,"4.085 [47]",NA,"2.142","226.0 [15]"
