Code,Definition,Structure,Measure,Stat,Reference,Note,Source Note
"Mass, g",mass (g),,Mass.g,,HerculanoHouzel_2015,,"This is a compilation of references by the same team, where brain and body mass data taken from the same individuals with the same definitions (by default)"
"N, n",number of neurons,,N.n,,HerculanoHouzel_2015,,
N/mg,neuronal density (in neurons/mg),,N.p.mg,,HerculanoHouzel_2015,,
"O, n",number of other cells,,O.n,,HerculanoHouzel_2015,,
O/mg,other cells density (in cells/mg),,O.p.mg,,HerculanoHouzel_2015,,
O/N,"O/N, ratio between numbers of other (non-neuronal) cells and neurons",,O.p.N,,HerculanoHouzel_2015,,
Cerebellum,"whole cerebellum (both brain halves), including the deep nuclei",Cerebellum,,,HerculanoHouzel_2015,,
Cerebral Cortex,"sum of gray matter, subcortical white matter, and including the hippocampus, amygdala and piriform cortex in the two hemispheres",CerebralCortex,,,HerculanoHouzel_2015,,
Olfactory Bulb,both olfactory bulbs,OlfactoryBulb,,,HerculanoHouzel_2015,,
RoB,"Rest of brain; the ensemble of brainstem, diencephalon and basal ganglia, for both sides of the brain; olfactory tract included",RoB,,,HerculanoHouzel_2015,,
Whole Brain,"whole brain (both sides), not including the olfactory bulbs",WholeBrain,,,HerculanoHouzel_2015,"""Brain mass, g"" refers to ""Whole brain"" as defined elsewhere",
% Neurons,number of neurons / (number of neurons + number of other cells) * 100,,p.C.N,,HerculanoHouzel_2015,,
Body,,Body,,,HerculanoHouzel_2015,,
SD,standard deviation,,,SD,HerculanoHouzel_2015,,
