"Code","Definition","Structure","Measure","Stat","role","taxon","Reference","Note","Source Note"
"species_as_published","Study species (see TABLE 1 definitions).","","","","info","Procyon lotor","Jacob_etal_2021 FIGURE4","",""
"region","Hippocampus, dissected from one hemisphere (unilateral; do not double without a laterality decision).","","","","info","Procyon lotor","Jacob_etal_2021 FIGURE4","","Methods section 2.3; Figure 3 caption."
"panel","Figure 4 panel: A = total nuclei, B = nonneuronal nuclei.","","","","info","Procyon lotor","Jacob_etal_2021 FIGURE4","","Figure 4."
"measure","Harmonised measure key for the long format (total_nuclei / nonneuronal_nuclei).","","","","info","Procyon lotor","Jacob_etal_2021 FIGURE4","",""
"measure_as_printed","Measure phrase as printed in Results section 3.1.","","","","info","Procyon lotor","Jacob_etal_2021 FIGURE4","",""
"solver_type","Problem-solving group, harmonised to the tables' labels (text prints 'nonsolver group' / 'intermediate group' / 'high solvers').","","","","info","Procyon lotor","Jacob_etal_2021 FIGURE4","","Results section 3.1."
"n_group","Animals per group and panel; see n_group_basis.","","","","info","Procyon lotor","Jacob_etal_2021 FIGURE4","","Figure 4 caption + ANOVA df + NeuN exclusion sentence."
"n_group_basis","'caption' = printed at the figure; 'derived' = reconstructed from ANOVA df and the NeuN exclusion sentence.","","","","info","Procyon lotor","Jacob_etal_2021 FIGURE4","",""
"group_mean_count","Group mean nuclei count for the measure in 'measure' (total = all DAPI nuclei; nonneuronal = DAPI+/NeuN-), whole hippocampus of one hemisphere, isotropic fractionation.","Hippocampus","count","mean","primary","Procyon lotor","Jacob_etal_2021 FIGURE4","Values printed as 'x-bar-c = ...' in Results section 3.1; no SEM/SD printed numerically (error bars only).","Results section 3.1."
"anova_F","One-way ANOVA F for the panel's measure across the three groups.","","","","info","Procyon lotor","Jacob_etal_2021 FIGURE4","Same value repeated on each row of the panel.","Results section 3.1."
"anova_df_between","ANOVA between-groups df.","","","","info","Procyon lotor","Jacob_etal_2021 FIGURE4","",""
"anova_df_within","ANOVA within-groups df.","","","","info","Procyon lotor","Jacob_etal_2021 FIGURE4","",""
"anova_p","ANOVA p for the panel.","","","","info","Procyon lotor","Jacob_etal_2021 FIGURE4","","Results section 3.1; Figure 4 caption."
"anova_partial_eta_sq","Partial eta squared for the panel's ANOVA.","","","","info","Procyon lotor","Jacob_etal_2021 FIGURE4","","Results section 3.1."
"posthoc_vs_solver_p","Tukey post hoc p for this group vs high solvers; empty on Solver rows.","","","","info","Procyon lotor","Jacob_etal_2021 FIGURE4","Panel B values from the caption (.0706/.1006); running text rounds to .071/.101.","Figure 4 caption; Results section 3.1."
"source","Repository item identifier.","","","","info","Procyon lotor","Jacob_etal_2021 FIGURE4","","Metadata."
"Method:isotropic_fractionation","Whole-structure nuclei counts by isotropic fractionation (DAPI total; NeuN to classify neuronal vs nonneuronal); one hemisphere per animal.","","","","method","Procyon lotor","Jacob_etal_2021 FIGURE4","","Methods sections 2.3-2.4; Figure 3."
"Method:observation_level","Group means over individual raccoons within one species; pool across solver groups before any species-level use.","","","","method","Procyon lotor","Jacob_etal_2021 FIGURE4","","Figure 4."
