"NA","Ferret
(Mustela putorius furo)","Banded mongoose
(Mungos mungo)","Raccoon
(Procyon lotor)","Cat
(Felis catus)","Dog
(Canis familiaris)","Striped hyena
(Hyaena hyaena)","Lion
(Panthera leo)","Brown bear
(Ursus arctos)"
"MBD, kg","0.8","1.5","6.2","4.5","19.7","40","180","350"
"MBR, g","5.429","14.292","34.186","34.858","86.462","99.214","198.946","315.004"
"MCxT, g","3.123","9.290","24.491","24.176","65.491","67.450","139.902","222.000"
"MHP, g","0.329","0.428","0.477","0.876","2.010","3.366","3.648","4.130"
"MCB, g","0.920","1.548","3.338","5.110","7.512","14.032","24.882","45.106"
"MRoB, g","1.386","3.454","6.357","5.572","13.459","17.732","34.162","47.898"
"MOB, g","0.25","n.a.","0.47","n.a.","n.a.","n.a.","n.a.","n.a."
"NBR","404.43 × 106","454.02 × 106","2,148.07 × 106","1,215.21 × 106","2,252.69 × 106","3,884.60 × 106","4,667.03 × 106","9,585.60 × 106"
"NCxT","38.95 × 106","115.77 × 106","437.94 × 106","249.83 × 106","527.91 × 106","495.28 × 106","545.24 × 106","250.97 × 106"
"NHP","3.19 × 106","2.66 × 106","15.34 × 106","8.05 × 106","8.61 × 106","18.24 × 106","13.54 × 106","8.61 × 106"
"NCB","351.26 × 106","315.74 × 106","1,646.18 × 106","942.90 × 106","1,676.63 × 106","3,333.83 × 106","4,049.75 × 106","9,253.25 × 106"
"NRoB","14.21 × 106","22.51 × 106","48.57 × 106","22.47 × 106","48.15 × 106","55.49 × 106","72.04 × 106","81.38 × 106"
"NOB","14.04 × 106","n.a.","55.99 × 106","n.a.","n.a.","n.a.","n.a.","n.a."
"OBR","472.98 × 106","652.37 × 106","2,399.99 × 106","1,728.79 × 106","5,193.23 × 106","4,501.39 × 106","12,398.84 × 106","15,113.19 × 106"
"OCxT","264.06 × 106","346.56 × 106","1,766.67 × 106","1,097.10 × 106","3,416.46 × 106","2,977.76 × 106","7,260.97 × 106","10,154.00 × 106"
"OHP","29.31 × 106","22.96 × 106","70.00 × 106","55.95 × 106","134.05 × 106","139.82 × 106","177.11 × 106","249.16 × 106"
"OCB","79.60 × 106","154.26 × 106","241.32 × 106","326.10 × 106","848.68 × 106","594.29 × 106","3,044.00 × 106","2,296.75 × 106"
"ORoB","129.33 × 106","151.54 × 106","392.00 × 106","305.59 × 106","928.09 × 106","929.34 × 106","2,093.86 × 106","2,662.44 × 106"
"OOB","43.48 × 106","n.a.","79.76 × 106","n.a.","n.a.","n.a.","n.a.","n.a."
"DNCxT","12473","12462","18510","10334","8061","7343","3897","1130"
"DNHP","9702","6225","16076","9187","4282","5418","3711","2085"
"DNCB","381810","203966","493162","184521","223194","237588","162758","205145"
"DNRoB","10253","6518","7640","4033","3577","3129","2109","1699"
"DNOB","56150","n.a.","119119","n.a.","n.a.","n.a.","n.a.","n.a."
"O/NBR","1.253","1.437","1.117","1.423","2.305","1.159","2.657","1.577"
"O/NCXT","6.779","2.994","3.897","4.391","6.472","6.012","13.317","40.459"
"O/NHP","9.182","8.618","4.564","6.952","15.575","7.667","13.083","28.941"
"O/NCB","0.227","0.489","0.147","0.346","0.506","0.178","0.752","0.248"
"O/NRoB","9.101","6.731","8.071","13.598","19.275","16.749","29.063","32.714"
"O/NOB","3.097","n.a.","1.425","n.a.","n.a.","n.a.","n.a.","n.a."
