"Region","Group","Volume_hemisphere.cm3","Neuron_N.x10.9","Neuron_density.x10.6.per.cm3","Astrocyte_N.x10.9","Astrocyte_density.x10.6.per.cm3","Oligodendrocyte_N.x10.9","Oligodendrocyte_density.x10.6.per.cm3","Microglia_N.x10.9","Microglia_density.x10.6.per.cm3","Glia_N.x10.9","Glia_density.x10.6.per.cm3","Glia_Neuron_ratio","n_brains","Volume.cm3","Surface.cm2","Thickness.mm"
"Frontal","Control",43.1214,6.0647,72.3976,2.4527,23.3168,3.903,45.7569,1.0552,12.6713,7.3821,86.1131,1.2183,6,157,596,2.62
"Frontal","DS",22.8179,3.6365,80.6038,1.5605,31.4714,2.2119,44.6516,0.4795,9.9548,4.5647,92.1658,1.1467,4,87.6,363,2.4
"Temporal","Control",27.6369,4.1785,74.9935,1.2517,23.1345,2.7709,50.9301,0.5864,10.8057,4.8082,88.5748,1.1932,6,105,433,2.44
"Temporal","DS",16.1788,2.6422,86.2868,1.2056,37.9415,1.9157,57.2274,0.3484,10.3752,3.6502,111.0965,1.3463,4,57.1,240,2.38
"Parietal","Control",24.1766,3.946,81.4947,1.2537,25.8939,2.1472,45.5801,0.5215,10.9844,4.1004,86.2026,1.0754,6,91.8,336,2.76
"Parietal","DS",27.1548,4.9291,89.8291,0.9082,31.3167,1.3832,46.1256,0.3441,11.2715,2.4161,82.5302,0.9301,4,50,203,2.47
"Occipital","Control",14.1728,3.5845,126.3401,0.7465,26.5549,1.6557,58.3407,0.3156,11.1443,2.8566,100.5165,0.8002,6,48.5,207,2.35
"Occipital","DS",10.684,2.0282,80.3792,0.7111,34.1047,1.174,53.3576,0.2477,10.7956,2.387,108.3063,1.0089,4,35.7,143,2.57
"Neocortex total","Control",109.1078,17.7737,82.2879,5.2972,24.2107,10.4768,48.7134,2.4787,11.5801,19.1473,88.5842,1.0828,6,403,1572,2.56
"Neocortex total","DS",72.3007,12.1182,87.0338,4.3855,33.4077,6.6849,49.2313,1.4198,10.4438,13.0181,97.1294,1.1131,4,230,950,2.43
