Species,weighting,region,measure,N,Mean,SD,CV,CVstar,note
Homo,unweighted,Whole Brain,CMRgl,22,29.31,4.42,15.07,15.24,
Homo,weighted,Whole Brain,CMRgl,216,29.98,5.28,17.61,17.63,
Macaca,unweighted,Whole Brain,CMRgl,5,43.15,11.60,26.88,28.22,
Macaca,weighted,Whole Brain,CMRgl,28,40.66,11.05,27.18,27.42,
Canis,unweighted,Whole Brain,CMRgl,1,44.50,5.00,11.24,14.04,
Canis,weighted,Whole Brain,CMRgl,8,44.50,5.00,11.24,11.59,
Rattus,unweighted,Whole Brain,CMRgl,13,75.24,13.01,17.29,17.62,
Rattus,weighted,Whole Brain,CMRgl,205,76.89,19.83,25.79,25.82,
Mus,unweighted,Whole Brain,CMRgl,4,68.03,8.42,12.38,13.15,
Mus,weighted,Whole Brain,CMRgl,37,67.53,8.88,13.15,13.24,
Homo,unweighted,Whole Brain,CMRO2,37,156.92,18.64,11.88,11.96,
Homo,weighted,Whole Brain,CMRO2,358,155.44,27.19,17.49,17.50,
Macaca,unweighted,Whole Brain,CMRO2,4,244.19,74.13,30.36,32.25,
Macaca,weighted,Whole Brain,CMRO2,22,214.93,57.89,26.93,27.24,
Canis,unweighted,Whole Brain,CMRO2,1,205.40,22.30,10.86,13.57,
Canis,weighted,Whole Brain,CMRO2,8,205.40,22.30,10.86,11.20,
Rattus,unweighted,Whole Brain,CMRO2,7,428.71,69.91,16.31,16.89,
Rattus,weighted,Whole Brain,CMRO2,106,429.41,76.12,17.73,17.77,
Lepus,unweighted,Whole Brain,CMRO2,1,205.40,17.90,8.71,10.89,
Lepus,weighted,Whole Brain,CMRO2,38,205.40,17.90,8.71,8.77,
Ovis,unweighted,Whole Brain,CMRO2,3,223.80,20.44,9.14,9.90,
Ovis,weighted,Whole Brain,CMRO2,18,217.93,47.49,21.79,22.09,
Capra,unweighted,Whole Brain,CMRO2,2,173.43,26.83,15.47,17.40,
Capra,weighted,Whole Brain,CMRO2,23,182.50,14.03,7.69,7.77,
Homo,unweighted,Whole Brain,CBF,35,53.06,7.04,13.27,13.36,
Homo,weighted,Whole Brain,CBF,335,53.25,9.14,17.16,17.18,
Macaca,unweighted,Whole Brain,CBF,4,74.93,23.84,31.82,33.81,
Macaca,weighted,Whole Brain,CBF,22,67.33,11.55,17.15,17.35,
Canis,unweighted,Whole Brain,CBF,1,30.80,6.60,21.43,26.79,
Canis,weighted,Whole Brain,CBF,12,30.80,6.60,21.43,21.88,
Rattus,unweighted,Whole Brain,CBF,7,101.86,7.90,7.76,8.04,
Rattus,weighted,Whole Brain,CBF,106,103.08,18.73,18.17,18.21,
Mus,unweighted,Whole Brain,CBF,1,117.00,20.00,17.09,21.37,
Mus,weighted,Whole Brain,CBF,5,117.00,20.00,17.09,17.95,
Lepus,unweighted,Whole Brain,CBF,1,48.00,18.50,38.54,48.18,
Lepus,weighted,Whole Brain,CBF,38,48.00,18.50,38.54,38.80,
Meriones,unweighted,Whole Brain,CBF,1,102.00,12.60,12.35,15.44,
Meriones,weighted,Whole Brain,CBF,10,102.00,12.60,12.35,12.66,
Ovis,unweighted,Whole Brain,CBF,4,64.85,9.93,15.31,16.27,
Ovis,weighted,Whole Brain,CBF,30,62.01,11.39,18.37,18.52,
Capra,unweighted,Whole Brain,CBF,1,77.00,7.00,9.09,11.36,
Capra,weighted,Whole Brain,CBF,17,77.00,7.00,9.09,9.22,
Equus,unweighted,Whole Brain,CBF,2,65.40,4.81,7.35,8.27,
Equus,weighted,Whole Brain,CBF,18,64.27,14.17,22.05,22.35,
Homo,unweighted,Cortex,CMRgl,49,35.68,6.40,17.94,18.03,
Homo,weighted,Cortex,CMRgl,650,36.78,6.88,18.70,18.71,
Macaca,unweighted,Cortex,CMRgl,10,50.45,7.95,15.76,16.15,
Macaca,weighted,Cortex,CMRgl,46,49.99,6.02,12.04,12.11,
Rattus,unweighted,Cortex,CMRgl,49,99.14,15.53,15.67,15.75,
Rattus,weighted,Cortex,CMRgl,360,98.91,12.37,12.51,12.52,
Mus,unweighted,Cortex,CMRgl,8,97.88,26.83,27.41,28.27,
Mus,weighted,Cortex,CMRgl,43,98.90,11.99,12.12,12.19,
Lepus,unweighted,Cortex,CMRgl,1,77.42,17.90,23.12,28.90,
Lepus,weighted,Cortex,CMRgl,5,77.42,17.90,23.12,24.28,
Felis,unweighted,Cortex,CMRgl,2,62.30,21.64,34.73,39.07,
Felis,weighted,Cortex,CMRgl,11,66.47,12.19,18.34,18.76,
Meriones,unweighted,Cortex,CMRgl,3,78.51,16.38,20.87,22.61,
Meriones,weighted,Cortex,CMRgl,13,73.35,15.62,21.29,21.70,
Homo,unweighted,Cortex,CMRO2,13,150.73,20.23,13.42,13.68,
Homo,weighted,Cortex,CMRO2,169,143.74,21.86,15.21,15.23,
Rattus,unweighted,Cortex,CMRO2,1,464.30,93.80,20.20,25.25,
Rattus,weighted,Cortex,CMRO2,20,464.30,93.80,20.20,20.45,
Sus,unweighted,Cortex,CMRO2,1,341.96,20.10,5.88,7.35,
Sus,weighted,Cortex,CMRO2,6,341.96,20.10,5.88,6.12,
Homo,unweighted,Cortex,CBF,10,44.61,2.25,5.04,5.16,
Homo,weighted,Cortex,CBF,125,43.98,6.90,15.69,15.72,
Macaca,unweighted,Cortex,CBF,1,53.00,7.50,14.15,17.69,
Macaca,weighted,Cortex,CBF,6,53.00,7.50,14.15,14.74,
Rattus,unweighted,Cortex,CBF,3,149.60,38.40,25.67,27.80,
Rattus,weighted,Cortex,CBF,32,145.58,47.17,32.40,32.66,
Meriones,unweighted,Cortex,CBF,2,112.80,32.24,28.59,32.16,
Meriones,weighted,Cortex,CBF,7,103.03,6.80,6.60,6.84,
Sus,unweighted,Cortex,CBF,1,108.20,6.30,5.82,7.28,
Sus,weighted,Cortex,CBF,6,108.20,6.30,5.82,6.07,
Homo,unweighted,Frontal Cortex,CMRgl,40,36.31,6.51,17.94,18.05,
Homo,weighted,Frontal Cortex,CMRgl,550,37.34,7.53,20.17,20.18,
Macaca,unweighted,Frontal Cortex,CMRgl,6,47.92,11.24,23.46,24.44,
Macaca,weighted,Frontal Cortex,CMRgl,25,44.86,6.93,15.45,15.60,
Rattus,unweighted,Frontal Cortex,CMRgl,34,94.06,13.75,14.62,14.73,
Rattus,weighted,Frontal Cortex,CMRgl,247,94.31,12.79,13.56,13.58,
Mus,unweighted,Frontal Cortex,CMRgl,6,108.83,19.06,17.52,18.24,
Mus,weighted,Frontal Cortex,CMRgl,34,107.29,12.07,11.25,11.33,
Felis,unweighted,Frontal Cortex,CMRgl,1,49.00,16.00,32.65,40.82,
Felis,weighted,Frontal Cortex,CMRgl,4,49.00,16.00,32.65,34.69,
Meriones,unweighted,Frontal Cortex,CMRgl,1,67.80,15.00,22.12,27.65,
Meriones,weighted,Frontal Cortex,CMRgl,6,67.80,15.00,22.12,23.05,
Homo,unweighted,Frontal Cortex,CMRO2,18,149.39,27.70,18.54,18.80,
Homo,weighted,Frontal Cortex,CMRO2,240,149.07,24.43,16.39,16.41,
Homo,unweighted,Parietal Cortex,CMRgl,36,36.02,7.85,21.79,21.95,
Homo,weighted,Parietal Cortex,CMRgl,537,37.15,7.06,19.01,19.01,CVstar=CV
Macaca,unweighted,Parietal Cortex,CMRgl,2,42.73,7.81,18.29,20.57,
Macaca,weighted,Parietal Cortex,CMRgl,10,41.62,7.80,18.74,19.21,
Rattus,unweighted,Parietal Cortex,CMRgl,32,93.08,14.44,15.51,15.63,
Rattus,weighted,Parietal Cortex,CMRgl,251,94.29,12.35,13.10,13.11,
Mus,unweighted,Parietal Cortex,CMRgl,2,126.00,2.83,2.24,2.53,
Mus,weighted,Parietal Cortex,CMRgl,12,126.00,14.51,11.52,11.76,
Lepus,unweighted,Parietal Cortex,CMRgl,1,73.10,17.40,23.80,29.75,
Lepus,weighted,Parietal Cortex,CMRgl,5,73.10,17.40,23.80,24.99,
Felis,unweighted,Parietal Cortex,CMRgl,1,45.00,16.00,35.56,44.44,
Felis,weighted,Parietal Cortex,CMRgl,4,45.00,16.00,35.56,37.78,
Homo,unweighted,Parietal Cortex,CMRO2,16,155.25,26.87,17.31,17.58,
Homo,weighted,Parietal Cortex,CMRO2,219,148.41,25.39,17.11,17.13,
Homo,unweighted,Temporal Cortex,CMRgl,37,33.23,6.86,20.64,20.78,
Homo,weighted,Temporal Cortex,CMRgl,520,34.23,6.23,18.20,18.21,
Macaca,unweighted,Temporal Cortex,CMRgl,3,36.40,1.44,3.96,4.29,
Macaca,weighted,Temporal Cortex,CMRgl,15,36.08,6.67,18.49,18.79,
Rattus,unweighted,Temporal Cortex,CMRgl,4,98.58,18.05,18.31,19.45,
Rattus,weighted,Temporal Cortex,CMRgl,26,97.46,13.57,13.92,14.06,
Felis,unweighted,Temporal Cortex,CMRgl,1,46.00,16.00,34.78,43.48,
Felis,weighted,Temporal Cortex,CMRgl,4,46.00,16.00,34.78,36.96,
Homo,unweighted,Temporal Cortex,CMRO2,14,155.13,25.49,16.43,16.72,
Homo,weighted,Temporal Cortex,CMRO2,158,148.91,25.57,17.17,17.20,
Homo,unweighted,Auditory Cortex,CMRgl,4,40.23,5.41,13.44,14.28,
Homo,weighted,Auditory Cortex,CMRgl,45,40.56,5.87,14.47,14.55,
Macaca,unweighted,Auditory Cortex,CMRgl,1,70.30,12.20,17.35,21.69,
Macaca,weighted,Auditory Cortex,CMRgl,6,70.30,12.20,17.35,18.08,
Rattus,unweighted,Auditory Cortex,CMRgl,33,128.40,24.11,18.78,18.92,
Rattus,weighted,Auditory Cortex,CMRgl,237,125.87,15.04,11.95,11.96,
Mus,unweighted,Auditory Cortex,CMRgl,6,102.17,37.94,37.14,38.69,
Mus,weighted,Auditory Cortex,CMRgl,34,105.24,11.08,10.53,10.61,
Homo,unweighted,Occipital Cortex,CMRgl,31,37.37,7.10,18.99,19.15,
Homo,weighted,Occipital Cortex,CMRgl,442,38.01,7.51,19.76,19.77,
Macaca,unweighted,Occipital Cortex,CMRgl,7,55.79,12.05,21.61,22.38,
Macaca,weighted,Occipital Cortex,CMRgl,31,53.27,7.04,13.21,13.32,
Rattus,unweighted,Occipital Cortex,CMRgl,37,94.25,13.74,14.57,14.67,
Rattus,weighted,Occipital Cortex,CMRgl,276,94.20,12.69,13.47,13.48,
Mus,unweighted,Occipital Cortex,CMRgl,4,97.75,34.21,35.00,37.18,
Mus,weighted,Occipital Cortex,CMRgl,24,100.75,13.77,13.67,13.81,
Lepus,unweighted,Occipital Cortex,CMRgl,1,76.40,19.70,25.79,32.23,
Lepus,weighted,Occipital Cortex,CMRgl,5,76.40,19.70,25.79,27.07,
Felis,unweighted,Occipital Cortex,CMRgl,1,58.00,8.00,13.79,17.24,
Felis,weighted,Occipital Cortex,CMRgl,4,58.00,8.00,13.79,14.66,
