Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Homo,"(Bartlett et al., 1994)",9,none,PET,34.5,4.2,,,,
Homo,"(Bromberg et al., 1990)",12,none,PET,32.4,6.5,,,,
Homo,"(Brooks et al., 1987)",27,none,PET,30.6,6.1,,,,
Homo,"(Clark et al., 2001)",32,none,PET,44.6,6.1,,,,
Homo,"(Duara et al., 1983)",18,none,PET,25.1,6.8,,,,
Homo,"(Gilman et al., 1990)",13,none,PET,28.8,6.0,,,,
Homo,"(Gilman et al., 1990)",10,none,PET,33.1,6.9,,,,
Homo,"(Heiss et al., 1985)",6,none,PET,32.9,6.0,,,,
Homo,"(Hirono et al., 2000)",15,none,PET,38.4,4.7,,,,
Homo,"(Hu et al., 2000)",9,none,PET,29.4,7.8,,,,
Homo,"(Ludolph et al., 1992)",12,none,PET,37.1,9.2,,,,
Homo,"(Perani et al., 1995)",15,none,PET,33.9,3.9,,,,
Homo,"(Phillips et al., 1991)",14,none,PET,29.3,6.1,,,,
Homo,"(Rudolf et al., 2000)",16,none,PET,33.1,4.5,,,,
Homo,"(Rudolf et al., 2002)",9,none,PET,28.0,nr,,,,
Homo,"(Sachs et al., 1986)",25,none,PET,43.3,6.1,,,,
Homo,"(Schapiro et al., 1990)",13,none,PET,40.4,7.5,,,,
Homo,"(Tommasino et al., 1995)",10,none,PET,32.5,5.2,,,,
Homo,"(Volkow et al., 1992)",11,none,PET,31.8,4.0,,,,
Homo,"(Wu et al., 1992)",15,none,PET,19.2,5.4,,,,
Homo,Present Study,5,none,PET,34.9,6.4,,,,
Homo,"(De Voider et al., 1997)",3,none,PET,"33,1",4.7,167.7,23.0,52.7,8.6
Homo,"(Yamaguchi et a l, 1992a)",14,none,PET,,,183.5,32.6,51.1,9.2
Homo,"(Leenders et al., 1990)",34,none,PET,,,150.5,21.9,49.4,9.9
Homo,"(Ishii et al., 1996b)",14,none,PET,,,246.4,54.5,87.1,19.1
Homo,"(Kaisti et al., 2003)",8,none,PET,,,210.3,21.9,48.4,3.6
Homo,"(Kaisti et al., 2003)",8,Sevoflurane,PET,,,118.8,9.4,35.4,
Homo,"(Bums and Tyrrell, 1992)",4,none,PET,,,171.0,21.0,,
Homo,"(Langsjo et al., 2003)",10,none,PET,,,175.0,29.5,,
Homo,"(Mintun et al., 1984)",5,none,PET,,,163.0,26.8,,
Papio,"(Meguro et al., 1999)",8,"Phencyclidine, N 20",PET,35.2,6.7,,,,
Papio,Present Study,2,N20,PET,41.2,5.2,,,,
M mulatta,"(Brownell et al., 1994)",2,Ketamine,PET,36.0,2.0,,,,
M mulatta,"(Cross et al., 2000)",6,none,PET,30.8,5.9,,,,
M mulatta,"(Palombo et al., 1988)",3,none,Sokoloff,25.5,2.6,,,,
M mulatta,"(Palombo et al., 1990)",4,none,Sokoloff,24.5,4.0,,,,
M mulatta,"(Porrino et al., 1987)",3,none,Sokoloff,25.0,3.0,,,,
M mulatta,"(Noda et al., 2002)",6,none,PET,26.8,5.9,,,47.8,
M fascic,"(Brownell et al., 1994)",1,Ketamine,PET,48.0,4.0,,,,
M fascic,"(Lyons et al., 1996)",3,none,Sokoloff,36.0,1.7,,,,
Saimiri,"(Delgado-Zygmunt et al., 1993)",4,"Fentanyl, N 20",Sokoloff,68.0,5.0,,,,
Sus,"(Miller et al., 1987)",4,Pentobarbital,Microspheres,,,,,42.0,
Sus,"(Manohar, 1986)",6,none,Microspheres,,,,,88.8,
Sus,"(Manohar, 1986)",6,Sevoflurane,Microspheres,,,,,70.0,
Sus,"(Manohar, 1986)",6,Sevoflurane,Microspheres,,,,,89.8,
Felis,"(Petitjean et al., 1982)",4,awake,Sokoloff,31.5,6.0,,,,
Felis,"(Triolo et al., 1990)",6,N 20,Sokoloff,26.2,2.7,,,,
Meriones,"(Choki et al., 1983)",6,none,Sokoloff,44.4,14.4,,,,
Meriones,"(Choki et al., 1984)",3,N 20,Sokoloff,56.0,23.0,,,,
Meriones,"(Suzuki et al., 1983)",7,Halothane,Sokoloff,,,,,137.0,
Meriones,"(Van Uitert and Levy, 1978)",10,none,Sokoloff,,,,,93.0,
Rattus,"(B linetal., 1991)",10,none,Sokoloff,39.5,6.8,,,,
Rattus,"(Bryan and Lehman, 1988)",10,none,Sokoloff,55.0,9.5,,,,
Rattus,"(Crane and Porrino, 1989)",6,none,Sokoloff,46.5,0.5,,,,
Rattus,"(Crane and Porrino, 1989)",6,none,Sokoloff,45.5,2.5,,,,
Rattus,"(Crosby et al., 1982)",8,none,Sokoloff,54.0,7.1,,,,
Rattus,"(Davis et al., 1986)",10,none,Sokoloff,67.5,13.3,,,,
Rattus,"(Duelli et al., 2000)",5,none,Sokoloff,37.5,3.8,,,,
Rattus,"(Eintrei et al., 1999)",6,none,Sokoloff,47.0,3.7,,,,
Rattus,"(Freedland et al., 2002)",5,none,Sokoloff,70.6,6.7,,,,
Rattus,"(Frietsch et al., 2000)",12,none,Sokoloff,35.0,4.5,,,,
Rattus,"(Frietsch et al., 2000)",12,Isoflurane,Sokoloff,18.5,4.5,,,,
Rattus,"(Grome and McCulloch, 1983)",6,none,Sokoloff,51.0,11.1,,,,
Rattus,"(Hakim etal., 1983)",7,none,Sokoloff,59.5,7.9,,,,
Rattus,"(Hawkins et al., 1979)",19,none,Sokoloff,62.5,15.3,,,,
Rattus,"(Hawkins et al., 1985)",9,none,Sokoloff,73.7,8.7,,,,
Rattus,"(Ingvar and Siesjo, 1982)",6,none,Sokoloff,39.0,2.4,,,,
Rattus,"(Ingvar and Siesjo, 1982)",10,N 20,Sokoloff,39.0,3.1,,,,
Rattus,"(Lear etal., 1981)",4,none,Sokoloff,55.0,8.0,,,,
Rattus,"(Lenzetal., 1998)",6,none,Sokoloff,50.0,8.0,,,,
Rattus,"(Lu et al., 1983)",10,none,Sokoloff,61.0,11.1,,,,
Rattus,"(MacNeill and Bryan, 1988)",10,none,Sokoloff,79.0,6.3,,,,
Rattus,"(Maekawa et al., 1986)",6,none,Sokoloff,34.5,6.0,,,,
Rattus,"(O rzietal., 1983)",5,none,Sokoloff,39.0,8.9,,,,
Rattus,"(Savaki et al., 1983)",7,none,Sokoloff,44.0,23.8,,,,
Rattus,"(Schwartz and Crosby, 1985)",6,none,Sokoloff,64.5,8.6,,,,
Rattus,(,,,Sokoloff,1977,10,61.0,2.0,,
Rattus,"(Soncrant et al., 1992)",16,none,Sokoloff,54.0,4.0,,,,
Rattus,"(Wechsler et al., 1979)",5,none,Sokoloff,55.0,6.7,,,,
Rattus,"(Whitlow et al., 2002)",5,none,Sokoloff,70.5,11.2,,,,
Rattus,"(Walker et al., 1999)",5,none,Sokoloff,59.2,3.3,,,,
Rattus,"(Cremer and Seville, 1983)",8,none,Sokoloff,,,,,89.0,
Rattus,"(Dahlgren et al., 1981a)",6,none,Sokoloff,,,,,144.0,
Mus,"(Ito et al., 1994)",5,none,Sokoloff,80.0,8.9,,,,
Mus,"(Jay etal., 1985)",8,none,Sokoloff,98.0,14.1,,,,
Mus,"(Niwa et al., 2002)",6,none,Sokoloff,93.0,9.0,,,,
Mus,"(Niwa et al., 2002)",6,none,Sokoloff,91.0,14.0,,,,
