"Species","Reference","n","Anesthesia","Mode","Region","CMRgl_umol_100g_min","CMRgl_SD","CMRO2_umol_100g_min","CMRO2_SD","CBF_ml_100g_min","CBF_SD","source"
"Homo","(Brooks et al., 1987)",27,"none","PET","White Matter",13.8,2.3,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Duara et al., 1983)",18,"none","PET","White Matter",15.2,3.7,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Mazziotta et al., 1981)",7,"none","PET","White Matter",29,7.7,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Tedeschi et al., 1995)",11,"none","PET","White Matter",14,2.5,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Heiss et al., 1985)",6,"none","PET","White Matter",21.2,1.3,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Kuhl et al., 1979)",8,"none","PET","White Matter",20.5,3.9,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Kuhl et al., 1982)",25,"none","PET","White Matter",16.7,3.7,NA,NA,NA,NA,"Kaufman__2004"
"Homo","Present Study",5,"none","PET","White Matter",21,2,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Schapiro et al., 1990)",13,"none","PET","White Matter",12.7,3.5,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Redies et al., 1989)",4,"none","PET","White Matter",25,1,NA,NA,NA,NA,"Kaufman__2004"
"Homo","(Hatazawa et al., 1988)",7,"none","PET","White Matter",14.8,2.7,85.3,5.8,28.6,2.9,"Kaufman__2004"
"Homo","(Sasaki et al., 1986)",7,"none","PET","White Matter",17.8,1.5,64.6,10,19.3,2.2,"Kaufman__2004"
"Homo","(Yamaki et al., 1996)",20,"none","PET","White Matter",27.2,4.4,89.3,13.4,25,4,"Kaufman__2004"
"Homo","(Leenders et al., 1990)",34,"none","PET","White Matter",NA,NA,63.8,10.7,22.2,4.9,"Kaufman__2004"
"Homo","(Lenzi et al., 1981)",27,"none","PET","White Matter",NA,NA,82.1,15.2,21.2,2.7,"Kaufman__2004"
"Homo","(Pantano et al., 1984)",18,"none","PET","White Matter",NA,NA,84.8,13.4,24.5,4.1,"Kaufman__2004"
"Homo","(Tohgi et al., 1998)",6,"none","PET","White Matter",NA,NA,62.5,11.2,23,5,"Kaufman__2004"
"Homo","(Wessen et al., 1997)",6,"none","PET","White Matter",NA,NA,66,11,18,2,"Kaufman__2004"
"Homo","(Yamaguchi et al., 1986)",14,"none","PET","White Matter",NA,NA,68.8,8.5,21,5.4,"Kaufman__2004"
"Homo","(Frackowiak et al., 1988)",7,"none","PET","White Matter",NA,NA,80.8,9.8,21.4,1.9,"Kaufman__2004"
"Homo","(Seitz and Roland, 1992)",26,"none","PET","White Matter",NA,NA,NA,NA,29.6,8.7,"Kaufman__2004"
"Papio","Present Study",2,"N 20","PET","White Matter",14.6,3.1,NA,NA,NA,NA,"Kaufman__2004"
"M mulatta","(Palombo et al., 1988)",3,"none","Sokoloff","White Matter",11,1,NA,NA,NA,NA,"Kaufman__2004"
"M mulatta","(Palombo et al., 1990)",4,"none","Sokoloff","White Matter",11,1,NA,NA,NA,NA,"Kaufman__2004"
"M mulatta","(Palombo et al., 1991)",4,"none","Sokoloff","White Matter",11.3,1,NA,NA,NA,NA,"Kaufman__2004"
"M mulatta","(Porrino et al., 1987)",3,"none","Sokoloff","White Matter",11.5,0,NA,NA,NA,NA,"Kaufman__2004"
"M mulatta","(Enlund et al., 1997)",4,"Ketamine, N 20","PET","White Matter",NA,NA,128,12,33.5,8,"Kaufman__2004"
"M fascic","(Kennedy et al., 1978)",7,"none","Sokoloff","White Matter",12,1,NA,NA,NA,NA,"Kaufman__2004"
"M fascic","(Lyons et al., 1996)",3,"none","Sokoloff","White Matter",18.5,2.5,NA,NA,NA,NA,"Kaufman__2004"
"Saimiri","(Delgado-Zygmunt et al., 1993)",4,"Fentanyl, N 20","Sokoloff","White Matter",25,3,NA,NA,35,3,"Kaufman__2004"
"Sus","(Miller et al., 1987)",4,"Pentobarbital","Microspheres","White Matter",NA,NA,NA,NA,19,5,"Kaufman__2004"
"Sus","(Manohar, 1986)",6,"none","Microspheres","White Matter",NA,NA,NA,NA,33.6,1.8,"Kaufman__2004"
"Sus","(Manohar, 1986)",6,"Sevoflurane","Microspheres","White Matter",NA,NA,NA,NA,27.9,1.5,"Kaufman__2004"
"Sus","(Manohar, 1986)",6,"Sevoflurane","Microspheres","White Matter",NA,NA,NA,NA,29.7,2.3,"Kaufman__2004"
"Lepus","(Passero et al., 1981)",5,"none","Sokoloff","White Matter",26.1,2.5,NA,NA,NA,NA,"Kaufman__2004"
"Felis","(Petitjean et al., 1982)",4,"none","Sokoloff","White Matter",12,1,NA,NA,NA,NA,"Kaufman__2004"
"Felis","(Triolo et al., 1990)",6,"N 20","Sokoloff","White Matter",13.5,0.6,NA,NA,NA,NA,"Kaufman__2004"
"Meriones","(Mies et al., 1984)",2,"none","Sokoloff","White Matter",NA,NA,NA,NA,62,12,"Kaufman__2004"
"Rattus","(Bassant etal., 1996)",7,"none","Sokoloff","White Matter",28,1,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Bassant et al., 1996)",8,"none","Sokoloff","White Matter",25,3,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Bryan etal., 1983)",6,"none","Sokoloff","White Matter",37.5,6.1,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Bryan and Lehman, 1988)",10,"none","Sokoloff","White Matter",43,9.5,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Crane and Porrino, 1989)",6,"none","Sokoloff","White Matter",31,1,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Crane and Porrino, 1989)",6,"none","Sokoloff","White Matter",33.5,3,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Crosby et al., 1982)",8,"none","Sokoloff","White Matter",34.5,4.2,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Dam etal., 1990)",5,"none","Sokoloff","White Matter",23.5,8.9,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Davis et al., 1986)",10,"none","Sokoloff","White Matter",50.5,12.3,NA,NA,NA,NA,"Kaufman__2004"
