"Region_code","Structure","Subregion","Group_code","Group","Hemisphere","Volume_cc","source","note"
"Ce A","Cerebellum","anterior","NT","Neanderthal","Left",6.2,"Kochiyama_etal_2018","Figure 3B; figure-digitized cerebellar volume estimate"
"Ce A","Cerebellum","anterior","NT","Neanderthal","Right",5.9,"Kochiyama_etal_2018","Figure 3B; figure-digitized cerebellar volume estimate"
"Ce A","Cerebellum","anterior","EH","early Homo sapiens","Left",6.4,"Kochiyama_etal_2018","Figure 3B; figure-digitized cerebellar volume estimate"
"Ce A","Cerebellum","anterior","EH","early Homo sapiens","Right",6.4,"Kochiyama_etal_2018","Figure 3B; figure-digitized cerebellar volume estimate"
"Ce A","Cerebellum","anterior","MH","modern Homo sapiens","Left",6.4,"Kochiyama_etal_2018","Figure 3B; figure-digitized cerebellar volume estimate"
"Ce A","Cerebellum","anterior","MH","modern Homo sapiens","Right",6.4,"Kochiyama_etal_2018","Figure 3B; figure-digitized cerebellar volume estimate"
"Ce P","Cerebellum","posterior","NT","Neanderthal","Left",55,"Kochiyama_etal_2018","Figure 3B; figure-digitized cerebellar volume estimate"
"Ce P","Cerebellum","posterior","NT","Neanderthal","Right",52,"Kochiyama_etal_2018","Figure 3B; figure-digitized cerebellar volume estimate"
"Ce P","Cerebellum","posterior","EH","early Homo sapiens","Left",58.5,"Kochiyama_etal_2018","Figure 3B; figure-digitized cerebellar volume estimate"
"Ce P","Cerebellum","posterior","EH","early Homo sapiens","Right",58,"Kochiyama_etal_2018","Figure 3B; figure-digitized cerebellar volume estimate"
"Ce P","Cerebellum","posterior","MH","modern Homo sapiens","Left",58,"Kochiyama_etal_2018","Figure 3B; figure-digitized cerebellar volume estimate"
"Ce P","Cerebellum","posterior","MH","modern Homo sapiens","Right",58,"Kochiyama_etal_2018","Figure 3B; figure-digitized cerebellar volume estimate"
