Ref_number,Applies_to,Citation
18,Pan (chimp-bonobo) divergence,"Stone, A. C. et al. More reliable estimates of divergence times in Pan using complete mtDNA sequences and accounting for population structure. Phil. Trans. R. Soc. B 365, 3277-3299 (2010)."
19,NT-H. sapiens species divergence,"Meyer, M. et al. Nuclear DNA sequences from the Middle Pleistocene Sima de los Huesos hominins. Nature 531, 504-507 (2016)."
20,Amud 1,"Valladas, H. et al. TL dates for the Neanderthal site of the Amud cave, Israel. J. Archaeol. Sci. 26, 259-268 (1999)."
21,Amud 1,"Rink, W. J. et al. Electron spin resonance (ESR) and thermal ionization mass spectrometric (TIMS) 230Th/234U dating of teeth in middle palaeolithic layers at Amud cave, Israel. Geoarchaeol. 16, 701-717 (2001)."
22,La Chapelle-aux-Saints 1; Qafzeh 9,"Grun, R. & Stringer, C. Electron spin resonance dating and the evolution of modern humans. Archaeometry 33, 153-199 (1991)."
23,La Ferrassie 1,"Guerin, G. et al. A multi-method luminescence dating of the Palaeolithic sequence of La Ferrassie based on new excavations adjacent to the La Ferrassie 1 and 2 skeletons. J. Archaeol. Sci. 58, 147-166 (2015)."
24,Qafzeh 9,"Valladas, H. et al. Thermoluminescence dating of Mousterian 'Proto-Cro-Magnon' remains from Israel and the origin of modern man. Nature 331, 614-616 (1988)."
25,Qafzeh 9,"Schwarcz, H. P. et al. ESR dates for the hominid burial site of Qafzeh in Israel. J. Hum. Evol. 17, 733-737 (1988)."
26,Skhul 5,"Mercier, N. et al. Thermoluminescence date for the Mousterian burial site of ES-Skhul, Mt. Carmel. J. Archaeol. Sci. 20, 169-174 (1993)."
27,Skhul 5,"Grun, R. et al. U-series and ESR analyses of bones and teeth relating to the human burials from Skhul. J. Hum. Evol. 49, 316-334 (2005)."
28,Mladeč 1,"Wild, E. M. et al. Direct dating of early upper palaeolithic human remains from Mladec. Nature 435, 332-335 (2005)."
29,Cro-Magnon 1,"Henry-Gambier, D. Les fossiles de Cro-Magnon (Les Eyzies-de-Tayac, Dordogne): Nouvelles donnees sur leur position chronologique et leur attribution culturelle. Bull. Mem. Soc. Anthropol. Paris 14, 89-112 (2002)."
