"species_sci","Species","Neuronal_number","GI"
"Blarina carolinensis","Blarina carolinensis","14200000",1
"Cavia porcellus","Cavia porcellus","43500000",1
"Scalopus aquaticus","Scalopus aquaticus","22800000",1
"Sorex fumeus","Sorex fumeus","7140000",1
"Talpa hairy","Talpa hairy","13400000",1
"Talpa star","Talpa star","15200000",1
"Mesocricetus auratus","Mesocricetus auratus","17400000",1.01
"Rattus rattus","Rattus rattus","31000000",1.02
"Mus musculus","Mus musculus","13700000",1.03
"Tupaia glis","Tupaia glis","60400000",1.062
"Microcebus murinus","Microcebus murinus","22300000",1.1
"Oryctolagus cuniculus","Oryctolagus cuniculus","71500000",1.15
"Callithrix jacchus","Callithrix jacchus","245000000",1.17
"Dasyprocta leporina","Dasyprocta leporina","113000000",1.23
"Callimico goeldii","Callimico goeldii","357000000",1.255
"Otolemur garnetti","Otolemur garnetti","226000000",1.255
"Hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris","306000000",1.3
"Aotus trivirgatus","Aotus trivirgatus","441000000",1.31
"Cebus apella","Cebus apella","1140000000",1.69
"Macaca mulatta","Macaca mulatta","1710000000",1.79
"Macaca radiata","Macaca radiata","1660000000",1.79
"Papio cynocephalus","Papio cynocephalus","2880000000",1.985
"Pongo pygmaeus","Pongo pygmaeus","8900000000",2.21
"Gorilla gorilla","Gorilla gorilla","9100000000",2.26
"Homo sapiens","Homo sapiens","16300000000",2.56
