Species,Body_weight_current,Body_weight_current_source,Species_Matano1985a,code_Matano1985a,Body_weight_1985a,Cerebellar_nuclei_total,Interpositus_cerebellar_nuclei,Lateral_cerebellar_nuclei,Medial_cerebellar_nuclei,Number_cerebellar_nuclei
AAAA_Anatomy_code,,,,,BoW,TCN,ICN,LCN,MCN,
AAAA_Reference,ALL,ALL,Matano_1985a,Matano_1985a,Matano_1985a,Matano_1985a,Matano_1985a,Matano_1985a,Matano_1985a,Matano_1985a
Alouatta caraya,6420,Bauernfeind_2013,,,,,,,,
Alouatta seniculus,"6,400",Stephan_1981,Alouatta seniculus,,"6,400",113.79,26.57,59.75,27.47,2
Aotus trivirgatus,830,Stephan_1981,Aotus trivirgatus,3325,830,41.45,11.42,17.02,13.01,2
Atelerix algirus,790,Stephan_1981,,,,,,,,
Ateles geoffroyi,"8,000",Stephan_1981,Ateles geoffroyi,3371,"8,000",209.17,59.75,114.79,34.63,1
Avahi laniger,"1,285",Stephan_1981,Avahi l. laniger,3243,"1,285",37.89,11.28,14.46,12.15,1
Avahi occidentalis,860,Stephan_1981,Avahi l. occidentalis,3244,860,29.66,10.18,11.3,8.18,1
Blarina brevicauda,,,,,,,,,,
Callicebus moloch,900,Stephan_1981,Callicebus moloch,3327,900,61.41,19.47,21.24,20.7,2
Callimico goeldii,480,Stephan_1981,,,,,,,,
Callithrix jacchus,280,Stephan_1981,Callithrix jacchus,3287,280,20.96,5.44,7.93,7.59,2
Callithrix pygmaea,140,Stephan_1981,Cebuella pygmaea,3289,120,11.48,3.2,4.35,3.93,2
Cebus albifrons,"3,100",Stephan_1981,Cebus albifrons,3317,"3,100",173.18,38.98,99.52,34.68,1
Cercocebus agilis,5660,Bauernfeind_2013,,,,,,,,
Cercopithecus ascanius,"3,400",Stephan_1981,Cercopithecus ascanius,3433,"3,400",143.98,41.7,67.67,34.61,2
Cercopithecus mitis,"6,300",Stephan_1981,Cercopithecus mitis,3453,"6,300",171.16,54.55,82.38,34.23,1
Cheirogaleus major,450,Stephan_1981,Cheirogaleus major,3203,450,19.45,3.85,9.95,5.65,2
Cheirogaleus medius,177,Stephan_1981,Cheirogaleus medius,3205,177,9.45,1.94,4.27,3.24,1
Chrysochloris asiatica,49,Stephan_1981,,,,,,,,
Chrysochloris stuhlmanni,40,Stephan_1981,,,,,,,,
Colobus angolensis,9680,Bauernfeind_2013,,,,,,,,
Crocidura flavescens,28,Stephan_1981,Crocidura flavescens,943,33.1,1.17,0.42,0.47,0.27,1
Crocidura hildegardeae,,,,,,,,,,
Crocidura jacksoni,,,,,,,,,,
Crocidura russula,11,Stephan_1981,Crocidura r. russula,1070,11.1,0.58,0.23,0.23,0.12,1
Daubentonia madagascariensis,2800,Stephan_1981,Daubentonia madagasc.,3251,"2,800",126.08,36.11,61.03,28.94,1
Desmana moschata,440,Stephan_1981,,,,,,,,
Echinops telfairi,87.5,Stephan_1981,Echinops telfairi,585,87.5,1.71,0.87,0.46,0.39,1
Echinosorex gymnura,,,,,,,,,,
Elephantulus fuscipes,57,Stephan_1981,,,,,,,,
Erinaceus europaeus,860,Stephan_1981,Erinaceus europaeus,695,860,12.65,5.53,3.83,3.3,1
Erythrocebus patas,7800,Stephan_1981,Erythrocebus patas,3473,"7,800",295.09,95.07,126.31,73.71,2
Eulemur fulvus,1400,Stephan_1981,Lemur fulvus,3215,"1,400",86.28,27.58,32.05,26.65,2
Galago senegalensis,186,Stephan_1981,Galago senegalensis,3265,186,12.6,3.77,4.4,4.43,2
Galagoides demidoff,81,Stephan_1981,Galagoides demidoff,3275,81,8.22,2.08,3.06,3.08,2
Galemys pyrenaicus,57.5,Stephan_1981,,,,,,,,
Gorilla sp.,103517.5,Bauernfeind_2013,Gorilla gorilla,3551,"105,000",740.4,112.36,534.6,93.44,2
Hemicentetes semispinosus,110,Stephan_1981,Hemicentetes semispin.,581,110,3.23,1.52,1.16,0.55,1
Hemiechinus auritus,250,Stephan_1981,,,,,,,,
Homo sapiens,70100,Bauernfeind_2013,Homo sapiens,3553,"65,000","1,513.78",190.48,"1,166.90",156.4,2
Hylobates lar,5700,Stephan_1981,Hylobates lar,3539,"5,700",242.09,65.6,141.08,35.41,1
Hylobates muelleri,5710,Bauernfeind_2013,,,,,,,,
