code,Species_Matano1985b,n,body_weight_g,ventral_pons_mm3
577,Tenrec ecaudatus,1,832,2.51
585,Echinops telfairi,1,87.5,0.49
1263,Tupaia glis,2,170,13.8
1289,Urogale everetti,1,275,18.6
3199,Microcebus murinus,2,54,5.9
3203,Cheirogaleus major,2,450,27.4
3205,Cheirogaleus medius,1,177,13
3215,Lemur fulvus,2,1400,136.9
3227,Varecia variegata,1,3000,168.8
3239,Lepilemur ruficaudatus,1,915,26.2
3243,Avahi laniger laniger,1,1285,60.9
3244,Avahi l. occidentalis,1,860,60.3
3247,Propithecus verreauxi,2,3480,169.3
3249,Indri indri,2,6250,186.3
3251,Daubentonia madagasc.,1,2800,304.8
3253,Loris tardigradus,2,322,28.9
3255,Nycticebus coucang,2,800,63.8
3259,Perodicticus potto,2,1150,77.7
3265,Galago senegalensis,2,186,21
3267,Otolemur crassicaudatus,2,850,54.5
3275,Galagoides demidoff,2,81,13.6
3282,Tarsius spp.,4,125,16.5
3287,Callithrix jacchus,2,280,38.8
3289,Cebuella pygmaea,2,120,17.5
3305,Saguinus midas,2,340,45.7
3311,Saguinus oedipus,2,380,50.9
3317,Cebus albifrons,1,3100,682.2
3325,Aotus trivirgatus,2,830,112.1
3327,Callicebus moloch,2,900,105.9
3335,Saimiri sciureus,2,660,135.2
3341,Pithecia monachus,2,1500,211.8
3363,Alouatta seniculus,2,6400,394.3
3371,Ateles geoffroyi,1,8000,813.3
3379,Lagothrix lagothricha,2,5200,725.6
3391,Macaca mulatta,2,7800,639.2
3407,Cercocebus albigena,2,7900,873.3
3415,Papio anubis,2,25000,2177.7
3433,Cercopithecus ascanius,2,3400,520.2
3453,Cercopithecus mitis,1,6300,517.6
3469,Miopithecus talapoin,2,1200,273.7
3473,Erythrocebus patas,2,7800,814.5
3477,Colobus badius,2,7000,646.4
3493,Pygathrix nemaeus,1,7500,708.5
3499,Nasalis larvatus,1,14000,967.4
3539,Hylobates lar,1,5700,1167.9
3549,Pan troglodytes,1,46000,3990.6
3551,Gorilla gorilla,2,105000,5400.6
3553,Homo sapiens,2,65000,10477.9
