status,species_snapshot,species_csv,n_measure_mismatch,species_key,ventral_pons_snap,body_weight_snap,n_snap,.cid,ventral_pons_csv,body_weight_csv,n_csv,ventral_pons_match,body_weight_match,n_match
snapshot_only_not_in_csv,Avahi l. occidentalis,NA,3,avahi l occidentalis,60.3,860,1,NA,NA,NA,NA,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,NA,Avahi laniger,3,NA,NA,NA,NA,4,60.9,1285,1,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,Avahi laniger laniger,NA,3,avahi laniger laniger,60.9,1285,1,NA,NA,NA,NA,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,NA,Avahi occidentalis,3,NA,NA,NA,NA,5,60.3,860,1,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,NA,Callithrix pygmaea,3,NA,NA,NA,NA,8,17.5,120,2,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,Cebuella pygmaea,NA,3,cebuella pygmaea,17.5,120,2,NA,NA,NA,NA,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,Cercocebus albigena,NA,3,cercocebus albigena,873.3,7900,2,NA,NA,NA,NA,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,Colobus badius,NA,3,colobus badius,646.4,7000,2,NA,NA,NA,NA,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,Daubentonia madagasc.,NA,3,daubentonia madagasc,304.8,2800,1,NA,NA,NA,NA,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,NA,Daubentonia madagascariensis,3,NA,NA,NA,NA,14,304.8,2800,1,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,NA,Eulemur fulvus,3,NA,NA,NA,NA,17,136.9,1400,2,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,Gorilla gorilla,NA,3,gorilla gorilla,5400.6,105000,2,NA,NA,NA,NA,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,NA,Gorilla sp.,3,NA,NA,NA,NA,20,5400.6,105000,2,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,Lemur fulvus,NA,3,lemur fulvus,136.9,1400,2,NA,NA,NA,NA,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,NA,Lophocebus albigena,3,NA,NA,NA,NA,26,873.3,7900,2,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,NA,Piliocolobus badius,3,NA,NA,NA,NA,37,646.4,7000,2,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,NA,Pongo sp.,1,NA,NA,NA,NA,39,4300,NA,NA,FALSE,TRUE,TRUE
csv_only_not_in_snapshot,NA,Tarsius sp.,3,NA,NA,NA,NA,45,16.5,125,4,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,Tarsius spp.,NA,3,tarsius spp,16.5,125,4,NA,NA,NA,NA,FALSE,FALSE,FALSE
