species,species_abbrev,common_name,n_males,n_females,body_weight_kg,body_weight_kg_SEM,brain_volume_cc,brain_volume_cc_SEM,cerebellum_volume_cc,cerebellum_volume_cc_SEM,source
Homo sapiens,H. sapiens,Human,3,3,67.7,4.9,1298.9,52,134.1,6,Rilling_Insel_1998
Pan paniscus,P. paniscus,Bonobo,2,2,45.4,7.8,311.2,11,41.3,3.2,Rilling_Insel_1998
Pan troglodytes,P. troglodytes,Chimpanzee,3,3,55.4,6.5,337.3,15.8,46.4,2,Rilling_Insel_1998
Gorilla gorilla,G. gorilla,Gorilla,1,1,85,23.6,383.5,40.8,64.7,14,Rilling_Insel_1998
Pongo pygmaeus,P. pygmaeus,Orangutan,3,1,73.5,11.9,406.9,28.7,46,2.6,Rilling_Insel_1998
Hylobates lar,H. lar,Gibbon,2,2,5.4,0.5,83,5.6,10.9,1.4,Rilling_Insel_1998
Papio cynocephalus,P. cynocephalus,Baboon,2,0,21.9,1.3,143.3,15.9,13.7,1.3,Rilling_Insel_1998
Macaca mulatta,M. mulatta,Rhesus monkey,2,2,10.4,0.9,79.1,3.4,7.1,0.3,Rilling_Insel_1998
Cercocebus atys,C. atys,Mangabey,3,1,10.5,1.1,99.7,1.9,9.2,0.8,Rilling_Insel_1998
Cebus apella,C. apella,Cebus,2,2,3.2,0.5,66.5,5.3,6.5,0.7,Rilling_Insel_1998
Saimiri sciureus,S. sciureus,Squirrel monkey,3,1,0.9,0.2,23.1,0.8,2,0.1,Rilling_Insel_1998
