Species,species_abbrev,n_raw,n_male,n_female,n_total,body_weight_kg_mean,body_weight_kg_sd,body_weight_kg_note,spinal_cord_area_mm2_mean,spinal_cord_area_mm2_sd,spinal_cord_area_mm2_note,brain_volume_cc_mean,brain_volume_cc_sd,brain_volume_cc_note,neocortical_gray_matter_cc_mean,neocortical_gray_matter_cc_sd,neocortical_gray_matter_cc_note,cerebral_white_matter_cc_mean,cerebral_white_matter_cc_sd,cerebral_white_matter_cc_note
Cebus apella,C. apella,2M 2F,2,2,4,3.2,0.5,NA,38.6,1.9,3,66.5,5.3,NA,31.9,3.5,NA,13.1,1.4,NA
Cercocebus atys,C. atys,2M 2F,2,2,4,8.8,1.2,NA,NA,NA,NA,98.9,1.6,NA,42.7,2.7,3,21.2,1.5,NA
Gorilla gorilla,G. gorilla,1M 1F,1,1,2,61.7,6.3,NA,117.6,16.6,NA,397.3,66.6,NA,152.7,31.7,NA,94.2,19.4,NA
Homo sapiens,H. sapiens,3M 3F,3,3,6,67.7,4.9,NA,103,1.4,5,1298.9,52,NA,583,15.2,NA,397.4,24.6,NA
Hylobates lar,H. lar,2M 2F,2,2,4,5.4,0.5,NA,43.6,NA,1,83,5.6,NA,39.9,3.2,3,16.7,1.4,NA
Macaca mulatta,M. mulatta,2M 2F,2,2,4,10.4,0.9,NA,51.2,1.2,3,79.1,3.4,NA,36.5,2.8,NA,19.2,1.4,NA
Pan paniscus,P. paniscus,2M 2F,2,2,4,45.4,7.8,NA,70.9,3,NA,311.2,11,NA,142.9,7.6,NA,75.6,4.7,NA
Pan troglodytes,P. troglodytes,3M 3F,3,3,6,55.4,6.5,NA,106.4,7,4,337.3,15.8,NA,147.1,7,NA,90.9,5.6,NA
Papio cynocephalus,P. cynocephalus,2M 0F,2,0,2,21.9,1.3,NA,73.4,NA,1,143.3,15.9,NA,65,11.1,NA,35.1,5.6,NA
Pongo pygmaeus,P. pygmaeus,3M 1F,3,1,4,73.5,11.9,NA,110.5,16.8,NA,406.9,28.7,NA,193.3,23.5,NA,94.4,9.7,NA
Saimiri sciureus,S. sciureus,3M 1F,3,1,4,0.9,0.2,NA,18.8,NA,1,23.1,0.8,NA,11.7,0.8,NA,4.8,0.2,3
