ref_key,cited_in_column,citation,note
Anderson (2004),References,"Anderson, M. D. (2004). Aardwolf adaptations: a review. Transactions of the Royal Society of South Africa 59, 99–104.",
Arlettaz et al. (2000),References,"Arlettaz, R., Ruchet, C., Aeschimann, J., Brun, E., Genoud, M. & Vogel, P. (2000). Physiological traits affecting the distribution and wintering strategy of the bat Tadarida teniotis. Ecology 81, 1004–1014.",
"Armitage, Woods & Salsbury (2000)",References,"Armitage, K. B., Woods, B. C. & Salsbury, C. M. (2000). Energetics of hibernation in woodchucks (Marmota monax). In Life in the Cold. 11th International Hibernation Symposium (eds G. Heldmaier and M. Klingenspor), pp. 73–80. Springer, Berlin, Heidelberg, New York.",
Arnold (1976),References,"Arnold, J. M. (1976). Growth and bioenergetics of the Chuditch, Dasyurus geoffroii. PhD Thesis: University of Western Australia.",
Arnold (1993),References,"Arnold, W. (1993). Energetics of social hibernation. In Life in the Cold: Ecological, Physiological, and Molecular Mechanisms (eds C. Carey, G. L. Florant, B. A. Wunder and B. Horwitz), pp. 65–80. Westview Press, Boulder.",
Arnold et al. (2011),References,"Arnold, W., Ruf, T., Frey-Roos, F. & Bruns, U. (2011). Diet-independent remodeling of cellular membranes precedes seasonally changing body temperature in a hibernator. PLoS ONE 6, e18641.",
Audet & Thomas (1997),References,"Audet, D. & Thomas, D. W. (1997). Facultative hypothermia as a thermoregulatory strategy in the phyllostomid bats, Carollia perspicillata and Sturnira lilium. Journal of Comparative Physiology B: Biochemical Systemic and Environmental Physiology 167, 146–152.",
Augee & Ealey (1968),References,"Augee, M. L. & Ealey, E. H. M. (1968). Torpor in the Echidna, Tachyglossus aculeatus. Journal of Mammalogy 49, 446–454.",
Bakko & Nahornia (1986),References,"Bakko, E. B. & Nahornia, J. (1986). Torpor patterns in captive white-tailed prairie dogs (Cynomys leucurus). Journal of Mammalogy 67, 576–578.",
Barnes & Ritter (1993),References,"Barnes, B. M. & Ritter, D. (1993). Patterns of body temperature change in hibernating arctic ground squirrels. In Life in the Cold: Ecological, Physiological, and Molecular Mechanisms (eds C. Carey, G. L. Florant, B. A. Wunder and B. Horwitz), pp. 119–130. Westview Press, Boulder.",
Barnes (1989),References,"Barnes, B. M. (1989). Freeze avoidance in a mammal: body temperatures below 0°C in an arctic hibernator. Science 244, 1593–1595.",
"Bartels, Law & Geiser (1998)",References,"Bartels, W., Law, B. S. & Geiser, F. (1998). Daily torpor and energetics in a tropical mammal, the northern blossom-bat Macroglossus minimus (Megachiroptera). Journal of Comparative Physiology B 168, 233–239.",
Bartholomew & Cade (1957),References,"Bartholomew, G. A. & Cade, T. J. (1957). Temperature regulation, hibernation, and aestivation in the Little Pocket Mouse, Perognathus longimembris. Journal of Mammalogy 38, 60–72.",
Bartholomew & MacMillen (1961),References,"Bartholomew, G. A. & MacMillen, R. E. (1961). Oxygen consumption, estivation, and hibernation in the Kangaroo Mouse, Microdipodops pallidus. Physiological Zoology 34, 177–183.",
"Bartholomew, Dawson & Lasiewski (1970)",References,"Bartholomew, G. A., Dawson, W. R. & Lasiewski, R. C. (1970). Thermoregulation and heterothermy in some of the smaller flying foxes (Megachiroptera) of New Guinea. Zeitschrift für vergleichende Physiologie 70, 196–209.",
"Bartholomew, Howell & Cade (1957)",References,"Bartholomew, G. A., Howell, T. R. & Cade, T. J. (1957). Torpidity in the white-throated swift, Anna hummingbird, and poor-will. The Condor 59, 145–155.",
"Bartholomew, Vleck & Bucher (1983)",References,"Bartholomew, G. A., Vleck, C. M. & Bucher, T. L. (1983). Energy metabolism and nocturnal hypothermia in two tropical passerine frugivores, Manacus vitellinus and Pipra mentalis. Physiological Zoology 56, 370–379.",
Baxter (1996),References,"Baxter, R. M. (1996). Evidence for spontaneous torpor in Crocidura flavescens. Acta Theriologica 41, 327–330.",
Bech et al. (1997),References,"Bech, C., Abe, A. S., Steffensen, J. F., Berger, M. & Bicudo, J. E. P. W. (1997). Torpor in three species of brazilian hummingbirds under semi-natural conditions. The Condor 99, 780–788.",
Bech et al. (2006),References,"Bech, C., Steffensen, J. F., Berger, M., Abe, A. S. & Bicudo, J. E. P. W. (2006). Metabolic aspects of torpor in hummingbirds. Acta Zoologica Sinica 52 (Suppl.), 397–400.",
Bickler (1984),References,"Bickler, P. E. (1984). CO2 balance of a heterothermic rodent: comparison of sleep, torpor, and awake states. American Journal of Physiology - Regulatory, Integrative and Comparative Physiology 246, R49–R55.",
Bieber & Ruf (2009),References,"Bieber, C. & Ruf, T. (2009). Summer dormancy in edible dormice (Glis glis) without energetic constraints. Naturwissenschaften 96, 165–171.",
