"Species","Common_name","Family","Clade","Suborder","N_individuals","Body_mass_g","Body_mass_ref","Body_mass_ref_short","Brain_volume_ml","Foramen_radius_cm","Lumen_radius_cm","Shear_stress_dyne_cm2","Total_QICA_cm3_s","Total_Q_per_Vbr_cm3_s_ml"
"Callithrix jacchus","Common marmoset","Callitrichidae","Primates","Haplorrhini",5,371.5,1,"Smith & Jungers 1997",6.6,0.0376321250376315,0.0268800893125939,51.4392545636693,0.039232562402625,0.00594432763676136
"Callithrix pygmaea","Pygmy marmoset","Callitrichidae","Primates","Haplorrhini",1,116,1,"Smith & Jungers 1997",7,0.0461943640511809,0.0329959743222721,64.8469166908259,0.091481249515379,0.0130687499307684
"Leontopithecus rosalia","Golden lion tamarin","Callitrichidae","Primates","Haplorrhini",1,620,1,"Smith & Jungers 1997",12,0.0434233367724428,0.0310166691231735,46.4547925414311,0.0544347060521404,0.00453622550434503
"Cacajao calvus","Bald-headed uakari","Cebidae","Primates","Haplorrhini",1,3165,1,"Smith & Jungers 1997",100,0.126731434392014,0.090522453137153,33.5847486211402,0.9782974733053,0.009782974733053
"Lagothrix lagotricha","Common woolly monkey","Cebidae","Primates","Haplorrhini",1,7280,1,"Smith & Jungers 1997",110,0.127567053810769,0.0911193241505491,28.4545896324815,0.845363868634937,0.00768512607849942
"Saimiri sciureus","Common squirrel monkey","Cebidae","Primates","Haplorrhini",2,790,1,"Smith & Jungers 1997",20,0.0592473549237523,0.0423195392312517,44.2678755126919,0.13175628993772,0.00658781449688601
"Cercopithecus mitis","Blue monkey","Cercopithecidae","Primates","Haplorrhini",1,7930,1,"Smith & Jungers 1997",71,0.0910096494306414,0.0650068924504581,27.9744210244144,0.301786084197714,0.00425050822813681
"Cercopithecus neglectus","De Brazza's monkey","Cercopithecidae","Primates","Haplorrhini",2,5740,1,"Smith & Jungers 1997",65,0.11242297978424,0.0803021284173141,29.8327304802721,0.606644213801096,0.00933298790463224
"Chlorocebus aethiops","Green monkey","Cercopithecidae","Primates","Haplorrhini",2,3620,1,"Smith & Jungers 1997",67,0.116499783190256,0.0832141308501832,32.6989242810331,0.739919709041238,0.0110435777468842
"Colobus satanas","Black colobus","Cercopithecidae","Primates","Haplorrhini",1,8910,1,"Smith & Jungers 1997",79,0.0977970916601876,0.0698550654715626,27.3332206996803,0.365884831954394,0.00463145356904296
"Lophocebus albigena","Grey-cheeked mangabey","Cercopithecidae","Primates","Haplorrhini",2,7135,1,"Smith & Jungers 1997",98,0.123828461570189,0.0884489011215639,28.5687388829462,0.776297665792409,0.00792140475298376
"Macaca fascicularis","Crab-eating macaque","Cercopithecidae","Primates","Haplorrhini",5,4475,1,"Smith & Jungers 1997",53.8,0.0981017420903131,0.0700726729216522,31.3479146932756,0.423559662781656,0.00787285618553264
"Macaca maura","Moor macaque","Cercopithecidae","Primates","Haplorrhini",4,9720,1,"Smith & Jungers 1997",105,0.143006756484108,0.102147683202935,26.8640127197881,1.12438833887859,0.0107084603702722
"Macaca mulatta","Rhesus macaque","Cercopithecidae","Primates","Haplorrhini",6,8220,1,"Smith & Jungers 1997",78.2,0.106276839869313,0.0759120284780809,27.7751862255851,0.477143107654747,0.00610157426668474
"Macaca nemestrina","Pig-tailed macaque","Cercopithecidae","Primates","Haplorrhini",10,7575,1,"Smith & Jungers 1997",111.5,0.130575448980369,0.093268177843121,28.2305491552379,0.899455513916491,0.0080668655956636
"Macaca nigra","Crested black macaque","Cercopithecidae","Primates","Haplorrhini",2,7680,1,"Smith & Jungers 1997",150,0.139526120158572,0.0996615143989803,28.1533181636701,1.09438950751017,0.00729593005006778
"Macaca ochreata","Booted macaque","Cercopithecidae","Primates","Haplorrhini",1,3950,1,"Smith & Jungers 1997",98,0.11867344967456,0.0847667497675427,32.1361354419126,0.768652649429197,0.00784339438193057
"Macaca radiata","Bonnet macaque","Cercopithecidae","Primates","Haplorrhini",1,3850,1,"Smith & Jungers 1997",67,0.104589114135507,0.0747065100967906,32.3005402271553,0.528865233480076,0.0078935109474638
"Macaca silenus","Long-tailed macaque","Cercopithecidae","Primates","Haplorrhini",3,7500,1,"Smith & Jungers 1997",88.7,0.123223500857816,0.0880167863270116,28.2865042933308,0.757418115366203,0.00853909938406092
"Mandrillus leucophaeus","Drill","Cercopithecidae","Primates","Haplorrhini",1,20000,1,"Smith & Jungers 1997",160,0.165314419642299,0.118081728315927,23.2708100927813,1.50459457326379,0.0094037160828987
"Mandrillus sphinx","Mandrill","Cercopithecidae","Primates","Haplorrhini",4,26925,1,"Smith & Jungers 1997",161.2,0.160532414004522,0.11466601000323,21.9338810780314,1.29861218164129,0.00805590683400307
"Nasalis larvatus","Proboscis monkey","Cercopithecidae","Primates","Haplorrhini",2,9820,2,"Milton & May 1976",78.5,0.125029446749381,0.0893067476781293,26.8093500342961,0.749892468967037,0.00955277030531257
"Papio hamadryas","Hamadryas baboon","Cercopithecidae","Primates","Haplorrhini",6,16900,1,"Smith & Jungers 1997",156.5,0.154327990063162,0.110234278616545,24.0639555626887,1.26583440581965,0.008088398759231
"Presbytis melalophos","Mitred leaf monkey","Cercopithecidae","Primates","Haplorrhini",2,6590,1,"Smith & Jungers 1997",70.5,0.115470473145892,0.0824789093899231,29.0240673825511,0.639509335117266,0.00907105439882647
"Semnopithecus entellus","Gray langur","Cercopithecidae","Primates","Haplorrhini",7,12533,1,"Smith & Jungers 1997",101.6,0.0973578118390329,0.0695412941707377,25.538978250206,0.337280870450332,0.00331969360679461
"Trachypithecus obscurus","Dusky leaf monkey","Cercopithecidae","Primates","Haplorrhini",1,7900,1,"Smith & Jungers 1997",105,0.104600190372128,0.0747144216943768,27.9955291094735,0.458523800568026,0.0043668933387431
"Trachypithecus vetulus","Purple-faced leaf monkey","Cercopithecidae","Primates","Haplorrhini",1,7035,1,"Smith & Jungers 1997",58,0.0971908021831075,0.0694220015593625,28.6490954855279,0.376410902141394,0.00648984314036886
"Gorilla gorilla","Western gorilla","Hominidae","Primates","Haplorrhini",3,145200,1,"Smith & Jungers 1997",461,0.216595648183684,0.15471117727406,15.6850213611168,2.28092010298721,0.00494776595008071
