Species,Seymour2015 Species,Body mass (g),Reference,Endocranial volume (ml),Brain mass (g)
Callithrix_jacchus,Callithrix jacchus,371.5,1,6.6,6.8376
Callithrix_pygmaea,Callithrix pygmaea,116,1,7,7.252
Leontopithecus_rosalia,Leontopithecus rosalia,620,1,12,12.432
Cacajao_calvus,Cacajao calvus,3165,1,100,103.6
Lagothrix_lagotricha,Lagothrix lagotricha,7280,1,110,113.96
Saimiri_sciureus,Saimiri sciureus,790,1,20,20.72
Cercopithecus_mitis,Cercopithecus mitis,7930,1,71,73.556
Cercopithecus_neglectus,Cercopithecus neglectus,5740,1,65,67.34
Chlorocebus_aethiops,Chlorocebus aethiops,3620,1,67,69.412
Colobus_satanas,Colobus satanas,8910,1,79,81.844
Lophocebus_albigena,Lophocebus albigena,7135,1,98,101.528
Macaca_fascicularis,Macaca fascicularis,4475,1,53.8,55.7368
Macaca_maura,Macaca maura,9720,1,105,108.78
Macaca_mulatta,Macaca mulatta,8220,1,78.2,81.0152
Macaca_nemestrina,Macaca nemestrina,7575,1,111.5,115.514
Macaca_nigra,Macaca nigra,7680,1,150,155.4
Macaca_ochreata,Macaca ochreata,3950,1,98,101.528
Macaca_radiata,Macaca radiata,3850,1,67,69.412
Macaca_silenus,Macaca silenus,7500,1,88.7,91.8932
Mandrillus_leucophaeus,Mandrillus leucophaeus,20000,1,160,165.76
Mandrillus_sphinx,Mandrillus sphinx,26925,1,161.2,167.0032
Nasalis_larvatus,Nasalis larvatus,9820,2,78.5,81.326
Papio_hamadryas,Papio hamadryas,16900,1,156.5,162.134
Presbytis_melalophos,Presbytis melalophos,6590,1,70.5,73.038
Semnopithecus_entellus,Semnopithecus entellus,12533,1,101.6,105.2576
Trachypithecus_obscurus,Trachypithecus obscurus,7900,1,105,108.78
Trachypithecus_vetulus,Trachypithecus vetulus,7035,1,58,60.088
Gorilla_gorilla,Gorilla gorilla,145200,1,461,477.596
Homo_sapiens,Homo sapiens,70000,3,1186,1228.696
Pan_troglodytes,Pan troglodytes,49567,1,475,492.1
Pongo_pygmaeus,Pongo pygmaeus,48290,1,375,388.5
Hylobates_agilis,Hylobates agilis,5880,1,115,119.14
Hylobates_lar,Hylobates lar,5620,1,102.5,106.19
Hylobates_syndactylus,Hylobates syndactylus,11900,1,120,124.32
Loris_tardigradus,Loris tardigradus,231,1,4,4.144
Nycticebus_coucang,Nycticebus coucang,652,1,8.8,9.1168
Varecia_variegata,Varecia variegata,3532,1,26,26.936
Lemur_catta,Lemur catta,2210,1,23,23.828
Galago_senegalensis,Galago senegalensis,248,1,5,5.18
Propithecus_diadema,Propithecus diadema,6100,1,41,42.476
Eulemur_mongoz,Eulemur mongoz,1585,1,20,20.72
Acrobates_pygmaeus,Acrobates pygmaeus,14,4,0.25,0.259
Cercartetus_concinnus,Cercartetus concinnus,17,4,0.28,0.29008
Cercartetus_nanus,Cercartetus nanus,70,4,0.55,0.5698
Petaurus_breviceps,Petaurus breviceps,127,5,2.33,2.41388
Pseudocheirus_peregrinus_notialis,Pseudocheirus peregrinus notialis,916,5,4.73,4.90028
Hemibelideus_lemuroides,Hemibelideus lemuroides,1026,6,3.35,3.4706
Bettongia_lesueur,Bettongia lesueur,1597,7,9.2,9.5312
Aepyprymnus_rufescens,Aepyprymnus rufescens,2500,8,13.32,13.79952
Trichosurus_vulpecula,Trichosurus vulpecula,2532,8,9.8,10.1528
Phalanger_maculatus,Phalanger maculatus,4250,9,13.55,14.0378
Phascolarctos_cinereus,Phascolarctos cinereus,5767,8,29.75,30.821
Dendrolagus_matschiei,Dendrolagus matschiei,6960,10,29,30.044
Macropus_dorsalis,Macropus dorsalis,11250,11,26.6,27.5576
Dendrolagus_dorianus,Dendrolagus dorianus,16500,12,38,39.368
Vombatus_ursinus,Vombatus ursinus,26000,8,60,62.16
Macropus_robustus,Macropus robustus,29500,8,58.24,60.33664
Lasiorhinus_latifrons,Lasiorhinus latifrons,29917,5,56,58.016
Macropus_fuliginosus,Macropus fuliginosus,41000,11,66.75,69.153
Macropus_rufus,Macropus rufus,46250,8,51.575,53.4317
