species,catalogue_number,frontal_white_left_cm3,frontal_grey_left_cm3,frontal_white_right_cm3,frontal_grey_right_cm3,frontal_white_total_cm3,frontal_grey_total_cm3,total_brain_volume_cm3,source
Homo sapiens,14686,97.88,119.36,96.98,105.18,194.86,224.54,1437.0,Smaers_etal_2011
Homo sapiens,1696,129.33,117.96,126.4,123.13,255.73,241.09,1757.0,Smaers_etal_2011
Homo sapiens,18992,91.62,98.71,77.9,109.24,169.52,207.95,1270.0,Smaers_etal_2011
Homo sapiens,20784,97.97,101.41,97.19,105.76,195.16,207.17,1349.0,Smaers_etal_2011
Homo sapiens,2431,96.18,104.47,91.17,99.42,187.35,203.89,1234.0,Smaers_etal_2011
Homo sapiens,54491,109.32,100.96,105.9,102.63,215.22,203.59,1350.0,Smaers_etal_2011
Homo sapiens,5694,91.65,88.54,89.65,87.93,181.3,176.47,1216.0,Smaers_etal_2011
Homo sapiens,6895,67.81,83.85,67.3,84.77,135.11,168.62,1110.0,Smaers_etal_2011
Pan troglodytes,280,22.98,35.87,26.53,32.35,49.51,68.22,444.98,Smaers_etal_2011
Pan paniscus,86137,12.79,25.39,14.55,25.27,27.34,50.66,378.4,Smaers_etal_2011
Gorilla gorilla,375,17.38,34.69,17.95,36.42,35.33,71.11,434.36,Smaers_etal_2011
Pongo pygmaeus,yn85 38,12.06,22.5,12.64,20.46,24.7,42.96,356.2,Smaers_etal_2011
Hylobates lar,1203,2.77,7.02,3.03,6.59,5.8,13.61,98.36,Smaers_etal_2011
Papio anubis,97,6.25,12.76,7.54,11.52,13.79,24.28,184.36,Smaers_etal_2011
Cercocebus albigena,242,2.89,6.4,3.78,6.91,6.67,13.31,106.66,Smaers_etal_2011
Cercopithecus mitis,261,2.21,5.08,2.53,5.11,4.74,10.19,72.39,Smaers_etal_2011
Cercopithecus ascianus,219,1.42,4.38,1.57,3.56,2.99,7.94,59.36,Smaers_etal_2011
Erythrocebus patas,1341,2.49,5.84,2.94,5.38,5.43,11.22,93.73,Smaers_etal_2011
Miopithecus talapoin,1171,0.88,2.59,0.95,2.59,1.83,5.18,39.67,Smaers_etal_2011
Nasalis larvatus,1365,1.23,4.05,1.47,4.03,2.7,8.08,62.02,Smaers_etal_2011
Procolobus badius,213,1.86,5.63,2.2,5.31,4.06,10.94,75.97,Smaers_etal_2011
Alouatta seniculus,1184,1.4,2.8,1.38,2.71,2.78,5.51,45.17,Smaers_etal_2011
Ateles geoffroyi,1000,2.33,7.92,2.98,8.09,5.31,16.01,102.7,Smaers_etal_2011
Lagothrix lagotricha,1571,2.54,6.21,2.94,5.57,5.48,11.78,88.16,Smaers_etal_2011
Pithecia monachus,1180,0.78,1.77,0.83,1.91,1.61,3.68,32.82,Smaers_etal_2011
Cebus albifrons,1200,2.52,4.98,2.7,4.47,5.22,9.45,77.03,Smaers_etal_2011
