Individual,Section interval 5 left white,Section interval 5 left grey,Section interval 5 right white,Section interval 5 right grey
Homo sapiens 14686,11.94,23.08,17.13,31.45
Homo sapiens 1696,14.68,25.1,14.38,25.05
Homo sapiens 18992,11.92,21.51,13.18,28.62
Homo sapiens 20784,16.7,24.18,19.25,27.26
Homo sapiens 2431,10.73,18.65,8.62,15.58
Homo sapiens 54491,16.92,23.54,20.62,26.1
Homo sapiens 5694,13.0,19.25,14.47,19.28
Homo sapiens 6895,11.94,22.32,9.61,19.62
Pan troglodytes 280,2.11,7.64,2.5,6.57
Pan paniscus 86137,1.02,4.22,1.03,3.73
Gorilla gorilla 375,1.29,5.87,1.32,5.77
Pongo pygmaeus yn85 38,1.68,5.68,0.84,2.92
Hylobates lar 1203,0.24,1.28,0.27,1.3
Papio anubis 97,0.36,2.01,0.49,1.91
Cercocebus albigena 242,0.19,1.13,0.24,1.18
Cercopithecus mitis 261,0.08,0.63,0.12,0.75
Cercopithecus ascianus 219,0.07,0.57,0.09,0.58
Erythrocebus patas 1341,0.11,0.81,0.16,0.75
Miopithecus talapoin 1171,0.07,0.48,0.09,0.53
Nasalis larvatus 1365,0.02,0.38,0.05,0.44
Procolobus badius 213,0.08,0.81,0.12,0.78
Alouatta seniculus1184,0.04,0.32,0.13,0.69
Ateles geoffroyi 1000,0.08,1.22,0.21,1.55
Lagothrix lagotricha 1571,0.09,0.97,0.14,0.92
Pithecia monachus1180,0.02,0.16,0.07,0.44
Cebus albifrons 1200,0.1,0.66,0.15,0.77
