status,species_key,species_snapshot,species_csv,n_measure_mismatch,primary_visual_surface_snap,prefrontal_surface_snap,other_association_surface_snap,frontal_motor_surface_snap,primary_visual_surface_csv,prefrontal_surface_csv,other_association_surface_csv,frontal_motor_surface_csv,primary_visual_surface_match,prefrontal_surface_match,other_association_surface_match,frontal_motor_surface_match
matched_by_species,callithrix jacchus,Callithrix jacchus,Callithrix_jacchus,0,341,148,993,167,341,148,993,167,TRUE,TRUE,TRUE,TRUE
matched_by_species,cebus apella,Cebus apella,Cebus_apella,0,1786,1260,8814,1822,1786,1260,8814,1822,TRUE,TRUE,TRUE,TRUE
matched_by_species,homo sapiens,Homo sapiens,Homo_sapiens,0,3495,30234,68355,6117,3495,30234,68355,6117,TRUE,TRUE,TRUE,TRUE
matched_by_species,hylobates lar,Hylobates lar,Hylobates_lar,0,1899,1839,10912,1651,1899,1839,10912,1651,TRUE,TRUE,TRUE,TRUE
matched_by_species,macaca mulatta,Macaca mulatta,Macaca_mulatta,0,1866,1733,9892,1817,1866,1733,9892,1817,TRUE,TRUE,TRUE,TRUE
matched_by_species,mandrillus sphinx,Mandrillus sphinx,Mandrillus_sphinx,0,3537,2168,23422,2194,3537,2168,23422,2194,TRUE,TRUE,TRUE,TRUE
matched_by_species,pan troglodytes,Pan troglodytes troglodytes,Pan_troglodytes_troglodytes,0,3212,6719,24252,5389,3212,6719,24252,5389,TRUE,TRUE,TRUE,TRUE
matched_by_species,papio cynocephalus,Papio cynocephalus,Papio_cynocephalus,0,2559,2111,13506,2200,2559,2111,13506,2200,TRUE,TRUE,TRUE,TRUE
matched_by_species,papio hamadryas,Papio hamadryas,Papio_hamadryas,0,2130,1967,13599,2898,2130,1967,13599,2898,TRUE,TRUE,TRUE,TRUE
matched_by_species,saimiri sciureus,Saimiri sciureus,Saimiri_sciureus,0,744,NA,NA,NA,744,NA,NA,NA,TRUE,TRUE,TRUE,TRUE
